SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,Mean21
COLERAINE,154500,149400,160000,210000,195000,178600
COLLINGWOOD,1155000,1228000,1225000,1231000,1263000,1236750
CONNEWARRE,1680000,1565000,1662500,1710000,2057500,1748750
COOLAROO,473800,470000,510000,500000,515000,498750
COONANS HILL,1185000,1250000,1190000,1112500,1287000,1209875
COONGULLA,265000,280000,210000,280000,473300,310825
CORINELLA,542500,590000,602300,690000,743000,656325
CORIO,395000,420000,430000,470000,510000,457500
CORONET BAY,465000,438500,525000,545000,520000,507125
CORRYONG,230000,165000,261000,240000,300000,241500
COWES,618000,699500,695000,995000,960000,837375
COWES WEST,579500,640000,670000,735000,835000,720000
CRAIGIEBURN,570000,590000,620000,622500,650000,620625
CRANBOURNE,518000,585000,605000,610000,655000,613750
CRANBOURNE EAST,607800,640000,637800,663000,704000,661200
CRANBOURNE NORTH,590000,634800,630000,680000,683600,657100
CRANBOURNE SOUTH,622500,642500,710000,665000,780000,699375
CRANBOURNE WEST,550000,585000,609000,628400,665000,621850
CREMORNE,1530000,1889000,1600000,1397500,1398700,1571300
CRESWICK,400000,431800,505000,470000,520000,481700
CRIB POINT,605000,700000,795000,745000,857500,774375
CROYDON,847500,860900,900000,940000,1022500,930850
CROYDON HILLS,892800,1000000,1090500,1180000,1165000,1108875
CROYDON NORTH,850000,975000,990000,1070000,1162500,1049375
CROYDON SOUTH,749500,862800,915000,870000,965000,903200
CURLEWIS,590000,577500,640000,710000,700000,656875
DALLAS,486300,527500,490000,545000,542700,526300
DALYSTON,452500,485000,540000,645000,619500,572375
DANDENONG,632500,690000,700000,674500,721000,696375
DANDENONG NORTH,638800,705000,720000,725000,755000,726250
DARLEY,555000,570000,625000,646500,660000,625375
DAYLESFORD,865000,790000,850000,787500,900000,831875
DEANSIDE,651000,790500,474000,590000,620000,618625
DEEPDENE,2685000,3480000,3042500,4194000,2731500,3362000
DEER PARK,592000,620000,623000,617500,650000,627625
DELACOMBE,413300,477500,475000,560000,585000,524375
DELAHEY,573500,598000,672000,622500,676000,642125
DENNINGTON,383500,440000,494500,543000,555000,508125
Derrimut,695500,735000,708500,706500,747500,724375
DERRINALLUM,340000,317000,275000,261000,280000,283250
DIAMOND CREEK,896000,915000,1023000,997500,1053500,997250
DIGGERS REST,565000,530000,605000,615000,650000,600000
DIMBOOLA,169500,195000,205000,196500,196500,198250
DINGLEY VILLAGE,960000,980000,1057300,1067500,1123000,1056950
DINNER PLAIN,600000,630000,705000,855000,950000,785000
DONALD,188800,140000,211000,189000,152000,173000
DONCASTER,1302000,1386000,1460000,1480000,1538000,1466000
DONCASTER EAST,1276500,1435000,1489000,1500000,1560800,1496200
DONNYBROOK,592000,600000,591000,625000,635000,612750
DONVALE,1230000,1219000,1320000,1430000,1410000,1344750
DOREEN,660000,676500,700000,705600,740500,705650
DOVETON,521000,541000,585000,595000,615000,584000
DROMANA,798300,881000,975000,925000,1165500,986625
DROUIN,505000,538500,562500,580000,613300,573575
DRYSDALE,627500,647000,690000,760000,825000,730500
DUNKELD,295000,295000,522500,444000,595300,464200
DUNOLLY,198500,270000,244000,265000,260000,259750
EAGLE POINT,385000,404500,450000,397500,419000,417750
EAGLEHAWK,367500,394000,438000,474000,470000,444000
EAGLEMONT,2540000,2175000,2677000,2365000,2821900,2509725
EAST BAIRNSDALE,307000,315000,310000,419000,390000,358500
EAST BENDIGO,377500,341000,590000,517500,430000,469625
EAST GEELONG,800000,740000,836000,991000,945000,878000
EAST MELBOURNE,3087500,3725000,4950000,1792500,2900000,3341875
EAST WARBURTON,402500,606500,597500,612500,714000,632625
EASTWOOD,460000,467500,475000,594000,610000,536625
ECHUCA,435800,460000,441000,415000,576000,473000
EDENHOPE,139000,206300,223400,200500,232500,215675
EDITHVALE,1100000,1270000,1211000,1205000,1200000,1221500
EILDON,285000,390000,325000,335000,395000,361250
ELLIMINYT,481500,485000,584500,515000,490000,518625
ELMORE,223500,322500,337000,360000,312500,333000
ELSTERNWICK,2022500,2150000,2107500,1755000,2412500,2106250
ELTHAM,1078000,1100200,1165000,1282600,1300000,1211950
ELTHAM NORTH,1070000,1134000,1160000,1425000,1350000,1267250
ELWOOD,2175000,2100000,2055000,2400000,2267500,2205625
EMERALD,770000,822500,845000,922000,911500,875250
ENDEAVOUR HILLS,690000,730000,735000,730500,830000,756375
EPPING,577300,600000,640000,650000,700000,647500
EPSOM,460000,470000,516000,562500,580000,532125
ESKDALE,350000,350000,299000,299000,325000,318250
ESSENDON,1657500,1608000,1750000,1870000,1750000,1744500
ESSENDON NORTH,1254000,1190000,1400000,1617500,1275000,1370625
ESSENDON WEST,1260000,1245000,1270000,1307500,1475000,1324375
EUMEMMERRING,680200,666300,675000,646000,605000,648075
EUREKA,561000,379000,491000,449000,420000,434750
EUROA,330000,390000,372000,379000,517500,414625
EYNESBURY,625000,612500,715000,662500,685000,668750
FAIRFIELD,1413000,1577500,1542000,1905500,2001000,1756500
FAIRHAVEN,1525000,1910000,1685500,1805000,2662500,2015750
FAWKNER,720000,787500,820000,830000,840000,819375
FERNTREE GULLY,760000,820000,830800,882000,930000,865700
FERNY CREEK,1052500,1200000,847000,931000,1180000,1039500
FINGAL,1305000,1530000,1837500,1885000,1887500,1785000
FITZROY,1425000,1420000,1400000,1438000,1545000,1450750
FITZROY NORTH,1565000,1805000,1740000,1720000,1665000,1732500
FIVEWAYS,535000,635000,1057500,738300,906000,834200
FLEMINGTON,1215000,1050000,1225000,1332500,1251000,1214625
FLINDERS,2052500,2062500,3460000,2700000,2635000,2714375
FLORA HILL,422500,415000,460000,505000,552600,483150
FLOWERDALE,412500,355000,435000,500000,600000,472500
FOOTSCRAY,920500,853500,950000,985500,1107500,974125
FOREST HILL,980500,1068500,1180100,1230000,1336500,1203775
FOSTER,391800,407000,456000,452500,500000,453875
FRANKSTON,640000,680000,746800,769000,795000,747700
FRANKSTON NORTH,468500,530000,575000,599500,610000,578625
FRANKSTON SOUTH,898800,995000,1082500,1245000,1236000,1139625
FRASER RISE,630000,642000,705000,668800,700000,678950
FYANSFORD,795000,770000,845000,832500,862500,827500
GARDEN CITY,1925000,2610000,2095000,1700000,2038800,2110950
GARFIELD,580000,659000,690000,657500,805000,702875
GEELONG,746300,832500,950000,1014500,950000,936750
GEELONG WEST,765000,815000,825500,895000,980000,878875
GEMBROOK,730000,705000,922500,700000,863500,797750
GISBORNE,860000,867500,967000,900000,968500,925750
GLADSTONE PARK,650000,701000,720000,730000,750000,725250
GLEN HUNTLY,1533000,1308000,2100000,2002500,1805000,1803875
GLEN IRIS,2200000,2290000,2637500,2125000,2537500,2397500
GLEN WAVERLEY,1329500,1425000,1600000,1605000,1600000,1557500
GLENGARRY,404000,453500,430000,529000,492000,476125
GLENROWAN,390300,240000,240000,590300,465000,383825
GLENROY,777500,822500,825000,850000,877500,843750
GOLDEN BEACH,270000,310000,311300,375000,345000,335325
GOLDEN POINT (BALLARAT),450000,434500,563000,467500,546000,502750
GOLDEN SQUARE,408000,457000,440000,490000,524000,477750
GORDON,585000,707500,519300,755000,788000,692450
GOUGHS BAY,387500,480000,589000,499300,595000,540825
GOWANBRAE,691000,885000,998800,936000,1025500,961325
GRANTVILLE,470000,502500,547500,495000,585000,532500
GREEN LAKE,335000,354000,350000,360000,460000,381000
GREENSBOROUGH,865000,907000,975500,1072000,1060000,1003625
GREENVALE,722000,770000,810000,850000,846300,819075
GROVEDALE,570800,610000,620000,681500,695000,651625
HADFIELD,780000,820000,900000,890000,905000,878750
HALLAM,612500,665000,713500,695000,706500,695000
HALLS GAP,421300,358500,455000,375000,510000,424625
HAMILTON,289000,318500,320000,347500,372000,339500
HAMLYN HEIGHTS,600000,675600,698000,686000,760000,704900
HAMPTON,2175000,2300000,2180000,2615000,2556500,2412875
HAMPTON EAST,1310000,1418000,1600000,1482500,1550000,1512625
HAMPTON PARK,550000,595000,595000,627500,658000,618875
HARCOURT,570000,490000,637500,644000,687500,614750
HARKNESS,509000,521000,520000,545000,570000,539000
HASTINGS,567500,590000,640000,650000,723100,650775
HASTINGS WEST,465000,480000,572500,560000,647000,564875
HAWTHORN,2005000,3455000,2545000,2650000,2971000,2905250
HAWTHORN EAST,2263500,2050000,2860000,2107500,2210000,2306875
HEALESVILLE,635200,690000,757500,835000,750000,758125
HEATHCOTE,392500,375000,362500,390000,485000,403125
HEATHERTON,992500,1040000,1155000,1135000,1242500,1143125
