SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,Mean21
NERRINA,665000,602500,595000,530000,642500,592500
NEW GISBORNE,802000,768500,752500,725000,945000,797750
NEWBOROUGH,315000,350000,345000,365000,389000,362250
NEWCOMB,525000,520000,568500,590000,665000,585875
NEWHAVEN,656500,825000,669000,669000,1205300,842075
NEWINGTON,820000,797000,897500,618800,725000,759575
NEWLANDS ARM,464000,605000,475000,479000,699500,564625
NEWPORT,1125000,1150000,1333500,1408800,1310000,1300575
NEWSTEAD,672500,525000,539000,515000,648800,556950
NEWTOWN (GREATER GEELONG),970000,963500,1070000,1362500,1280000,1169000
NHILL,135000,140000,200000,197500,153000,172625
NICHOLS POINT,550000,540000,540000,381000,525000,496500
NIDDRIE,1150000,1152500,1125000,1295000,1301000,1218375
NOBLE PARK,725000,752000,760000,735000,770000,754250
NOBLE PARK NORTH,672500,720000,740000,750000,790000,750000
NORLANE,375800,420000,445000,473500,470000,452125
NORTH BENDIGO,410000,410100,470500,485000,477800,460850
NORTH GEELONG,502500,635000,542500,650000,636000,615875
NORTH MELBOURNE,1194000,1315000,1440000,1045000,1397500,1299375
NORTH SHORE,615000,580000,660000,601000,730000,642750
NORTH WONTHAGGI,422000,449500,529500,635000,605000,554750
NORTHCOTE,1423500,1587000,1657800,1748500,1695000,1672075
NOTTING HILL,981000,980000,1167500,1282000,1163000,1148125
NUMURKAH,237300,315000,305000,302500,310000,308125
NUNAWADING,1115000,1143000,1283000,1302500,1261500,1247500
NYAH WEST,130000,165000,245000,206800,130000,186700
OAK PARK,955000,965000,1025000,1161000,1235500,1096625
OAKLEIGH,1350500,1311000,1421000,1240000,1462500,1358625
OAKLEIGH EAST,1000000,1122500,1260000,1184000,1150000,1179125
OAKLEIGH SOUTH,1049000,1159000,1100000,1218900,1200000,1169475
OCEAN GROVE,840000,885000,905500,1000000,1150000,985125
OFFICER,581000,623000,640000,650000,690000,650750
OFFICER SOUTH,580000,580000,717500,682500,703000,670750
OLINDA,815000,1000500,1190000,910000,1125000,1056375
OMEO,295000,270000,260000,339000,570000,359750
ORBOST,241000,257500,230000,235000,249000,242875
ORMOND,1515000,1810000,1825000,2080000,2072500,1946875
OSBORNE,875000,925000,1055000,1300000,1250000,1132500
OUYEN,140000,144000,132500,140500,265000,170500
PAKENHAM,543000,572000,585000,602000,635000,598500
PARADISE BEACH,234500,271000,297500,350000,375900,323600
PARK ORCHARDS,1610000,1750000,1752000,1822500,2260000,1896125
PARKDALE,1215000,1500000,1412500,1527500,1599000,1509750
PARKVILLE,2440000,1546000,2200000,1705000,2430000,1970250
PASCOE VALE,972500,1055000,1050000,995000,1062500,1040625
PASCOE VALE SOUTH,1075000,1240000,1205000,1315000,1351000,1277750
PATTERSON GARDENS,970000,1145000,1040900,1400000,1255000,1210225
PATTERSON LAKES,1128000,1290000,1012500,1430000,1500000,1308125
PAYNESVILLE,392500,420000,455000,450000,490000,453750
PEARCEDALE,645000,720000,870000,875000,934000,849750
PENSHURST,227500,190000,180000,172500,172500,178750
PLENTY,1203800,1670000,1167500,1380000,1725000,1485625
POINT COOK,694500,710000,729000,716500,770000,731375
POINT LONSDALE,880000,1015000,1431200,1327500,1530000,1325925
POOWONG,412500,487500,420000,670000,670000,561875
POREPUNKAH,760000,724000,785000,688000,852500,762375
PORT ALBERT,275000,359100,397500,450000,560500,441775
PORT FAIRY,705000,892000,800000,1235000,1000000,981750
PORT MELBOURNE,1592500,1773500,1770000,1651000,1905000,1774875
PORT WELSHPOOL,315000,455000,455000,435000,435000,445000
PORTARLINGTON,675000,765000,820000,875000,922500,845625
PORTLAND,315000,330000,370000,360000,415000,368750
PORTLAND NORTH,465000,589000,370000,370000,560000,472250
PORTSEA,2850000,3660000,2675000,3765000,5107500,3801875
PRAHRAN,1688500,1750000,1900000,1767500,1855000,1818125
PRESTON,1080000,1155000,1200000,1342500,1318000,1253875
PRINCES HILL,2080500,1970000,1748000,2015000,2550000,2070750
QUARRY HILL,510000,482500,565000,502500,557500,526875
QUEENSCLIFF,1322500,1550000,1350000,1280000,1250000,1357500
RAINBOW,90500,120000,112000,89000,130000,112750
RAWSON,229300,310000,300000,340000,380000,332500
RAYMOND ISLAND,383500,422500,560000,560000,655000,549375
RED CLIFFS,285000,286000,320300,297500,348900,313175
REDAN,422500,455000,450000,431000,560000,474000
RESEARCH,875000,1067500,1228000,1085000,1150000,1132625
RESERVOIR,810000,891500,915000,970000,980000,939125
RHYLL,797800,786300,780000,790000,940000,824075
RICHMOND,1405000,1380000,1461000,1510000,1510000,1465250
RIDDELLS CREEK,690000,740000,767500,955000,957500,855000
RINGWOOD,900000,958000,1005000,1018000,1080000,1015250
RINGWOOD EAST,850000,947500,1120000,1014000,1085500,1041750
RINGWOOD NORTH,1015500,1035000,1200000,1161000,1240000,1159000
RIPPLESIDE,752000,757000,1001000,1237500,1251500,1061750
ROBINVALE,273500,340000,305000,260000,403000,327000
ROCHESTER,255000,294000,300000,440900,420000,363725
ROCKBANK,460000,545000,540000,571000,610000,566500
ROMSEY,642500,755000,730000,832500,845000,790625
ROSANNA,1160000,1283800,1325000,1520000,1416500,1386325
ROSEBUD,627000,702500,783800,800000,827500,778450
ROSEBUD SOUTH,624400,822500,947500,960000,1153000,970750
ROSEDALE,247500,370000,350000,377500,297500,348750
ROWVILLE,867500,907000,953400,1065000,1122500,1011975
ROXBURGH PARK,580000,580000,625000,606500,640000,612875
RUSHWORTH,239800,320000,382500,221800,302000,306575
RUTHERGLEN,375000,360000,400000,351000,455000,391500
RYE,902000,951900,1053500,1205000,1164000,1093600
SAFETY BEACH,858000,945000,1060000,1360000,1300000,1166250
SAILORS GULLY,310000,336000,379800,467500,472600,413975
SALE,361500,370000,392500,423800,461500,411950
SAN REMO,698000,790000,865000,677000,1075000,851750
SANCTUARY LAKES,650000,692500,692000,717500,740000,710500
SANDHURST,802500,935000,945000,930000,970000,945000
SANDRINGHAM,1852500,2065000,2500000,2390000,2412500,2341875
SANDY POINT,612000,760800,650000,618000,780000,702200
SASSAFRAS,755000,812500,815000,890000,968000,871375
SAWMILL SETTLEMENT,550000,498500,542000,635000,515000,547625
SCORESBY,816500,890000,960000,930000,1056000,959000
SEA LAKE,184000,166000,112500,117500,115000,127750
SEABROOK,681500,710000,700000,730500,750000,722625
SEAFORD,728000,810000,850000,850000,903000,853250
SEAHOLME,940000,1380000,1031000,1120000,1410000,1235250
SEASPRAY,260000,280000,299000,342500,377000,324625
SEBASTOPOL,350000,374000,415000,428000,443500,415125
SEDDON,1054500,1065000,1210000,1282500,1200000,1189375
SELBY,722500,888900,790100,1067500,1000000,936625
SEVILLE,642500,725000,750000,820000,803300,774575
SEVILLE EAST,750000,650000,682700,720000,770000,705675
SEYMOUR,340000,390000,390000,405000,410000,398750
SHEPPARTON,325000,350000,350000,370000,400000,367500
SHEPPARTON NORTH,366000,362500,458500,425000,527500,443375
SHOREHAM,950000,1850000,1412500,1040000,1767500,1517500
SILVERLEAVES,860000,921800,821500,1782000,1120000,1161325
SKENES CREEK,800000,895000,931500,860000,1060000,936625
SKYE,615000,695000,750000,781000,755000,745250
SMITHS BEACH,580000,810800,713000,975000,978300,869275
SMYTHES CREEK,441000,428800,550000,537500,550000,516575
SMYTHESDALE,435000,375000,552000,540000,511000,494500
SOLDIERS HILL,596500,476000,450000,542500,710000,544625
SOMERS,1452500,1800000,1550000,1497500,1700000,1636875
SOMERVILLE,669000,735000,770000,788000,815000,777000
SORRENTO,1917500,2100000,1935000,2250000,2875500,2290125
SOUTH DUDLEY,322500,442500,475000,475000,397500,447500
SOUTH GEELONG,810000,960000,1185000,750000,1280000,1043750
SOUTH KINGSVILLE,1021000,1100000,1000000,1211300,1030000,1085325
SOUTH MELBOURNE,1685000,1635000,1700000,1500000,1750000,1646250
SOUTH MORANG,636000,670000,731500,737000,755000,723375
SOUTH YARRA,2080000,2142500,1888000,2100000,2475000,2151375
SPOTSWOOD,970000,1029000,1230000,1405000,1227500,1222875
SPRING GULLY,482500,499800,490500,591300,632500,553525
SPRINGVALE,820000,849000,850000,866600,852500,854525
SPRINGVALE SOUTH,750000,777500,817000,777500,830000,800500
ST ALBANS,600000,640500,680000,685000,712000,679375
ST ALBANS PARK,520000,548500,573000,581000,659500,590500
ST ANDREWS BEACH,1275000,1350000,1735000,1806500,1937500,1707250
ST ARNAUD,185000,240000,180000,225000,227500,218125
ST HELENA,900000,1097500,959300,1202500,1270000,1132325
ST KILDA,1376000,1400300,1615000,1720000,1695000,1607575
ST KILDA EAST,1670000,1845000,2050000,1710000,1730000,1833750
ST KILDA WEST,3420000,1825000,2750000,2750000,4620000,2986250
ST LEONARDS,610000,651000,680000,713500,777300,705450
STANHOPE,195000,254500,222500,290000,227500,248625
STAWELL,259000,264000,245000,299000,339500,286875
STRATFORD,330000,339000,359000,382500,425000,376375
STRATHDALE,545000,619000,603000,642500,690000,638625
STRATHFIELDSAYE,532500,571300,695000,620000,710000,649075
STRATHMORE,1393800,1411000,1667500,1595000,1600000,1568375
STRATHMORE HEIGHTS,825000,1210000,1012500,850000,915000,996875
STRATHTULLOH,570000,595000,581000,539000,630000,586250
STUDFIELD,836000,1051000,1000000,1034000,1145000,1057500
SUNBURY,600000,630000,657500,620000,672000,644875
SUNDERLAND BAY,795000,610000,679500,801000,741000,707875
SUNNYCLIFFS,187000,330000,317000,369000,240000,314000
SUNSET STRIP,540000,535000,590000,694000,610000,607250
SUNSHINE,750000,843000,848000,870000,917500,869625
SUNSHINE NORTH,702600,711200,720000,748000,770000,737300
SUNSHINE WEST,690000,675000,765500,720000,760000,730125
SURF BEACH,610000,690000,676000,615000,1062000,760750
SURREY HILLS,1930000,2152500,2150000,2320000,2525000,2286875
SWAN HILL,362500,339500,345000,375000,359000,354625
SYDENHAM,649000,592500,720000,720000,735000,691875
SYNDAL,1441500,1655000,1620000,1813400,1808000,1724100
TALLANGATTA,307500,311000,373000,447500,374500,376500
TALLYGAROOPNA,370000,287000,387500,387500,325000,346750
TANGAMBALANGA,459000,360000,392500,605000,595000,488125
TARNEIT,570000,578500,590000,605000,625000,599625
TATURA,335000,352500,320000,366000,392500,357750
TAWONGA,315400,330000,459000,533000,530000,463000
TAWONGA SOUTH,432500,517500,538000,527500,600000,545750
TAYLORS HILL,792500,817000,782800,850000,911000,840200
TAYLORS LAKES,795500,850000,862500,908600,937500,889650
TECOMA,890000,782000,940000,1147500,950000,954875
TEMPLESTOWE,1350000,1555000,1565000,1580000,1700000,1600000
TEMPLESTOWE LOWER,1165800,1305000,1440000,1450000,1425000,1405000
TERANG,235000,307500,305000,289000,331800,308325
THE BASIN,716800,867500,819000,896000,982500,891250
THE HONEYSUCKLES,370000,410000,395000,420000,572500,449375
THE PATCH,776000,740000,927200,950000,915000,883050
THOMASTOWN,653000,690500,702500,715500,742000,712625
THOMSON (GREATER GEELONG),433500,458600,475000,620000,637000,547650
THORNBURY,1350000,1382500,1590000,1517000,1527500,1504250
THORNHILL PARK,509800,570000,560000,585000,610000,581250
TIMBOON,472500,420000,390000,430900,425000,416475
TONGALA,372500,217500,295000,380000,315000,301875
TOONGABBIE,382500,350000,507000,369500,537500,441000
TOORA,310000,323500,410000,467500,460000,415250
TOORADIN,790000,676300,735000,1050000,947500,852200
TOORAK,5000000,6475000,5575000,7150000,5200000,6100000
TOOTGAROOK,745000,765100,783700,965000,940000,863450
TORQUAY,940000,1010000,1187500,1220000,1325000,1185625
TRAFALGAR,430000,415000,450000,515000,545000,481250
TRARALGON,350000,370000,399500,415000,445800,407575
TRARALGON EAST,508000,705000,585000,610000,651200,637800
TRAVANCORE,1550000,1920000,1500000,1790000,1910000,1780000
TRENTHAM,650000,765000,802500,850000,1022000,859875
TRUGANINA,565000,600000,612500,599900,640000,613100
TULLAMARINE,640000,717500,750300,740000,780000,746950
TUNGAMAH,230000,215000,255000,255000,322000,261750
TYABB,595000,710000,665000,775000,880000,757500
UPPER FERNTREE GULLY,742500,790000,825500,946300,930000,872950
UPWEY,820000,810000,870000,946000,922500,887125
VENTNOR,662500,660000,721000,895000,814000,772500
VENUS BAY,458300,481000,542500,590000,639500,563250
VERMONT,975000,1170000,1183500,1250500,1319300,1230825
VERMONT SOUTH,1210000,1319300,1440000,1463900,1453000,1419050
VIEWBANK,1033500,1190000,1267000,1277500,1266500,1250250
VIOLET TOWN,395000,290000,341000,400000,380000,352750
WAHGUNYAH,323000,365000,432500,349800,349800,374275
WALKERVILLE,382500,455000,436600,590000,420000,475400
WALLAN,532000,560000,560000,570000,600000,572500
WALLAN EAST,524500,582500,569800,575000,617500,586200
WANDANA HEIGHTS,844800,1000000,888500,837500,942500,917125
WANDIN NORTH,740000,750000,711400,775500,810000,761725
WANGARATTA,383500,390000,425000,427000,458000,425000
WANTIRNA,920000,1009500,1035000,1077500,1100000,1055500
WANTIRNA SOUTH,1010000,1207500,1157500,1222000,1305500,1223125
WARBURTON,640000,650100,658000,682300,700000,672600
WARNEET,500000,590000,812500,694900,756000,713350
WARRACKNABEAL,140000,180000,177500,175000,205000,184375
WARRAGUL,526000,540000,570000,587500,663000,590125
WARRANDYTE,1032000,1185000,1200000,1285000,1350000,1255000
WARRANWOOD,965000,1100000,1052500,1122500,1349500,1156125
WARRNAMBOOL,437000,450000,500000,517500,608000,518875
WATERWAYS,1674000,1527500,1355000,1403000,1440000,1431375
WATSONIA,830000,851500,900000,1100000,1060000,977875
WATSONIA NORTH,795000,862500,951300,1000000,1005000,954700
WATTLE GLEN,788800,885000,962500,1040000,1011000,974625
WAURN PONDS,700000,718000,707500,765000,775000,741375
WEDDERBURN,193000,160000,162500,182500,185000,172500
WEIR VIEWS,508000,534500,496000,530500,570000,532750
WELSHPOOL,345000,412500,412500,345000,422000,398000
WENDOUREE,397500,419800,446000,478000,482000,456450
WENDOUREE WEST,300000,345500,392500,362500,397500,374500
WERRIBEE,520000,539000,560000,575000,605000,569750
WERRIBEE SOUTH,650000,797500,720000,830000,875000,805625
WEST FOOTSCRAY,857500,950000,931000,1106300,1115000,1025575
WEST MELBOURNE,960000,1310000,1310000,1125000,1270000,1253750
WEST WODONGA,375000,412500,420000,419800,441000,423325
WESTALL,743300,793500,827500,910000,855000,846500
WESTGARTH,1755500,1700000,2185000,2300000,2270000,2113750
WESTMEADOWS,620000,695000,770000,723000,713500,725375
WHEELERS HILL,1217500,1315000,1350000,1447500,1389000,1375375
WHITE HILLS,403000,385500,450000,472500,580000,472000
WHITTINGTON,395000,436000,518500,537000,560000,512875
WHITTLESEA,630000,641000,660000,705000,717500,680875
WILLIAMS LANDING,690000,711500,748000,742000,808500,752500
WILLIAMSTOWN,1455000,1563000,1697500,1635500,1645000,1635250
WILLIAMSTOWN NORTH,846000,1275000,1105000,1220000,1220000,1205000
WIMBLEDON HEIGHTS,481500,505000,657000,592000,671500,606375
WINCHELSEA,451300,503000,510000,571000,640000,556000
WINDSOR,1365000,1857500,1412000,1410000,1635000,1578625
WINTER VALLEY,475000,492000,535000,575000,605500,551875
WODONGA,350000,400000,448500,415000,495500,439750
WOLLERT,585000,587800,635000,630000,683500,634075
WONGA PARK,1176000,1359500,1300000,1251000,1090000,1250125
WONTHAGGI,423000,485000,480000,584000,617500,541625
WOODEND,857700,792500,845000,970000,940000,886875
WOOLAMAI WATERS,628500,682600,780000,701000,860000,755900
WOORI YALLOCK,600000,600000,625000,700000,670000,648750
WURRUK,293000,270000,537500,380000,295000,370625
WY YUNG,365000,494500,415000,390000,477000,444125
WYCHEPROOF,150800,205000,131000,167500,207500,177750
WYNDHAM VALE,499000,512500,520000,533000,562000,531875
YACKANDANDAH,490000,712500,730000,490000,654500,646750
YALLAMBIE,823500,937000,1056000,1130000,985500,1027125
YALLOURN NORTH,247500,224000,228800,285000,325000,265700
YARRA GLEN,737500,745000,796000,862800,912300,829025
YARRA JUNCTION,629000,601300,665000,650000,747500,665950
YARRAGON,468000,470000,577500,556500,658500,565625
YARRAM,300000,343000,340000,352500,420000,363875
YARRAVILLE,1062500,1151500,1100000,1200000,1285000,1184125
YARRAWONGA,476300,540000,529000,597500,586000,563125
YEA,496900,580000,540000,560000,617500,574375
YINNAR,270000,470000,525000,300000,364000,414750
"^ means there are less than 10 sales for the quarter* means there were no sales for the quarter and the first non-zero figure is carried forwardNA means insufficent data was available to create the percentage change",,,,,,
