            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 22/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,Median age of earners (years),,,,,Sum ($),,,,,Median ($),,,,,Mean ($),,,,,,,,,,,,,
101031014,Cooma," 3,711 "," 3,680 "," 3,800 "," 3,792 ","3,777", 47 , 47 , 47 , 46 , 46 ," 188,193,949 "," 187,910,847 "," 195,032,875 "," 203,325,732 ","206,500,749"," 43,231 "," 43,586 "," 43,326 "," 45,230 ","47,029"," 50,712 "," 51,063 "," 51,324 "," 53,620 ","54,673",,,,,,,,,
101031015,Cooma Region," 1,823 "," 1,832 "," 1,926 "," 2,031 ","2,066", 49 , 48 , 48 , 49 , 49 ," 88,452,143 "," 93,931,414 "," 105,189,628 "," 109,527,983 ","111,397,467"," 39,666 "," 40,074 "," 42,668 "," 43,342 ","44,743"," 48,520 "," 51,273 "," 54,616 "," 53,928 ","53,919",,,,,,,,,
101031016,Jindabyne - Berridale," 4,015 "," 3,953 "," 4,333 "," 4,400 ","4,458", 44 , 44 , 43 , 44 , 44 ," 191,710,820 "," 196,867,405 "," 219,472,868 "," 232,492,288 ","243,613,766"," 37,861 "," 39,832 "," 41,261 "," 42,182 ","44,972"," 47,749 "," 49,802 "," 50,651 "," 52,839 ","54,646",,,,,,,,,
101041017,Batemans Bay," 3,698 "," 3,724 "," 3,827 "," 3,979 ","4,079", 51 , 50 , 50 , 50 , 50 ," 151,465,867 "," 157,091,069 "," 161,694,024 "," 170,956,895 ","181,282,485"," 34,370 "," 36,310 "," 36,347 "," 37,296 ","37,992"," 40,959 "," 42,183 "," 42,251 "," 42,965 ","44,443",,,,,,,,,
101041018,Batemans Bay - South," 4,161 "," 4,231 "," 4,366 "," 4,514 ","4,619", 52 , 53 , 53 , 52 , 52 ," 191,690,426 "," 191,612,124 "," 199,426,745 "," 216,777,289 ","227,733,833"," 35,274 "," 35,501 "," 37,060 "," 38,676 ","40,029"," 46,068 "," 45,288 "," 45,677 "," 48,023 ","49,304",,,,,,,,,
101041019,Bega - Tathra," 4,700 "," 4,781 "," 4,782 "," 4,868 ","4,911", 48 , 48 , 49 , 49 , 48 ," 223,576,125 "," 234,003,913 "," 237,869,822 "," 246,813,118 ","255,340,233"," 40,022 "," 41,931 "," 42,796 "," 43,074 ","45,148"," 47,569 "," 48,945 "," 49,743 "," 50,701 ","51,994",,,,,,,,,
101041020,Bega-Eden Hinterland," 4,830 "," 4,908 "," 5,208 "," 5,361 ","5,423", 51 , 51 , 51 , 51 , 51 ," 202,145,509 "," 212,075,474 "," 228,258,656 "," 232,945,258 ","236,854,145"," 34,404 "," 35,601 "," 35,345 "," 35,942 ","36,150"," 41,852 "," 43,210 "," 43,828 "," 43,452 ","43,676",,,,,,,,,
101041021,Broulee - Tomakin," 1,750 "," 1,792 "," 1,894 "," 1,953 ","2,019", 51 , 51 , 51 , 52 , 52 ," 82,568,484 "," 88,260,992 "," 93,876,079 "," 99,586,111 ","108,608,277"," 37,191 "," 38,783 "," 40,320 "," 41,580 ","43,001"," 47,182 "," 49,253 "," 49,565 "," 50,991 ","53,793",,,,,,,,,
101041022,Deua - Wadbilliga, np , np , 18 , 14 , 13 , np , np , 49 , 50 , 51 , np , np ," 801,768 "," 651,616 ","575,075", np , np ," 24,517 "," 37,763 ","26,366", np , np ," 44,543 "," 46,544 ","44,237",,,,,,,,,
101041023,Eden," 1,653 "," 1,720 "," 1,732 "," 1,762 ","1,743", 50 , 50 , 50 , 50 , 50 ," 73,902,206 "," 77,123,301 "," 77,274,388 "," 80,314,442 ","79,943,421"," 36,380 "," 37,566 "," 38,308 "," 38,979 ","40,258"," 44,708 "," 44,839 "," 44,616 "," 45,581 ","45,865",,,,,,,,,
101041024,Eurobodalla Hinterland," 1,866 "," 1,877 "," 1,926 "," 1,964 ","1,995", 51 , 51 , 51 , 52 , 52 ," 81,680,924 "," 83,395,518 "," 89,397,640 "," 92,987,920 ","101,713,855"," 34,788 "," 35,163 "," 35,748 "," 37,816 ","38,809"," 43,773 "," 44,430 "," 46,416 "," 47,346 ","50,984",,,,,,,,,
101041025,Merimbula - Tura Beach," 6,044 "," 6,125 "," 6,334 "," 6,403 ","6,527", 52 , 52 , 52 , 52 , 52 ," 269,922,187 "," 283,366,275 "," 295,312,923 "," 302,121,272 ","324,099,790"," 36,424 "," 37,044 "," 37,317 "," 38,566 ","40,379"," 44,660 "," 46,264 "," 46,623 "," 47,184 ","49,655",,,,,,,,,
101041026,Moruya - Tuross Head," 4,237 "," 4,305 "," 4,342 "," 4,487 ","4,500", 52 , 53 , 53 , 53 , 53 ," 180,594,948 "," 187,138,520 "," 192,516,662 "," 202,775,101 ","210,069,135"," 34,876 "," 36,071 "," 36,337 "," 37,579 ","39,335"," 42,623 "," 43,470 "," 44,338 "," 45,192 ","46,682",,,,,,,,,
101041027,Narooma - Bermagui," 4,572 "," 4,582 "," 4,723 "," 4,829 ","4,891", 55 , 55 , 55 , 55 , 56 ," 183,339,019 "," 182,670,341 "," 189,529,575 "," 198,551,321 ","212,632,765"," 30,491 "," 31,652 "," 31,098 "," 33,188 ","33,647"," 40,100 "," 39,867 "," 40,129 "," 41,116 ","43,474",,,,,,,,,
101051539,Goulburn," 11,636 "," 11,992 "," 12,127 "," 12,317 ","12,643", 44 , 43 , 44 , 43 , 43 ," 607,994,653 "," 648,867,901 "," 655,559,519 "," 684,089,969 ","731,155,106"," 44,894 "," 47,062 "," 47,272 "," 49,116 ","50,851"," 52,251 "," 54,108 "," 54,058 "," 55,540 ","57,831",,,,,,,,,
101051540,Goulburn Region," 6,861 "," 6,985 "," 7,256 "," 7,435 ","7,483", 49 , 49 , 49 , 49 , 49 ," 348,045,778 "," 358,662,691 "," 385,468,452 "," 402,747,216 ","408,586,880"," 40,575 "," 41,443 "," 43,358 "," 44,979 ","44,791"," 50,728 "," 51,348 "," 53,124 "," 54,169 ","54,602",,,,,,,,,
101061541,Yass," 3,799 "," 3,845 "," 3,857 "," 3,888 ","3,936", 45 , 45 , 45 , 45 , 45 ," 213,849,142 "," 223,397,125 "," 225,533,404 "," 231,540,832 ","240,435,573"," 48,955 "," 49,839 "," 50,593 "," 52,363 ","54,429"," 56,291 "," 58,101 "," 58,474 "," 59,553 ","61,086",,,,,,,,,
101061542,Yass Region," 6,710 "," 6,816 "," 7,176 "," 7,498 ","7,758", 47 , 47 , 47 , 47 , 47 ," 446,240,890 "," 474,253,373 "," 507,131,032 "," 546,302,053 ","577,029,247"," 54,493 "," 57,070 "," 56,952 "," 59,102 ","60,596"," 66,504 "," 69,579 "," 70,670 "," 72,860 ","74,379",,,,,,,,,
101061543,Young," 5,373 "," 5,437 "," 5,492 "," 5,534 ","5,490", 45 , 44 , 44 , 44 , 44 ," 260,884,383 "," 266,063,185 "," 273,046,931 "," 281,424,060 ","280,102,081"," 40,471 "," 40,932 "," 41,325 "," 43,226 ","44,289"," 48,555 "," 48,936 "," 49,717 "," 50,854 ","51,020",,,,,,,,,
101061544,Young Region," 3,697 "," 3,576 "," 3,821 "," 3,897 ","3,917", 49 , 49 , 49 , 49 , 49 ," 178,379,783 "," 178,864,497 "," 195,977,222 "," 201,113,192 ","197,516,813"," 39,642 "," 41,399 "," 41,985 "," 42,688 ","42,455"," 48,250 "," 50,018 "," 51,290 "," 51,607 ","50,426",,,,,,,,,
102011028,Avoca Beach - Copacabana," 4,427 "," 4,526 "," 4,621 "," 4,690 ","4,736", 46 , 46 , 46 , 46 , 47 ," 292,778,325 "," 311,664,519 "," 323,024,286 "," 341,299,263 ","340,642,238"," 46,996 "," 47,661 "," 48,908 "," 49,479 ","50,369"," 66,135 "," 68,861 "," 69,904 "," 72,772 ","71,926",,,,,,,,,
102011029,Box Head - MacMasters Beach," 6,260 "," 6,389 "," 6,562 "," 6,577 ","6,662", 49 , 49 , 49 , 49 , 49 ," 355,743,857 "," 371,029,605 "," 388,268,724 "," 402,084,852 ","424,459,788"," 42,621 "," 42,597 "," 43,638 "," 45,190 ","47,179"," 56,828 "," 58,073 "," 59,169 "," 61,135 ","63,714",,,,,,,,,
102011030,Calga - Kulnura," 2,818 "," 2,896 "," 2,998 "," 2,932 ","2,933", 48 , 49 , 48 , 49 , 49 ," 157,983,983 "," 169,327,765 "," 176,001,279 "," 170,056,058 ","174,684,785"," 42,105 "," 42,854 "," 43,716 "," 42,630 ","44,506"," 56,062 "," 58,470 "," 58,706 "," 58,000 ","59,558",,,,,,,,,
102011031,Erina - Green Point," 7,568 "," 7,543 "," 7,822 "," 7,869 ","7,938", 48 , 49 , 48 , 48 , 48 ," 464,630,999 "," 472,848,904 "," 492,374,825 "," 510,666,699 ","530,946,051"," 43,481 "," 44,950 "," 45,238 "," 46,102 ","48,152"," 61,394 "," 62,687 "," 62,947 "," 64,896 ","66,887",,,,,,,,,
102011032,Gosford - Springfield," 10,262 "," 10,289 "," 10,552 "," 10,768 ","10,958", 42 , 42 , 42 , 42 , 42 ," 578,293,221 "," 585,804,053 "," 613,182,525 "," 645,309,101 ","678,336,368"," 45,972 "," 46,910 "," 47,475 "," 49,733 ","51,263"," 56,353 "," 56,935 "," 58,111 "," 59,928 ","61,903",,,,,,,,,
102011033,Kariong," 3,538 "," 3,584 "," 3,702 "," 3,721 ","3,818", 42 , 42 , 42 , 42 , 42 ," 197,863,156 "," 205,376,965 "," 214,234,158 "," 220,773,298 ","239,477,019"," 47,896 "," 49,725 "," 51,083 "," 51,647 ","53,945"," 55,925 "," 57,304 "," 57,870 "," 59,332 ","62,723",,,,,,,,,
102011034,Kincumber - Picketts Valley," 3,950 "," 3,873 "," 4,024 "," 4,025 ","4,011", 46 , 47 , 47 , 46 , 46 ," 203,291,723 "," 201,002,512 "," 215,049,794 "," 226,139,779 ","238,346,130"," 41,642 "," 43,003 "," 43,379 "," 45,167 ","48,278"," 51,466 "," 51,898 "," 53,442 "," 56,184 ","59,423",,,,,,,,,
102011035,Narara," 3,820 "," 3,849 "," 4,049 "," 4,104 ","4,119", 43 , 43 , 43 , 43 , 43 ," 204,931,962 "," 211,316,290 "," 222,724,763 "," 233,329,092 ","242,382,933"," 46,660 "," 48,121 "," 47,951 "," 49,459 ","51,826"," 53,647 "," 54,902 "," 55,007 "," 56,854 ","58,845",,,,,,,,,
102011036,Niagara Park - Lisarow," 4,585 "," 4,623 "," 4,771 "," 4,904 ","4,922", 44 , 44 , 44 , 44 , 44 ," 253,242,440 "," 263,029,555 "," 277,283,428 "," 287,228,693 ","298,572,813"," 45,762 "," 46,729 "," 48,386 "," 49,137 ","51,028"," 55,233 "," 56,896 "," 58,119 "," 58,570 ","60,661",,,,,,,,,
102011037,Point Clare - Koolewong," 3,427 "," 3,493 "," 3,532 "," 3,610 ","3,623", 46 , 47 , 46 , 47 , 47 ," 192,698,191 "," 200,628,203 "," 203,261,554 "," 213,482,019 ","222,083,915"," 45,966 "," 47,052 "," 47,434 "," 48,352 ","51,171"," 56,229 "," 57,437 "," 57,549 "," 59,136 ","61,298",,,,,,,,,
102011038,Saratoga - Davistown," 4,022 "," 4,057 "," 4,149 "," 4,218 ","4,207", 47 , 46 , 46 , 46 , 47 ," 216,126,979 "," 227,666,583 "," 241,694,783 "," 255,782,452 ","262,158,192"," 43,171 "," 44,662 "," 45,651 "," 48,166 ","49,298"," 53,736 "," 56,117 "," 58,254 "," 60,641 ","62,315",,,,,,,,,
102011039,Terrigal - North Avoca," 8,338 "," 8,420 "," 8,727 "," 8,939 ","8,915", 46 , 45 , 46 , 46 , 46 ," 537,637,079 "," 568,497,105 "," 613,703,491 "," 636,885,466 ","658,994,922"," 46,422 "," 48,555 "," 49,829 "," 51,063 ","52,678"," 64,480 "," 67,517 "," 70,322 "," 71,248 ","73,920",,,,,,,,,
102011040,Umina - Booker Bay - Patonga," 11,708 "," 12,037 "," 12,326 "," 12,673 ","12,823", 46 , 46 , 46 , 46 , 46 ," 576,435,778 "," 605,172,683 "," 635,432,729 "," 674,495,519 ","720,502,302"," 40,252 "," 41,368 "," 42,225 "," 43,381 ","45,507"," 49,234 "," 50,276 "," 51,552 "," 53,223 ","56,188",,,,,,,,,
102011041,Wamberal - Forresters Beach," 5,920 "," 5,966 "," 6,151 "," 6,309 ","6,335", 45 , 45 , 46 , 46 , 46 ," 380,929,905 "," 395,635,005 "," 408,833,821 "," 423,479,362 ","438,118,830"," 47,295 "," 49,041 "," 49,354 "," 50,322 ","51,249"," 64,346 "," 66,315 "," 66,466 "," 67,123 ","69,158",,,,,,,,,
102011042,Woy Woy - Blackwall," 6,684 "," 6,880 "," 7,038 "," 7,149 ","7,240", 46 , 46 , 46 , 46 , 46 ," 339,464,232 "," 362,719,989 "," 378,803,067 "," 394,590,883 ","411,081,957"," 42,481 "," 43,984 "," 44,539 "," 45,944 ","47,595"," 50,788 "," 52,721 "," 53,823 "," 55,195 ","56,779",,,,,,,,,
102011043,Wyoming," 5,697 "," 5,874 "," 5,942 "," 5,992 ","6,021", 44 , 44 , 44 , 43 , 43 ," 280,781,043 "," 298,906,782 "," 306,692,312 "," 322,353,500 ","333,033,074"," 43,438 "," 45,070 "," 45,159 "," 47,003 ","48,985"," 49,286 "," 50,886 "," 51,614 "," 53,797 ","55,312",,,,,,,,,
102021044,Bateau Bay - Killarney Vale," 10,606 "," 10,934 "," 11,614 "," 11,525 ","11,552", 44 , 43 , 43 , 43 , 43 ," 524,333,275 "," 549,544,259 "," 599,197,746 "," 612,869,161 ","636,875,062"," 42,469 "," 43,465 "," 44,849 "," 46,017 ","47,293"," 49,437 "," 50,260 "," 51,593 "," 53,177 ","55,131",,,,,,,,,
102021045,Blue Haven - San Remo," 5,005 "," 5,145 "," 5,432 "," 5,533 ","5,669", 40 , 40 , 40 , 39 , 39 ," 234,449,912 "," 248,435,866 "," 262,828,444 "," 277,352,873 ","295,720,022"," 42,641 "," 44,332 "," 44,241 "," 45,990 ","47,722"," 46,843 "," 48,287 "," 48,385 "," 50,127 ","52,164",,,,,,,,,
102021046,Budgewoi - Buff Point - Halekulani," 4,312 "," 4,388 "," 4,584 "," 4,635 ","4,624", 45 , 45 , 45 , 45 , 44 ," 212,129,119 "," 215,680,534 "," 230,852,360 "," 240,861,811 ","250,001,059"," 41,702 "," 41,847 "," 43,624 "," 45,086 ","47,257"," 49,195 "," 49,152 "," 50,360 "," 51,966 ","54,066",,,,,,,,,
102021047,Chittaway Bay - Tumbi Umbi," 8,348 "," 8,558 "," 9,088 "," 9,173 ","9,004", 44 , 44 , 44 , 43 , 44 ," 442,415,939 "," 461,451,846 "," 494,962,322 "," 514,653,078 ","519,541,857"," 45,015 "," 46,556 "," 46,984 "," 48,670 ","49,671"," 52,997 "," 53,921 "," 54,463 "," 56,105 ","57,701",,,,,,,,,
102021048,Gorokan - Kanwal - Charmhaven," 9,644 "," 9,971 "," 10,256 "," 10,399 ","10,481", 44 , 43 , 43 , 43 , 42 ," 446,204,871 "," 472,233,266 "," 494,602,771 "," 517,060,776 ","531,806,166"," 41,051 "," 42,005 "," 43,265 "," 45,122 ","46,152"," 46,268 "," 47,361 "," 48,226 "," 49,722 ","50,740",,,,,,,,,
102021049,Jilliby - Yarramalong," 1,990 "," 2,005 "," 2,117 "," 2,166 ","2,168", 47 , 47 , 47 , 47 , 47 ," 127,440,367 "," 140,969,303 "," 136,956,708 "," 138,874,284 ","144,523,893"," 44,122 "," 45,813 "," 46,795 "," 47,406 ","50,362"," 64,040 "," 70,309 "," 64,694 "," 64,116 ","66,662",,,,,,,,,
102021050,Lake Munmorah - Mannering Park," 4,730 "," 4,853 "," 5,011 "," 5,045 ","5,062", 45 , 45 , 45 , 45 , 45 ," 226,930,900 "," 244,931,027 "," 253,687,960 "," 259,209,756 ","267,277,757"," 41,152 "," 43,803 "," 44,114 "," 44,708 ","46,271"," 47,977 "," 50,470 "," 50,626 "," 51,380 ","52,801",,,,,,,,,
102021051,Ourimbah - Fountaindale," 2,932 "," 2,930 "," 3,000 "," 3,026 ","3,094", 44 , 44 , 44 , 44 , 44 ," 177,931,589 "," 184,496,334 "," 188,455,002 "," 196,852,029 ","201,202,256"," 48,214 "," 50,776 "," 50,932 "," 51,259 ","52,955"," 60,686 "," 62,968 "," 62,818 "," 65,054 ","65,030",,,,,,,,,
102021052,Summerland Point - Gwandalan," 2,858 "," 2,981 "," 3,088 "," 3,211 ","3,274", 45 , 45 , 45 , 45 , 45 ," 142,123,972 "," 149,462,623 "," 159,747,093 "," 170,151,794 ","178,689,901"," 42,683 "," 42,399 "," 44,718 "," 46,064 ","47,932"," 49,728 "," 50,138 "," 51,732 "," 52,990 ","54,578",,,,,,,,,
102021053,The Entrance," 10,024 "," 9,416 "," 7,765 "," 9,571 ","11,123", 43 , 44 , 46 , 45 , 44 ," 511,920,965 "," 495,139,200 "," 398,281,425 "," 517,325,852 ","633,209,514"," 44,137 "," 45,934 "," 42,211 "," 46,213 ","50,302"," 51,070 "," 52,585 "," 51,292 "," 54,051 ","56,928",,,,,,,,,
102021054,Toukley - Norah Head," 4,320 "," 4,437 "," 4,693 "," 4,636 ","4,661", 45 , 45 , 45 , 45 , 45 ," 210,391,544 "," 219,916,400 "," 236,771,997 "," 243,210,007 ","257,295,784"," 39,615 "," 41,417 "," 42,525 "," 44,592 ","45,767"," 48,702 "," 49,564 "," 50,452 "," 52,461 ","55,202",,,,,,,,,
102021055,Tuggerah - Kangy Angy," 2,783 "," 2,933 "," 3,001 "," 3,030 ","3,064", 42 , 42 , 43 , 43 , 43 ," 144,533,448 "," 158,584,853 "," 164,613,921 "," 172,762,888 ","180,535,650"," 44,360 "," 46,405 "," 47,431 "," 49,211 ","50,084"," 51,934 "," 54,069 "," 54,853 "," 57,017 ","58,922",,,,,,,,,
102021056,Warnervale - Wadalba," 7,073 "," 7,582 "," 8,402 "," 8,885 ","9,277", 41 , 41 , 41 , 41 , 41 ," 393,712,371 "," 426,787,290 "," 477,172,207 "," 524,039,309 ","563,897,504"," 47,983 "," 48,313 "," 49,533 "," 50,766 ","52,926"," 55,664 "," 56,290 "," 56,793 "," 58,980 ","60,784",,,,,,,,,
102021057,Wyong," 3,922 "," 4,053 "," 4,064 "," 4,210 ","4,256", 44 , 43 , 43 , 43 , 43 ," 188,063,400 "," 200,257,485 "," 203,795,249 "," 218,405,135 ","222,827,781"," 41,055 "," 43,232 "," 44,100 "," 46,129 ","46,471"," 47,951 "," 49,410 "," 50,146 "," 51,878 ","52,356",,,,,,,,,
103011058,Bathurst," 12,200 "," 12,251 "," 12,490 "," 12,696 ","12,991", 43 , 43 , 43 , 42 , 42 ," 675,452,949 "," 695,036,959 "," 708,940,937 "," 743,685,729 ","783,845,750"," 46,083 "," 47,499 "," 47,969 "," 49,290 ","51,622"," 55,365 "," 56,733 "," 56,761 "," 58,576 ","60,338",,,,,,,,,
103011059,Bathurst - East," 5,463 "," 5,730 "," 5,755 "," 6,012 ","6,179", 43 , 43 , 43 , 43 , 43 ," 309,253,291 "," 334,555,198 "," 339,165,600 "," 360,626,744 ","377,425,547"," 48,664 "," 50,229 "," 50,975 "," 52,488 ","53,555"," 56,609 "," 58,387 "," 58,934 "," 59,984 ","61,082",,,,,,,,,
103011060,Bathurst Region," 3,874 "," 3,799 "," 3,893 "," 4,032 ","4,138", 48 , 48 , 48 , 49 , 49 ," 211,359,579 "," 212,053,953 "," 212,932,707 "," 220,864,374 ","233,829,039"," 44,179 "," 44,146 "," 45,824 "," 45,852 ","48,247"," 54,558 "," 55,818 "," 54,696 "," 54,778 ","56,508",,,,,,,,,
103011061,Oberon," 2,460 "," 2,434 "," 2,476 "," 2,546 ","2,563", 48 , 48 , 47 , 48 , 48 ," 124,137,517 "," 125,265,092 "," 125,529,161 "," 133,597,033 ","134,852,801"," 44,587 "," 44,918 "," 45,416 "," 47,314 ","48,032"," 50,462 "," 51,465 "," 50,698 "," 52,473 ","52,615",,,,,,,,,
103021062,Condobolin," 3,559 "," 3,518 "," 3,596 "," 3,566 ","3,513", 46 , 45 , 45 , 45 , 45 ," 186,384,444 "," 172,338,936 "," 181,630,749 "," 173,133,871 ","127,334,392"," 42,055 "," 40,275 "," 40,978 "," 40,858 ","34,113"," 52,370 "," 48,988 "," 50,509 "," 48,551 ","36,247",,,,,,,,,
103021063,Cowra," 4,853 "," 4,461 "," 4,903 "," 4,756 ","4,834", 47 , 46 , 47 , 47 , 48 ," 217,663,439 "," 199,069,642 "," 225,555,464 "," 225,116,551 ","235,155,890"," 38,330 "," 38,329 "," 39,417 "," 41,168 ","42,334"," 44,851 "," 44,624 "," 46,004 "," 47,333 ","48,646",,,,,,,,,
103021064,Cowra Region," 2,513 "," 2,552 "," 2,676 "," 2,829 ","2,801", 49 , 48 , 48 , 48 , 48 ," 113,285,106 "," 120,791,226 "," 130,798,478 "," 136,326,369 ","131,262,698"," 36,887 "," 39,277 "," 38,949 "," 40,377 ","40,541"," 45,080 "," 47,332 "," 48,878 "," 48,189 ","46,863",,,,,,,,,
103021065,Forbes," 5,160 "," 5,220 "," 5,294 "," 5,346 ","5,327", 46 , 45 , 46 , 45 , 45 ," 258,176,000 "," 269,124,912 "," 272,780,863 "," 284,301,264 ","266,171,367"," 41,692 "," 42,955 "," 43,527 "," 44,921 ","44,268"," 50,034 "," 51,556 "," 51,526 "," 53,180 ","49,966",,,,,,,,,
103021066,Grenfell," 1,888 "," 1,818 "," 1,910 "," 1,852 ","1,851", 50 , 50 , 51 , 51 , 51 ," 88,487,366 "," 95,475,804 "," 89,322,153 "," 94,611,201 ","79,752,298"," 37,639 "," 40,534 "," 38,957 "," 41,811 ","37,479"," 46,868 "," 52,517 "," 46,766 "," 51,086 ","43,086",,,,,,,,,
103021067,Parkes (NSW)," 5,688 "," 5,272 "," 5,476 "," 5,736 ","5,737", 43 , 43 , 43 , 43 , 43 ," 296,387,210 "," 282,481,368 "," 292,751,213 "," 311,178,287 ","319,878,563"," 43,510 "," 45,381 "," 45,529 "," 45,898 ","47,392"," 52,107 "," 53,581 "," 53,461 "," 54,250 ","55,757",,,,,,,,,
103021068,Parkes Region," 1,703 "," 1,509 "," 1,601 "," 1,706 ","1,680", 50 , 48 , 49 , 48 , 48 ," 81,553,325 "," 69,567,245 "," 72,965,141 "," 74,764,570 ","60,261,510"," 37,201 "," 36,497 "," 38,487 "," 38,089 ","34,777"," 47,888 "," 46,102 "," 45,575 "," 43,824 ","35,870",,,,,,,,,
103021069,West Wyalong," 3,126 "," 2,998 "," 3,132 "," 3,123 ","3,177", 48 , 48 , 47 , 47 , 47 ," 161,535,435 "," 156,673,831 "," 166,964,954 "," 155,256,706 ","152,934,332"," 39,539 "," 40,730 "," 40,718 "," 40,758 ","39,663"," 51,675 "," 52,259 "," 53,309 "," 49,714 ","48,138",,,,,,,,,
103031070,Lithgow," 5,531 "," 5,581 "," 5,604 "," 5,668 ","5,706", 45 , 45 , 46 , 45 , 45 ," 311,223,562 "," 312,317,758 "," 318,324,484 "," 331,277,661 ","341,824,793"," 43,716 "," 44,863 "," 45,448 "," 46,516 ","48,039"," 56,269 "," 55,961 "," 56,803 "," 58,447 ","59,906",,,,,,,,,
