            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 22/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,Median age of earners (years),,,,,Sum ($),,,,,Median ($),,,,,Mean ($),,,,,,,,,,,,,
SA2,SA2 NAME,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,,,,,,,,,
Australia ,," 13,102,895 "," 13,358,252 "," 13,678,024 "," 14,069,082 ","14,425,037", 42 , 42 , 42 , 42 , 42 ," 799,748,049,060 "," 827,875,051,087 "," 856,159,475,083 "," 903,888,674,402 ","951,373,381,486"," 46,854 "," 47,692 "," 48,360 "," 49,805 ","51,389"," 61,036 "," 61,975 "," 62,594 "," 64,246 ","65,953",,,,,,,,,
New South Wales,," 4,091,347 "," 4,191,542 "," 4,344,997 "," 4,466,941 ","4,569,650", 42 , 42 , 42 , 42 , 42 ," 256,928,457,330 "," 270,324,902,216 "," 283,275,046,025 "," 300,176,988,652 ","314,465,961,966"," 46,879 "," 48,085 "," 48,700 "," 50,153 ","51,818"," 62,798 "," 64,493 "," 65,196 "," 67,200 ","68,816",,,,,,,,,
101021007,Braidwood," 2,133 "," 2,153 "," 2,262 "," 2,315 ","2,361", 50 , 50 , 50 , 51 , 51 ," 101,830,606 "," 109,961,530 "," 115,564,780 "," 119,439,615 ","120,763,285"," 38,093 "," 39,716 "," 41,288 "," 42,003 ","41,593"," 47,741 "," 51,074 "," 51,090 "," 51,594 ","51,149",,,,,,,,,
101021008,Karabar," 4,866 "," 4,937 "," 4,988 "," 5,059 ","5,100", 43 , 42 , 42 , 42 , 42 ," 289,762,288 "," 301,618,607 "," 311,923,113 "," 322,715,297 ","338,308,979"," 54,942 "," 55,870 "," 57,880 "," 59,295 ","61,777"," 59,548 "," 61,093 "," 62,535 "," 63,790 ","66,335",,,,,,,,,
101021009,Queanbeyan," 6,194 "," 6,419 "," 6,486 "," 6,595 ","6,697", 40 , 39 , 39 , 39 , 39 ," 367,366,063 "," 390,044,004 "," 395,374,979 "," 414,579,067 ","441,160,946"," 54,716 "," 54,999 "," 55,376 "," 57,848 ","60,119"," 59,310 "," 60,764 "," 60,958 "," 62,863 ","65,874",,,,,,,,,
101021010,Queanbeyan - East," 2,971 "," 3,106 "," 3,230 "," 3,392 ","3,393", 40 , 40 , 40 , 40 , 40 ," 186,867,083 "," 199,164,715 "," 211,520,090 "," 232,611,414 ","237,035,656"," 55,268 "," 55,650 "," 57,380 "," 60,166 ","63,051"," 62,897 "," 64,123 "," 65,486 "," 68,576 ","69,860",,,,,,,,,
101021011,Queanbeyan Region," 9,768 "," 10,381 "," 11,532 "," 12,213 ","12,821", 46 , 46 , 45 , 45 , 44 ," 717,452,753 "," 790,019,714 "," 875,609,556 "," 964,410,618 ","1,050,285,692"," 62,857 "," 65,366 "," 66,227 "," 67,998 ","71,420"," 73,449 "," 76,102 "," 75,929 "," 78,966 ","81,919",,,,,,,,,
101021012,Queanbeyan West - Jerrabomberra," 8,067 "," 8,039 "," 8,272 "," 8,509 ","8,476", 43 , 44 , 44 , 44 , 44 ," 618,616,023 "," 639,311,430 "," 667,990,366 "," 697,740,895 ","725,602,722"," 67,545 "," 68,719 "," 69,787 "," 71,350 ","73,851"," 76,685 "," 79,526 "," 80,753 "," 82,000 ","85,607",,,,,,,,,
101031013,Bombala," 1,358 "," 1,301 "," 1,365 "," 1,382 ","1,369", 49 , 48 , 49 , 49 , 50 ," 67,898,894 "," 69,218,945 "," 79,115,739 "," 77,833,542 ","71,777,152"," 42,237 "," 44,115 "," 47,525 "," 46,094 ","44,428"," 49,999 "," 53,204 "," 57,960 "," 56,319 ","52,430",,,,,,,,,
