address,price,beds,baths,parking,propertyTypeFormatted
ABBOTSFORD 714/20 Shamrock Street VIC 3067,$350 per week,1,1,0,Apartment / Unit / Flat
ELWOOD 4/5 Southey Court VIC 3184,$575 weekly,2,1,1,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
CANTERBURY 2/28 Milton Street VIC 3126,"$430pw/$1,868pcm",2,1,1,Apartment / Unit / Flat
CHADSTONE 336/70 Batesford Road VIC 3148,$375,1,1,1,Apartment / Unit / Flat
BRIGHTON 7/21 Dawson Avenue VIC 3186,THE DEAL: $650 PER WEEK,2,1,1,Apartment / Unit / Flat
SOUTH YARRA 512/77 River Street VIC 3141,$430 per week,1,1,1,Apartment / Unit / Flat
SOUTH MELBOURNE 1703/89-103 Gladstone Street VIC 3205,$460 Per Week,1,1,0,Apartment / Unit / Flat
WODONGA 2/4 ANNE STREET VIC 3690,$240,1,1,1,Apartment / Unit / Flat
ST KILDA 5/2 Kipling Street VIC 3182,$325 weekly,2,1,1,Apartment / Unit / Flat
ST KILDA 14/21 Marine Parade VIC 3182,"$1,300.00",3,2,2,Apartment / Unit / Flat
SOUTH YARRA 713/32 Bray Street VIC 3141,$335 per week,0,1,0,Studio
FITZROY NORTH 111L/378-390 St Georges Road VIC 3068,$440,1,1,1,Apartment / Unit / Flat
BALACLAVA 4/360 Carlisle Street VIC 3183,$650 pw,2,1,1,Apartment / Unit / Flat
MALVERN EAST 508/839 Dandenong Road VIC 3145,$360 per week,1,1,1,Apartment / Unit / Flat
MELBOURNE 1112/333-351 Exhibition Street VIC 3000,$600 per week,2,2,0,Apartment / Unit / Flat
FITZROY NORTH 22L/378-390 St Georges Road VIC 3068,$570,2,2,1,Apartment / Unit / Flat
MENTONE G01/97 Beach Road VIC 3194,$750.00,1,1,2,Apartment / Unit / Flat
MELBOURNE 602/118 Franklin Street VIC 3000,$330,1,1,0,Apartment / Unit / Flat
GLEN IRIS 2/49 Osborne Avenue VIC 3146,$770 Per Week,2,2,2,Apartment / Unit / Flat
ABBOTSFORD 509A/1 Acacia Place VIC 3067,$410.00,1,1,1,Apartment / Unit / Flat
BRUNSWICK 208/34 Union Street VIC 3056,$490.00,2,1,1,Apartment / Unit / Flat
GLEN IRIS 12/70 Edgar Street North VIC 3146,$295.00,1,1,1,Apartment / Unit / Flat
address,price,beds,baths,parking,propertyTypeFormatted
SOUTH YARRA 113/2 Hobson Street VIC 3141,$410.00,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 130/471 Malvern Road VIC 3141,$400.00,1,1,1,Apartment / Unit / Flat
FOOTSCRAY 1303/8 Joseph Road VIC 3011,$490 per week,2,2,1,Apartment / Unit / Flat
EAST MELBOURNE 23/2 Wellington Crescent VIC 3002,$750 per week,2,2,2,Apartment / Unit / Flat
COLLINGWOOD 1304e/9 Robert Street VIC 3066,$450.00,1,1,1,Apartment / Unit / Flat
MELBOURNE 4/180 Little Collins Street VIC 3000,$500 per week,1,1,0,Apartment / Unit / Flat
SOUTH YARRA 516/77 River Street VIC 3141,$370 per week,1,1,1,Apartment / Unit / Flat
MALVERN EAST 2/997 Dandenong Road VIC 3145,$400 per week,2,1,1,Apartment / Unit / Flat
