SA2 name,2016pr,2017pr,Natural increase,Net internal migration,Net overseas migration,2016-2017%,2016-2017no.,km2,Population density 2017 persons/km2
Yallourn North - Glengarry,4566,4569,38,-39,4,0.1,3,342.7,13.3
Alps - West,24,24,0,0,0,0.0,0,2955.7,0.0
Longford - Loch Sport,4363,4395,9,7,16,0.7,32,1610.8,2.7
Maffra,14031,14154,36,20,67,0.9,123,2532.3,5.6
Rosedale,4806,4880,24,33,17,1.5,74,968.5,5.0
Sale,14783,14826,59,-89,73,0.3,43,45.6,325.1
Yarram,5347,5366,-6,18,7,0.4,19,1931.9,2.8
Brunswick,27123,27853,186,-83,627,2.7,730,5.1,5416.2
Brunswick East,11766,12582,107,412,297,6.9,816,2.2,5803.5
Brunswick West,14629,14856,99,-217,345,1.6,227,3.2,4672.4
Coburg,27733,28153,198,-326,548,1.5,420,6.9,4059.8
Pascoe Vale South,10402,10698,57,127,112,2.8,296,3.0,3579.5
Alphington - Fairfield,9415,9628,89,-23,147,2.3,213,2.9,3336.9
Northcote,26334,26882,149,92,307,2.1,548,6.1,4374.6
Thornbury,19522,19815,139,-88,242,1.5,293,5.0,3965.2
Ascot Vale,15667,16073,204,-81,283,2.6,406,3.8,4189.9
Essendon - Aberfeldie,28954,29736,137,193,452,2.7,782,8.4,3522.0
Flemington,10662,10778,136,-388,368,1.1,116,1.6,6818.1
Moonee Ponds,15084,15356,103,-92,261,1.8,272,4.4,3526.0
Carlton,20575,21975,94,-517,1823,6.8,1400,1.8,12084.1
Docklands,11944,13701,136,726,895,14.7,1757,2.4,5606.0
East Melbourne,5356,5532,7,42,127,3.3,176,2.9,1907.7
Flemington Racecourse,103,103,0,0,0,0.0,0,1.7,60.3
Kensington (Vic.),11526,11661,134,-169,170,1.2,135,2.1,5431.3
Melbourne,41473,46104,197,847,3587,11.2,4631,2.4,19461.4
North Melbourne,22086,23556,125,-98,1443,6.7,1470,3.2,7249.8
Parkville,7898,8245,-12,17,342,4.4,347,4.0,2036.2
South Yarra - West,6607,6940,-7,189,151,5.0,333,1.5,4618.4
Southbank,20470,22223,184,790,779,8.6,1753,3.1,7228.6
West Melbourne,3,3,0,0,0,0.0,0,6.2,0.5
Albert Park,16540,16760,140,-217,297,1.3,220,4.7,3585.3
Elwood,16509,16676,173,-229,223,1.0,167,2.6,6531.9
Port Melbourne,17370,17567,181,-211,227,1.1,197,2.8,6297.8
Port Melbourne Industrial,27,27,0,0,0,0.0,0,6.9,3.9
South Melbourne,12357,12605,80,-100,268,2.0,248,2.5,5052.5
St Kilda,28141,28834,97,-271,867,2.5,693,3.9,7391.4
St Kilda East,17625,17906,200,-266,347,1.6,281,2.4,7419.1
Armadale,9658,9808,51,-5,104,1.6,150,2.2,4491.9
Prahran - Windsor,21391,21816,112,-164,477,2.0,425,2.9,7508.8
South Yarra - East,22677,23888,172,310,729,5.3,1211,2.5,9489.9
Toorak,14072,14143,3,-76,144,0.5,71,4.3,3271.3
Abbotsford,8842,9502,65,349,246,7.5,660,1.7,5459.4
Carlton North - Princes Hill,9020,9073,53,-136,136,0.6,53,2.3,3937.6
Collingwood,9144,9726,82,168,332,6.4,582,1.3,7675.8
Fitzroy,11464,11673,90,-153,272,1.8,209,1.4,8471.0
Fitzroy North,13211,13422,91,-53,173,1.6,211,2.5,5357.9
Richmond (Vic.),32848,33814,298,7,661,2.9,966,6.2,5442.9
Yarra - North,9705,9822,87,-84,114,1.2,117,5.2,1885.6
Ashburton (Vic.),8217,8289,13,-50,109,0.9,72,2.8,2922.2
Balwyn,16700,16914,-11,-106,331,1.3,214,5.6,3028.5
Balwyn North,21340,21452,1,-189,300,0.5,112,8.8,2424.2
Camberwell,22567,22788,-58,29,250,1.0,221,7.3,3125.1
Glen Iris - East,17190,17413,105,8,110,1.3,223,5.7,3052.3
Hawthorn,24700,25137,168,-197,466,1.8,437,5.7,4431.7
Hawthorn East,16289,16687,113,-10,295,2.4,398,3.8,4363.8
Kew,26314,26557,54,-96,285,0.9,243,10.5,2521.1
Kew East,6825,6874,48,-85,86,0.7,49,4.0,1711.9
Surrey Hills (West) - Canterbury,17219,17366,2,-21,166,0.9,147,5.7,3045.3
Bulleen,11648,11730,33,-95,144,0.7,82,6.7,1758.3
Doncaster,21864,22674,91,153,566,3.7,810,8.8,2584.3
Templestowe,17620,17663,-35,-147,225,0.2,43,16.1,1095.9
Templestowe Lower,14375,14468,-16,-22,131,0.6,93,5.9,2436.3
Doncaster East (North),15361,15455,69,-221,246,0.6,94,6.4,2413.8
Doncaster East (South),14725,15041,63,-159,412,2.1,316,4.8,3154.3
Blackburn,22480,22913,63,27,343,1.9,433,8.6,2661.9
Blackburn South,11274,11357,3,-71,151,0.7,83,3.6,3157.7
Box Hill,20973,21787,110,-324,1028,3.9,814,7.0,3107.1
Box Hill North,18359,18575,166,-395,445,1.2,216,6.2,2991.8
Burwood,12937,13646,18,-245,936,5.5,709,5.0,2708.0
Burwood East,10807,10897,16,-260,334,0.8,90,4.3,2556.2
Surrey Hills (East) - Mont Albert,10426,10484,29,-113,142,0.6,58,3.3,3150.3
Beaumaris,14172,14373,12,83,106,1.4,201,6.0,2408.4
Brighton (Vic.),24297,24611,3,76,235,1.3,314,8.2,3001.2
Brighton East,16701,16742,-55,-73,169,0.2,41,5.6,2985.2
Cheltenham - Highett (West),11439,11721,78,88,116,2.5,282,5.3,2203.3
Hampton,18732,18980,108,-64,204,1.3,248,5.7,3338.8
Sandringham - Black Rock,17396,17603,-3,70,140,1.2,207,6.4,2737.6
Bentleigh - McKinnon,23869,24363,111,21,362,2.1,494,6.2,3914.2
Carnegie,19104,19554,165,-364,649,2.4,450,3.8,5140.0
Caulfield - North,22207,22834,203,-41,465,2.8,627,6.4,3557.3
Caulfield - South,18456,18637,-5,-102,288,1.0,181,4.7,3929.7
Elsternwick,12061,12248,121,-87,153,1.6,187,2.9,4280.1
Hughesdale,8002,8142,45,-109,204,1.7,140,2.0,4051.6
Murrumbeena,9771,9871,52,-170,218,1.0,100,2.5,3925.2
Ormond - Glen Huntly,14089,14291,119,-400,483,1.4,202,2.9,4865.7
Bentleigh East (North),15548,15789,87,-83,237,1.6,241,4.6,3433.2
Bentleigh East (South),13907,14159,85,23,144,1.8,252,4.6,3086.0
Aspendale Gardens - Waterways,9487,9510,61,-114,76,0.2,23,5.3,1791.9
Braeside,86,86,0,0,0,0.0,0,9.1,9.5
Carrum - Patterson Lakes,12144,12353,85,36,88,1.7,209,5.8,2121.0
Chelsea - Bonbeach,14810,15112,80,102,120,2.0,302,5.4,2786.6
Chelsea Heights,5517,5567,54,-28,24,0.9,50,3.2,1742.0
Cheltenham - Highett (East),23352,23819,125,61,281,2.0,467,8.7,2726.0
Edithvale - Aspendale,13307,13448,80,-31,92,1.1,141,5.1,2636.8
Mentone,13709,13882,46,-72,199,1.3,173,4.5,3119.6
Moorabbin - Heatherton,9237,9378,43,-73,171,1.5,141,11.7,801.6
Moorabbin Airport,0,0,0,0,0,0.0,0,3.1,0.0
Mordialloc - Parkdale,20873,21184,96,-58,273,1.5,311,8.0,2658.6
Malvern - Glen Iris,21265,21531,59,-51,258,1.3,266,6.2,3498.0
Malvern East,22543,22952,68,-188,529,1.8,409,7.6,3033.3
Bundoora - East,10355,10446,58,-155,188,0.9,91,4.1,2563.5
Greensborough,21392,21523,129,-108,110,0.6,131,10.1,2131.5
Heidelberg - Rosanna,15578,15916,55,65,218,2.2,338,6.4,2497.9
Heidelberg West,14840,15149,144,-40,205,2.1,309,6.7,2264.0
Ivanhoe,12040,12464,82,197,145,3.5,424,5.0,2468.2
Ivanhoe East - Eaglemont,8116,8224,-6,50,64,1.3,108,4.3,1922.9
Montmorency - Briar Hill,16765,16893,119,-90,99,0.8,128,12.0,1404.5
Viewbank - Yallambie,19090,19199,85,-163,187,0.6,109,10.2,1875.3
Watsonia,9517,9590,84,-70,59,0.8,73,3.8,2533.3
Kingsbury,11938,12527,18,-10,581,4.9,589,9.0,1390.5
Reservoir - East,28460,29062,160,-194,636,2.1,602,9.0,3241.2
Reservoir - West,25295,25644,134,-243,458,1.4,349,10.2,2525.4
Preston - East,21188,21842,165,-25,514,3.1,654,7.7,2819.9
Preston - West,12870,13153,121,-81,243,2.2,283,3.6,3686.5
Eltham,23951,24050,145,-181,135,0.4,99,19.5,1234.1
Hurstbridge,3624,3644,35,-23,8,0.6,20,14.8,245.5
Kinglake,3990,4054,32,28,4,1.6,64,319.5,12.7
Panton Hill - St Andrews,5423,5455,21,-5,16,0.6,32,292.2,18.7
Plenty - Yarrambat,9941,10030,46,-14,57,0.9,89,29.1,344.5
Research - North Warrandyte,7011,7049,31,-33,40,0.5,38,49.8,141.6
Wattle Glen - Diamond Creek,14330,14429,87,-39,51,0.7,99,26.8,537.9
Bundoora - North,7854,8118,62,-55,257,3.4,264,4.7,1721.7
Bundoora - West,6604,6674,61,-192,201,1.1,70,2.6,2606.9
Lalor,24114,24649,290,-169,414,2.2,535,12.1,2043.9
Mill Park - North,18775,18768,87,-303,209,0.0,-7,8.1,2306.7
Mill Park - South,12481,12480,91,-217,125,0.0,-1,4.9,2531.5
Thomastown,21551,21592,187,-498,352,0.2,41,14.7,1470.3
Wallan,16700,17420,220,439,61,4.3,720,507.7,34.3
Whittlesea,8388,8560,-4,154,22,2.1,172,298.0,28.7
Doreen,21904,23494,465,975,150,7.3,1590,14.5,1624.6
Epping - East,13879,14040,94,-146,213,1.2,161,7.8,1807.2
Epping - South,8776,8844,67,-171,172,0.8,68,15.9,557.2
Epping - West,11557,12344,250,311,226,6.8,787,7.4,1677.8
Mernda,17268,19708,404,1792,244,14.1,2440,23.8,827.3
South Morang (North),12596,12928,194,15,123,2.6,332,13.7,943.0
South Morang (South),12483,12582,53,-94,140,0.8,99,7.7,1624.6
Wollert,9651,11657,321,1439,246,20.8,2006,53.9,216.3
Airport West,7918,8045,44,21,62,1.6,127,3.7,2163.0
Essendon Airport,0,0,0,0,0,0.0,0,3.4,0.0
Keilor,8887,8947,38,-16,38,0.7,60,17.5,510.9
Keilor East,27556,27910,71,55,228,1.3,354,10.9,2562.5
Niddrie - Essendon West,7216,7377,60,35,66,2.2,161,2.8,2632.1
Strathmore,9895,10135,43,133,64,2.4,240,4.1,2445.5
Gisborne,13345,13668,107,168,48,2.4,323,211.1,64.8
Macedon,3541,3582,23,7,11,1.2,41,73.0,49.1
Riddells Creek,4185,4251,29,24,13,1.6,66,83.4,51.0
