SA2 name,2016pr,2017pr,Natural increase,Net internal migration,Net overseas migration,2016-2017%,2016-2017no.,km2,Population density 2017 persons/km2
Hoppers Crossing - North,20034,20117,210,-366,239,0.4,83,10.9,1843.3
Hoppers Crossing - South,20366,20591,216,-367,376,1.1,225,7.0,2936.8
Laverton,9429,10308,179,333,367,9.3,879,22.2,463.4
Tarneit,36532,39802,872,1463,935,9.0,3270,62.1,640.5
Truganina,24977,27952,749,1452,774,11.9,2975,27.2,1029.0
Werribee - South,11844,12344,24,305,171,4.2,500,114.0,108.2
Wyndham Vale,24269,25522,414,477,362,5.2,1253,128.2,199.0
Point Cook - East,12897,14545,244,1087,317,12.8,1648,19.0,764.1
Point Cook - North,24415,25012,322,-208,483,2.4,597,8.5,2945.8
Point Cook - South,15299,16964,351,893,421,10.9,1665,9.4,1800.4
Werribee - East,20744,20934,137,-315,368,0.9,190,7.8,2698.8
Werribee - West,12332,13177,156,564,125,6.9,845,127.7,103.2
Carrum Downs,21535,21824,188,-31,132,1.3,289,20.3,1074.7
Frankston,23451,23654,142,-137,198,0.9,203,11.6,2034.9
Frankston North,19947,19971,106,-187,105,0.1,24,13.2,1508.6
Frankston South,19035,19151,35,-39,120,0.6,116,14.6,1315.3
Langwarrin,24792,25023,238,-75,68,0.9,231,37.6,665.2
Seaford (Vic.),17138,17246,198,-186,96,0.6,108,12.4,1387.2
Skye - Sandhurst,13613,13839,190,-61,97,1.7,226,19.8,698.4
Dromana,11474,11954,3,420,57,4.2,480,45.1,265.3
Flinders,5657,5658,-19,-15,35,0.0,1,287.4,19.7
Hastings - Somers,22806,23051,131,46,68,1.1,245,108.9,211.7
Mornington,24894,25356,-53,388,127,1.9,462,21.1,1202.1
Mount Eliza,18798,18935,3,-4,138,0.7,137,23.2,815.9
Mount Martha,19317,19553,35,106,95,1.2,236,30.2,647.2
Point Nepean,17726,17935,45,99,65,1.2,209,67.2,266.9
Rosebud - McCrae,21499,21778,-146,348,77,1.3,279,23.8,915.2
Somerville,18691,18931,79,111,50,1.3,240,117.4,161.3
Ararat,8362,8368,-27,-14,47,0.1,6,161.2,51.9
Ararat Region,3183,3201,10,-8,16,0.6,18,4023.2,0.8
Horsham,16395,16426,63,-86,54,0.2,31,83.1,197.7
Horsham Region,3443,3440,4,-10,3,-0.1,-3,4251.5,0.8
Nhill Region,6908,6824,-18,-82,16,-1.2,-84,11042.8,0.6
St Arnaud,3348,3308,-11,-40,11,-1.2,-40,3008.6,1.1
Stawell,8237,8189,-27,-52,31,-0.6,-48,2743.4,3.0
West Wimmera,2766,2733,2,-38,3,-1.2,-33,5685.9,0.5
Yarriambiack,6688,6628,-43,-32,15,-0.9,-60,7139.6,0.9
Irymple,6956,7008,35,-2,19,0.7,52,88.3,79.4
Merbein,4783,4821,1,26,11,0.8,38,101.8,47.3
Mildura Region,3727,3721,-1,-42,37,-0.2,-6,21569.5,0.2
Red Cliffs,5921,5973,33,-1,20,0.9,52,246.7,24.2
Mildura - North,18402,18582,170,-230,240,1.0,180,25.1,739.8
Mildura - South,14775,14966,105,-22,108,1.3,191,51.0,293.5
Buloke,6231,6153,-64,-30,16,-1.3,-78,8068.7,0.8
Gannawarra,6652,6674,3,16,3,0.3,22,3568.2,1.9
Kerang,3903,3885,-17,-4,3,-0.5,-18,146.6,26.5
Robinvale,3427,3403,45,-144,75,-0.7,-24,181.7,18.7
Swan Hill,11042,11061,73,-103,49,0.2,19,126.6,87.4
Swan Hill Region,6442,6387,23,-102,24,-0.9,-55,5759.2,1.1
Echuca,14688,14728,-1,0,41,0.3,40,183.8,80.1
Kyabram,11003,11025,-3,-4,29,0.2,22,738.9,14.9
Lockington - Gunbower,3892,3895,3,-4,4,0.1,3,1646.4,2.4
Rochester,3958,3965,6,-2,3,0.2,7,351.6,11.3
Rushworth,4041,4016,-5,-24,4,-0.6,-25,1633.9,2.5
Cobram,6381,6395,6,-41,49,0.2,14,131.5,48.6
Moira,2580,2592,8,-9,13,0.5,12,1498.8,1.7
Numurkah,12343,12339,21,-56,31,0.0,-4,2321.0,5.3
Yarrawonga,8002,8139,-66,186,17,1.7,137,95.0,85.7
Mooroopna,8018,8024,3,-40,43,0.1,6,40.0,200.7
Shepparton - North,19014,19229,118,-106,203,1.1,215,65.7,292.9
Shepparton - South,23661,23889,194,-185,219,1.0,228,143.3,166.7
Shepparton Region - East,3890,3883,20,-42,15,-0.2,-7,1055.6,3.7
Shepparton Region - West,10305,10404,21,29,49,1.0,99,1028.7,10.1
Glenelg (Vic.),8738,8682,-4,-67,15,-0.6,-56,6121.2,1.4
Hamilton (Vic.),10040,10038,-15,-25,38,0.0,-2,198.3,50.6
Portland,10950,10937,2,-34,19,-0.1,-13,64.0,170.9
Southern Grampians,6127,6097,14,-62,18,-0.5,-30,6562.6,0.9
Camperdown,3493,3500,-17,19,5,0.2,7,98.1,35.7
Colac,12411,12465,-7,18,43,0.4,54,54.7,227.7
Colac Region,5402,5390,42,-67,13,-0.2,-12,1934.3,2.8
Corangamite - North,5435,5413,-19,-16,13,-0.4,-22,2538.3,2.1
Corangamite - South,7192,7149,32,-97,22,-0.6,-43,1805.2,4.0
Otway,3571,3591,-3,-12,35,0.6,20,1505.9,2.4
Moyne - East,6709,6672,18,-75,20,-0.6,-37,3275.8,2.0
Moyne - West,9561,9644,9,28,46,0.9,83,2037.8,4.7
Warrnambool - North,21440,21701,108,2,151,1.2,261,62.4,347.7
Warrnambool - South,13178,13211,-11,-97,141,0.3,33,120.2,109.9
,,,,,,,,,
TOTAL VICTORIA,6179249,6323606,40274,17182,86901,2.3,144357,227495.6,27.8
