,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
0,ALPINE5519,Pioneer Park Recreation Reserve,Coronation,BRIGHT,3741.0,-36.737199,146.973353,," Coronation Avenue, BRIGHT 3741",661 P4
1,ALPINE10928,Mount Beauty recreation Reserve,Lakeside ,MOUNT BEAUTY,3699.0,-36.739256,147.172162,Grass Running Track," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
2,ALPINE10924,Dederang Recreation reserve,Kiewa-Valley,DEDERANG,3691.0,-36.475264,147.020525,Grass," Kiewa-Valley Hwy, DEDERANG 3691",36 B9
3,ALPINE10932,RC McNamara Reserve,Lewis ,MYRTLEFORD,3737.0,-36.567524,146.723777,Grass," Lewis  Avenue, MYRTLEFORD 3737",660 B7
4,ALPINE10942,Porepunkah Recreation Reserve,Martley,POREPUNKAH,3740.0,-36.698109,146.910729,Grass," Martley Street, POREPUNKAH 3740",661 M11
5,ALPINE10944,Alpine Park Wandiligong,White Star ,WANDILIGONG,3744.0,-36.765294,146.977687,Synthetic Pitch," White Star  Road, WANDILIGONG 3744",50 A6
6,ALPINE10925,Gapsted Recreation reserve,Lower River,GAPSTED,3737.0,-36.505019,146.676961,Synthetic Pitch," Lower River Road, GAPSTED 3737",49 C2
7,ALPINE10927,Harrietville Recreation reserve,Charlie Miley,HARRIETVILLE,3741.0,-36.895455,147.059682,Synthetic Pitch," Charlie Miley Road, HARRIETVILLE 3741",662 C4
8,ALPINE10935,Memorial Park,Duke ,MYRTLEFORD,3737.0,-36.555836,146.723887,Synthetic Pitch," Duke  Street, MYRTLEFORD 3737",660 C5
9,ALPINE5428,Big Hill MTB Park,,,,-36.742701,147.169347,,"  ,  ",
10,ALPINE11307,Myrtleford Recreation Reserve,Yackandandah ,MYRTLEFORD,3737.0,-36.543428,146.738124,," Yackandandah  Road, MYRTLEFORD 3737",
11,ALPINE10916,Bright Skate Park (lions Park),Delany,BRIGHT,3741.0,-36.728932,146.970354,Concrete," Delany Avenue, BRIGHT 3741",661 P2
12,ALPINE10940,Cundy Park,Standish ,MYRTLEFORD,3737.0,-36.556305,146.728418,Concrete," Standish  Street, MYRTLEFORD 3737",660 E3 
13,ALPINE10931,Lakeside Football Reserve,Lakeside ,MOUNT BEAUTY,3699.0,-36.740988,147.168502,Grass," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
14,ALPINE10936,Jubilee Park & Swimming Pool,Lewis ,MYRTLEFORD,3737.0,-36.562971,146.724982,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Lewis  Avenue, MYRTLEFORD 3737",660 B7
15,ALPINE10926,Gundowring Recreation reserve,Gundowring,GUNDOWRING,3691.0,-36.422159,147.061754,Asphalt," Gundowring Road, GUNDOWRING 3691",36 B9
16,ARARAT12872,Gordon Street Recreation Reserve,Gordon,ARARAT,3377.0,-37.290964,142.944466,," Gordon Street, ARARAT 3377",554 H9
17,ARARAT12868,Alexandra Oval Reserve,Waratah,ARARAT,3377.0,-37.279414,142.927461,Grass," Waratah Avenue, ARARAT 3377",554 E7
18,ARARAT12882,Lake Bolac Recreation Reserve,Mortlake,LAKE BOLAC,3351.0,-37.718696,142.842711,Grass," Mortlake Road, LAKE BOLAC 3351",555 T9
19,ARARAT12884,Maroona Recreation Reserve,Mortlake-Ararat,MAROONA,3377.0,-37.439012,142.860913,Grass," Mortlake-Ararat Road, MAROONA 3377",56 F9
20,ARARAT12885,Mininera Recreation Reserve,Mac,MININERA,3351.0,-37.602218,142.963743,Grass," Mac Street, MININERA 3351",74 H3
