station,the_geom,pids,he_loop,lift
Heidelberg,POINT (145.060927 -37.75714899999997),Dot Matrix,No,No
Heyington,POINT (145.02263400000004 -37.83466999999996),No,No,No
Highett,POINT (145.04163400000004 -37.948095999999964),Dot Matrix,No,No
Holmesglen,POINT (145.091183 -37.874292999999966),Dot Matrix,No,No
Hoppers Crossing,POINT (144.70104700000002 -37.88326999999998),Dot Matrix,No,No
Hughesdale,POINT (145.0776400000001 -37.89487699999995),No,No,No
Huntingdale,POINT (145.102398 -37.91099299999996),Dot Matrix,No,No
Hurstbridge,POINT (145.19208100000003 -37.639453),Dot Matrix,No,No
Ivanhoe,POINT (145.045391 -37.76892699999996),Dot Matrix,No,No
Jacana,POINT (144.91585600000008 -37.695133),No,No,No
Jewell,POINT (144.958749 -37.77484999999996),No,No,No
Jolimont,POINT (144.983878 -37.81649999999996),Dot Matrix,No,No
Jordanville,POINT (145.11208900000008 -37.873598999999956),No,No,No
Kananook,POINT (145.13550400000008 -38.121421),Dot Matrix,No,No
Kensington,POINT (144.93046700000002 -37.79348599999997),No,No,No
Keon Park,POINT (145.011937 -37.694511999999975),Dot Matrix,No,No
Kooyong,POINT (145.03312100000005 -37.83982099999997),LCD,No,No
Laburnum,POINT (145.14050200000008 -37.82091499999996),No,No,No
Lalor,POINT (145.01740800000005 -37.66541599999999),Dot Matrix,No,No
Laverton,POINT (144.7726150000001 -37.86369399999995),Dot Matrix,No,Yes
Leawarra,POINT (145.13889200000006 -38.15180499999997),No,No,No
Lilydale,POINT (145.34823100000006 -37.755019000000004),Dot Matrix,No,No
Macaulay,POINT (144.93611299999998 -37.79457599999995),No,No,No
Macleod,POINT (145.06910700000003 -37.726291),Dot Matrix,No,No
Malvern,POINT (145.02929400000005 -37.86624999999998),Dot Matrix,No,No
Mckinnon,POINT (145.03822300000002 -37.91071299999999),LCD,Yes,Yes
Melbourne Central,POINT (144.963757 -37.809699999999964),LCD,Yes,Yes
Mentone,POINT (145.06524000000002 -37.98197499999998),Dot Matrix,No,No
Merinda Park,POINT (145.26349100000004 -38.07900999999998),Dot Matrix,No,No
Merlynston,POINT (144.96131200000002 -37.72093699999999),No,No,No
Merri,POINT (144.99299600000006 -37.77777299999997),No,No,No
Middle Brighton,POINT (144.99629900000002 -37.915134999999964),No,No,No
Middle Footscray,POINT (144.8913100000001 -37.802505999999994),No,No,No
Mitcham,POINT (145.19228099999998 -37.81797799999998),Dot Matrix,Yes,Yes
Mont Albert,POINT (145.10556000000008 -37.819541999999956),No,No,No
Montmorency,POINT (145.12151100000005 -37.715296999999964),No,No,No
Moonee Ponds,POINT (144.91920200000004 -37.76581299999998),Dot Matrix,No,No
Moorabbin,POINT (145.03668300000004 -37.93482),Dot Matrix,No,No
Mooroolbark,POINT (145.31283600000006 -37.78473599999995),Dot Matrix,No,No
Mordialloc,POINT (145.08755400000007 -38.006508),Dot Matrix,No,No
Moreland,POINT (144.96184800000003 -37.75434199999995),No,No,No
Morradoo,POINT (145.18949900000007 -38.353931999999986),No,No,No
Mount Waverley,POINT (145.12841300000002 -37.87527399999999),No,No,No
Murrumbeena,POINT (145.06733200000008 -37.890266),No,No,No
Narre Warren,POINT (145.30360600000006 -38.02764099999996),No,No,No
Watergardens,POINT (144.77386 -37.700717),Dot Matrix,No,Yes
Newmarket,POINT (144.92888600000003 -37.78690499999999),No,No,No
Newport,POINT (144.883604 -37.84271899999999),LCD,No,No
Noble Park,POINT (145.17693600000007 -37.96723599999996),Dot Matrix,No,No
North Brighton,POINT (145.00259500000004 -37.90491599999996),No,No,No
North Melbourne,POINT (144.94183099999998 -37.806735),LCD,No,Yes
North Richmond,POINT (144.99255600000004 -37.81007599999998),Dot Matrix,No,No
North Williamstown,POINT (144.88875700000006 -37.85668099999998),LCD,No,No
Northcote,POINT (144.9952820000001 -37.76986499999998),Dot Matrix,No,No
Nunawading,POINT (145.174174 -37.820719999999994),Dot Matrix,Yes,Yes
Oak Park,POINT (144.92153500000006 -37.718046999999956),No,No,No
Oakleigh,POINT (145.08831400000008 -37.900368999999955),Dot Matrix,No,No
Officer,POINT (145.41099300000008 -38.066142999999954),No,No,No
Ormond,POINT (145.039531 -37.903606999999965),LCD,Yes,Yes
Pakenham,POINT (145.48651100000006 -38.080547999999965),Dot Matrix,No,No
Parkdale,POINT (145.07629600000007 -37.99306999999999),Dot Matrix,No,No
Parliament,POINT (144.97340800000006 -37.811928999999964),LCD,Yes,Yes
Pascoe Vale,POINT (144.92819500000007 -37.73075499999999),No,No,No
Patterson,POINT (145.03546100000005 -37.92550499999999),Dot Matrix,No,No
Prahran,POINT (144.98981700000002 -37.849762999999996),Dot Matrix,No,No
Preston,POINT (145.00051600000006 -37.73873599999996),Dot Matrix,No,No
Keilor Plains,POINT (144.79381 -37.729602),Dot Matrix,No,No
Regent,POINT (145.00273200000004 -37.728602999999964),Dot Matrix,No,No
Reservoir,POINT (145.00691900000004 -37.71701399999995),Dot Matrix,No,No
Richmond,POINT (144.98957400000006 -37.82396299999999),LCD,No,No
Ringwood,POINT (145.22881600000005 -37.815968999999996),Dot Matrix,Yes,Yes
Ringwood East,POINT (145.24969 -37.81199499999997),No,No,No
Ripponlea,POINT (144.995226 -37.875923),Dot Matrix,No,No
Riversdale,POINT (145.069614 -37.83172399999995),Dot Matrix,No,No
Rosanna,POINT (145.06611900000007 -37.74287199999998),Dot Matrix,No,No
Royal Park,POINT (144.951868 -37.781183),No,No,No
Rushall,POINT (144.99241300000006 -37.78318299999995),No,No,No
Ruthven,POINT (145.00935800000002 -37.70828899999998),No,No,No
Sandown Park,POINT (145.163 -37.95669399999997),No,No,No
Sandringham,POINT (145.004588 -37.950256999999965),Dot Matrix,No,No
Seaford,POINT (145.12823300000002 -38.10435799999999),Dot Matrix,No,No
Seaholme,POINT (144.840958 -37.86784299999999),LCD,No,No
Seddon,POINT (144.89604300000008 -37.80859299999997),Dot Matrix,No,No
Roxburgh Park,POINT (144.935568 -37.638004999999964),Dot Matrix,Yes,No
Somerville,POINT (145.17635300000006 -38.225495999999964),No,No,No
South Kensington,POINT (144.92532000000006 -37.79958999999997),No,No,No
South Yarra,POINT (144.992297 -37.83823799999999),Dot Matrix,No,No
Southern Cross,POINT (144.95219300000008 -37.818354),LCD,No,Yes
Spotswood,POINT (144.885942 -37.83065099999999),No,No,No
Springvale,POINT (145.153507 -37.94937999999996),Dot Matrix,Yes,Yes
St Albans,POINT (144.80007 -37.744872999999984),LCD,Yes,Yes
Stony Point,POINT (145.221141 -38.37405199999995),No,No,No
Strathmore,POINT (144.92732 -37.743592999999976),No,No,No
Sunbury,POINT (144.72787700000003 -37.57939099999999),Dot Matrix,No,No
Sunshine,POINT (144.83232400000009 -37.78785099999999),Dot Matrix,Yes,Yes
Surrey Hills,POINT (145.09863900000005 -37.82405399999999),Dot Matrix,No,No
Syndal,POINT (145.14944400000002 -37.87633099999999),Dot Matrix,No,No
Tecoma,POINT (145.34316 -37.90822599999996),No,No,No
