,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2022income,2022house_price,Unnamed: 0,erp_2022,net_internal_migration_2021_22,net_overseas_migration_2021_22,natural_increase_2021_22
0,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
1,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
2,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
3,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
4,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
5,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
6,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
7,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
8,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
9,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
10,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
11,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
12,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,619950.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
13,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,599000.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
14,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,619950.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
15,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,599000.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
16,780,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,619950.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
17,780,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,599000.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
18,1650,ST KILDA EAST,5,2,4,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,619950.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
19,1650,ST KILDA EAST,5,2,4,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,599000.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
22,750,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,619950.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
23,750,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,599000.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
24,920,CAULFIELD - NORTH,3,3,2,-37.0,145.0,84865.1,78589.5,71347.0,0.0,78927.4,13207.1,16206.20000000007,620700.0,189,24660.79999999993,-49.80000000000291,-763.5999999999767,67.20000000000437
25,950,CAULFIELD - NORTH,4,3,2,-37.0,145.0,84865.1,78589.5,71347.0,0.0,78927.4,13207.1,16206.20000000007,620700.0,189,24660.79999999993,-49.80000000000291,-763.5999999999767,67.20000000000437
26,680,CAULFIELD - NORTH,5,3,2,-37.8755559,145.0288672,5852.7,1618.9,1992.2,1311.8,1673.4,845.8,16206.20000000007,620700.0,189,24660.79999999993,-49.80000000000291,-763.5999999999767,67.20000000000437
27,400,WODONGA,3,1,0,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
28,450,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
29,480,WODONGA,4,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
30,350,WODONGA,2,1,1,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
31,585,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
32,420,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
33,350,WODONGA,3,2,4,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
34,390,WODONGA,3,1,0,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
36,580,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
37,375,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
38,540,WODONGA,4,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
39,405,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
40,500,WODONGA,3,1,4,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
41,440,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
42,430,WODONGA,3,1,3,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
43,400,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
44,380,WODONGA,3,1,1,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
45,430,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17026.0,264650.0,116,28233.800000000047,298.2000000000007,-48.19999999999709,101.59999999999854
46,750,HIGHTON,3,1,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15633.79999999993,1241600.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
47,750,HIGHTON,3,1,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15633.79999999993,474700.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
48,550,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15633.79999999993,1241600.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
49,550,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15633.79999999993,474700.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
50,715,HIGHTON,4,2,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15633.79999999993,1241600.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
51,715,HIGHTON,4,2,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15633.79999999993,474700.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
52,650,HIGHTON,3,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15633.79999999993,1241600.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
53,650,HIGHTON,3,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15633.79999999993,474700.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
54,600,HIGHTON,3,3,2,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,15633.79999999993,1241600.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
55,600,HIGHTON,3,3,2,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,15633.79999999993,474700.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
56,3500,HIGHTON,5,4,3,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15633.79999999993,1241600.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
57,3500,HIGHTON,5,4,3,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15633.79999999993,474700.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
58,700,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15633.79999999993,1241600.0,100,24544.599999999977,205.7999999999884,-150.20000000001164,76.0
