,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,erp_2025,natural_increase_2024_25,net_internal_migration_2024_25,net_overseas_migration_2024_25,2025income,suburbID
0,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
1,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
2,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
3,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
4,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
5,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
6,603.7494,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
7,603.7494,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
8,749.2746,EAST MELBOURNE,2,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
9,749.2746,EAST MELBOURNE,2,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
10,606.8627,EAST MELBOURNE,2,2,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
11,606.8627,EAST MELBOURNE,2,2,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
12,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
13,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
14,398.68512,EAST MELBOURNE,1,1,0,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
15,398.68512,EAST MELBOURNE,1,1,0,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
16,603.7494,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
17,603.7494,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
18,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
19,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
20,1798.5854,EAST MELBOURNE,3,2,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
21,1798.5854,EAST MELBOURNE,3,2,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
22,540.43085,EAST MELBOURNE,2,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
23,540.43085,EAST MELBOURNE,2,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
24,772.2836,EAST MELBOURNE,3,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
25,772.2836,EAST MELBOURNE,3,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
26,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
27,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
28,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
29,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
30,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
31,597.3658,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
32,398.68512,EAST MELBOURNE,1,1,0,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
33,398.68512,EAST MELBOURNE,1,1,0,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
34,381.18127,EAST MELBOURNE,1,1,0,-37.8049913,144.94188,5770.2,617.8,796.9,1882.4,2006.8,2532.5,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
35,381.18127,EAST MELBOURNE,1,1,0,-37.8049913,144.94188,5770.2,617.8,796.9,1882.4,2006.8,2532.5,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
36,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
37,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
38,540.43085,EAST MELBOURNE,2,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
39,540.43085,EAST MELBOURNE,2,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
40,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
41,529.70593,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6759.099999999977,-13.899999999999636,-123.10000000000582,-370.6999999999971,4461.599999999977,0
42,568.4022,HIGHTON,2,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,25407.399999999907,61.60000000000037,366.59999999999127,-397.7000000000117,16653.199999999953,1
43,568.4022,HIGHTON,2,2,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,25407.399999999907,61.60000000000037,366.59999999999127,-397.7000000000117,16653.199999999953,1
44,418.25848,HIGHTON,2,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,25407.399999999907,61.60000000000037,366.59999999999127,-397.7000000000117,16653.199999999953,1
45,418.25848,HIGHTON,2,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,25407.399999999907,61.60000000000037,366.59999999999127,-397.7000000000117,16653.199999999953,1
46,458.13745,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,25407.399999999907,61.60000000000037,366.59999999999127,-397.7000000000117,16653.199999999953,1
47,458.13745,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,25407.399999999907,61.60000000000037,366.59999999999127,-397.7000000000117,16653.199999999953,1
48,472.52505,HIGHTON,2,1,1,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,25407.399999999907,61.60000000000037,366.59999999999127,-397.7000000000117,16653.199999999953,1
