,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2024income,2024house_price,Unnamed: 0,erp_2024,net_internal_migration_2023_24,net_overseas_migration_2023_24,natural_increase_2023_24
0,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,296000.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
1,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,656100.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
2,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4382.399999999994,296000.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
3,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4382.399999999994,656100.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
4,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,296000.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
5,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,656100.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
6,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,296000.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
7,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,656100.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
8,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,296000.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
9,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,656100.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
10,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,296000.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
11,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4382.399999999994,656100.0,145,6617.799999999988,-103.20000000000437,-310.7999999999884,-11.800000000000182
12,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14455.0,642850.0,41,19918.400000000023,-773.6000000000058,-745.3999999999651,102.20000000000071
13,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14455.0,615600.0,41,19918.400000000023,-773.6000000000058,-745.3999999999651,102.20000000000071
14,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,14455.0,642850.0,41,19918.400000000023,-773.6000000000058,-745.3999999999651,102.20000000000071
