,Description,2018,2019,2020,suburb
0,Estimated resident population (no.),22627.0,23331.0,23981.0,BOX HILL
1,Estimated resident population (no.),23261.0,24709.0,25670.0,CARLTON
2,Estimated resident population (no.),10377.0,10990.0,11529.0,COLLINGWOOD
3,Estimated resident population (no.),14985.0,15701.0,15803.0,DOCKLANDS
4,Estimated resident population (no.),5743.0,5918.0,6055.0,EAST MELBOURNE
5,Estimated resident population (no.),91.0,91.0,91.0,FLEMINGTON
6,Estimated resident population (no.),25532.0,26164.0,26333.0,HAWTHORN
7,Estimated resident population (no.),11866.0,12176.0,12183.0,KENSINGTON
8,Estimated resident population (no.),49247.0,51909.0,53180.0,MELBOURNE
9,Estimated resident population (no.),25367.0,26471.0,27737.0,NORTH MELBOURNE
10,Estimated resident population (no.),8447.0,8754.0,8741.0,PARKVILLE
11,Estimated resident population (no.),17842.0,18051.0,18003.0,PORT MELBOURNE
12,Estimated resident population (no.),34659.0,35862.0,36252.0,RICHMOND
13,Estimated resident population (no.),13169.0,13510.0,13686.0,SOUTH MELBOURNE
14,Estimated resident population (no.),6924.0,7008.0,6904.0,SOUTH YARRA
15,Estimated resident population (no.),24424.0,26321.0,27444.0,SOUTH BANK
16,Estimated resident population (no.),29886.0,30453.0,30772.0,ST KILDA
17,Estimated resident population (no.),3.0,3.0,3.0,WEST MELBOURNE
