,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes
292,TOORAK 24 Montalto Avenue VIC 3142,2500,4,3,3,House,-37.8416,145.0177
293,ST KILDA EAST 29 Godfrey Avenue VIC 3183,780,3,1,0,House,-37.8692,144.9977
294,BENTLEIGH EAST 18 Latham Street VIC 3165,860,4,3,1,House,-37.9201,145.0599
295,SOUTH YARRA 12 MacFarlan Street VIC 3141,625,2,1,0,House,-37.8333,144.9833
296,TOORAK 10 Ormsby Grove VIC 3142,1450,2,2,4,House,-37.8416,145.0177
297,BRIGHTON EAST 700 Hawthorn Road VIC 3187,590,3,1,1,House,-37.9014,145.0188
298,RICHMOND 11 Shelley Street VIC 3121,450,2,1,0,House,-37.8271,145.0064
299,COLLINGWOOD 10 Bendigo Street VIC 3066,630,3,1,1,House,-37.8,144.9833
300,ALTONA NORTH 11 Carthy Street VIC 3025,460,3,1,2,House,-37.8349,144.8474
301,RICHMOND 26 Buckingham Street VIC 3121,625,2,2,1,House,-37.8271,145.0064
302,THORNBURY 140A Collins Street VIC 3071,630,3,2,1,House,-37.7583,145.0051
303,TALLANGATTA 201 Yabba Road VIC 3700,470,3,1,2,House,-37.0,145.0
304,BRUNSWICK 43A Thistle Street VIC 3056,560,2,2,1,House,-37.7667,144.9667
305,NORTH MELBOURNE 647 Queensberry Street VIC 3051,480,2,1,0,House,-37.8029,144.9482
306,CARLTON 3 Chummie Place VIC 3053,875,4,2,1,House,-37.8004,144.9684
307,CAULFIELD SOUTH 14 Sussex Road VIC 3162,595,2,1,2,House,-37.8914,145.0254
308,WODONGA 18 STANGER COURT VIC 3690,450,3,2,2,House,-36.0997,146.802
309,BRUNSWICK WEST 715/5 Olive York Way VIC 3055,430,2,1,1,House,-37.7603,144.9502
310,CAULFIELD SOUTH 1 Rotorua Street VIC 3162,700,2,1,2,House,-37.0,145.0
311,LARA 3 Flinders Avenue VIC 3212,450,3,1,2,House,46.2933,15.3033
312,PASCOE VALE 543 Pascoe Vale Road VIC 3044,410,3,1,2,House,-37.7319,144.9381
313,MONT ALBERT NORTH 70 Melrose Street VIC 3129,680,3,2,2,House,-37.8004,145.1083
314,OAKLEIGH 11 Patrick Street VIC 3166,480,3,1,2,House,-37.8995,145.0811
315,BRIGHTON 26 Budd Street VIC 3186,795,3,1,1,House,-37.9057,145.0067
316,BELMONT 4 Sullivan Court VIC 3216,470,3,1,4,House,-38.2335,144.3007
317,LALOR 24 Gratwick Street VIC 3075,500,5,2,3,House,-37.6667,145.0167
318,NORTH MELBOURNE 134 Capel Street VIC 3051,525,3,1,0,House,-37.8029,144.9482
319,ELSTERNWICK 10 Elm Street VIC 3185,760,2,1,1,House,-37.8984,145.0088
320,WEIR VIEWS 36 Skypac Street VIC 3338,410,4,2,2,House,-37.7077,144.5749
321,STRATHTULLOH 14 Trafalgar Street VIC 3338,400,4,2,2,House,-37.7077,144.5749
322,BRUNSWICK WEST 50 Burnell Street VIC 3055,700,4,1,0,House,-37.7603,144.9502
323,PARK ORCHARDS 130 Corriedale Crescent VIC 3114,650,3,1,2,House,-37.7769,145.2146
324,ARMADALE 21 Valentine Grove VIC 3143,1150,3,1,1,House,-37.85,145.0333
325,CARNEGIE 112 Koornang Road VIC 3163,370,2,1,1,House,-37.8895,145.0581
326,HIGHETT 13 Middleton Street VIC 3190,600,3,1,6,House,-37.9517,145.0394
327,MALVERN 7 Haverbrack Avenue VIC 3144,3500,5,4,2,House,-37.8512,145.0317
328,BENTLEIGH EAST 21 Blamey Street VIC 3165,625,4,2,4,House,-37.9201,145.0599
329,WINDSOR 58 Peel Street VIC 3181,575,2,1,0,House,-37.853,144.9929
330,BRIGHTON EAST 24 Studley Road VIC 3187,995,4,3,4,House,-37.9014,145.0188
331,HAWTHORN 408 Auburn Road VIC 3122,830,3,2,2,House,-37.8199,145.0358
332,DONCASTER 8 Glenda Street VIC 3108,600,4,1,2,House,-37.7883,145.1237
333,CHADSTONE 10 Evans Street VIC 3148,420,3,2,5,House,-37.8833,145.1167
334,MALVERN EAST 64 Argyll Street VIC 3145,450,4,1,2,House,-37.874,145.0425
335,MOUNT WAVERLEY 2 Sunnyside Road VIC 3149,450,3,1,0,House,-37.8771,145.1294
336,BRIGHTON 478 New Street VIC 3186,2200,5,3,2,House,-37.9057,145.0067
337,GROVEDALE 11 Camira Court VIC 3216,400,3,1,1,House,-38.2335,144.3007
338,MONT ALBERT 52 Victoria Crescent VIC 3127,1500,4,3,2,House,-37.8128,145.1043
339,KEW EAST 46 Munro Street VIC 3102,540,3,2,1,House,-37.7976,145.0538
340,KEW 1 Molesworth Street VIC 3101,3500,6,6,8,House,-37.8064,145.0309
341,BEAUMARIS 28b Hornby Street VIC 3193,1100,5,2,4,House,-37.9736,145.0164
342,PRAHRAN 49 Highbury Grove VIC 3181,1100,3,2,1,House,-37.853,144.9929
343,MALVERN EAST 126 Darling Road VIC 3145,600,2,1,1,House,-37.874,145.0425
344,ROCKBANK 18 Amaya Way VIC 3335,385,3,2,0,House,46.4194,14.6936
345,BEAUMARIS 4 Waratah Avenue VIC 3193,600,3,1,3,House,-37.9736,145.0164
346,GLEN IRIS 24 Gardiner Parade VIC 3146,1550,5,2,2,House,-37.8599,145.0549
347,ST KILDA EAST 25 Holroyd Avenue VIC 3183,1650,5,2,4,House,-37.8692,144.9977
348,HAMPTON 8 Gillies St VIC 3188,780,3,1,2,House,-37.9374,145.0151
349,CLIFTON HILL 42 O'Grady Street VIC 3068,975,3,1,0,House,-37.7865,144.9897
350,FITZROY NORTH 30 Woodside Street VIC 3068,750,2,1,0,House,-37.7865,144.9897
351,SANDRINGHAM 34 Victoria Street VIC 3191,1290,3,2,2,House,-37.95,145.0
352,DEANSIDE 19 Amreli St VIC 3336,440,4,2,2,House,-37.0,145.0
353,ABBOTSFORD 270 Langridge Street VIC 3067,470,1,1,0,House,-37.8046,144.9998
354,WINDSOR 1 David Lane VIC 3181,1400,4,2,1,House,-37.853,144.9929
355,HAWTHORN EAST 2 Airedale Avenue VIC 3123,1800,4,2,4,House,-37.8248,145.0464
356,BRIGHTON 16 Nepean Highway VIC 3186,910,5,5,4,House,-37.9057,145.0067
357,MALVERN EAST 416/803 Dandenong Road VIC 3145,500,2,2,1,House,-37.874,145.0425
358,BRIGHTON 8 Champion Street VIC 3186,2100,5,3,4,House,-37.9057,145.0067
359,WATSONIA 48 Frensham Road VIC 3087,450,3,1,2,House,-37.7104,145.0836
360,NORTHCOTE 334A Separation Street VIC 3070,680,3,2,2,House,-37.7667,145.0
361,NORTHCOTE 27 Hawthorn Road VIC 3070,1050,4,1,0,House,-37.7667,145.0
362,MALVERN EAST 5 James Parade VIC 3145,620,3,1,2,House,-37.874,145.0425
363,DANDENONG NORTH 1559 Heatherton Road VIC 3175,380,3,1,2,House,-37.9833,145.2
364,ALBERT PARK 74 Barrett Street VIC 3206,1250,3,2,1,House,46.3636,15.3653
365,NORTH MELBOURNE 207/720 Queensberry Street VIC 3051,565,2,1,1,House,-37.8029,144.9482
366,KEW 9 Derby Street VIC 3101,1050,3,2,2,House,-37.8064,145.0309
367,POINT COOK 25 Living Cres VIC 3030,20,4,2,2,House,-37.8887,144.726
368,BEAUMARIS 11-13 Tibbles Street VIC 3193,895,4,2,2,House,-37.9722929,145.0357674
369,FITZROY NORTH 108 Best Street VIC 3068,1300,4,3,2,House,-37.7865,144.9897
370,WINDSOR 24 Union Street VIC 3181,800,3,1,0,House,-37.853,144.9929
371,BRIGHTON 2/361 St Kilda St VIC 3186,1100,3,2,2,House,-37.9057,145.0067
372,OAKLEIGH EAST 1 Shafton Street VIC 3166,440,3,1,2,House,-37.8995,145.0811
373,BROOKFIELD 34 Faircroft Drive VIC 3338,410,4,2,2,House,-37.7077,144.5749
374,OAKLEIGH SOUTH 10 Peter Street VIC 3167,490,3,1,2,House,-37.927,145.0964
375,CLAYTON 1/2 Mary Street VIC 3168,360,2,1,1,House,-37.9167,145.1333
376,GLEN IRIS 54 Liston Street VIC 3146,595,4,2,4,House,-37.8599,145.0549
377,BRIGHTON 42 Dendy Street VIC 3186,2600,4,3,2,House,-37.9057,145.0067
378,MOUNT WAVERLEY 20 Heany Street VIC 3149,480,3,1,4,House,-37.8771,145.1294
379,CLAYTON 14 Cantala Street VIC 3168,390,3,1,4,House,-37.9167,145.1333
380,BRIGHTON 133 North Road VIC 3186,2500,4,2,3,House,-37.9057,145.0067
381,CHADSTONE 2 Cole Crescent VIC 3148,570,3,1,4,House,-37.8833,145.1167
382,CHADSTONE 8 Railway Parade South VIC 3148,385,2,1,1,House,-37.8833,145.1167
383,BENTLEIGH EAST 11 Larman Street VIC 3165,510,4,1,1,House,-37.9201,145.0599
384,CAMBERWELL 7 Cooloongatta Road VIC 3124,650,2,1,3,House,-37.8248,145.0705
385,HUGHESDALE 10 Swindon Road VIC 3166,650,4,2,2,House,-37.8995,145.0811
386,PATTERSON LAKES 24 Wetland Drive VIC 3197,795,4,2,4,House,-38.0833,145.1333
387,BRUNSWICK 93 Davies Street VIC 3056,495,2,2,0,House,-37.7667,144.9667
388,CLAYTON 68 Margaret Street VIC 3168,500,3,1,3,House,-37.9167,145.1333
389,CLAYTON 17 Evelyn Street VIC 3168,495,3,1,3,House,-37.9167,145.1333
390,BARANDUDA 10 FOXGLOVE TERRACE VIC 3691,480,3,2,2,House,46.51367,9.13501
391,NEWPORT 201 Mason Street VIC 3015,520,3,1,1,House,-37.8302,144.8709
392,WEST MELBOURNE 29 Ireland Street VIC 3003,1200,3,2,1,House,-37.8101,144.95
393,MULGRAVE 77 Wanda Street VIC 3170,500,3,1,3,House,-37.9167,145.2
394,INDIGO VALLEY 846 Indigo Creek Road VIC 3688,650,5,3,3,House,-36.1333,146.5333
395,OAKLEIGH 12A Palmer Street VIC 3166,510,2,1,1,House,-37.8995,145.0811
396,SOUTH YARRA 10 Marne Street VIC 3141,1000,4,2,2,House,-37.8333,144.9833
397,NOTTING HILL 14 Hunsford Road VIC 3168,450,3,1,3,House,-37.9167,145.1333
398,LENEVA 50 Streets Road VIC 3691,525,4,2,2,House,46.51367,9.13501
399,BARANDUDA 22 Lanning Street VIC 3691,650,4,2,6,House,46.51367,9.13501
400,MOUNT PLEASANT 246 Elsworth Street VIC 3350,410,4,2,2,House,-37.5292,143.8591
401,WODONGA 2 Parkland Drive VIC 3690,580,3,2,2,House,-36.0997,146.802
402,WODONGA 40 Elm Street VIC 3690,375,3,1,2,House,-36.0997,146.802
403,MIDDLE PARK 86 Hambleton Street VIC 3206,1500,4,2,0,House,46.3636,15.3653
404,WODONGA 3 Coulston Street VIC 3690,540,4,2,2,House,-36.0997,146.802
405,COLAC 15 Kettle Street VIC 3250,440,3,1,2,House,46.2375,15.6397
406,BRUNSWICK 19 Latrobe Street VIC 3056,595,2,1,1,House,-37.7667,144.9667
407,ESSENDON 34A Brewster Street VIC 3040,1400,4,3,2,House,-37.7538,144.8883
408,CARLTON 70 Palmerston Street VIC 3053,550,2,1,0,House,-37.8004,144.9684
409,CLYDE NORTH 6 Woolly Parade VIC 3978,600,4,2,2,House,-38.1333,145.3333
410,WODONGA 1 Hill Street VIC 3690,405,3,1,2,House,-36.0997,146.802
411,ALFREDTON 8 Armagh Street VIC 3350,480,4,2,2,House,-37.5292,143.8591
412,CARLTON 119-121 Palmerston Street VIC 3053,2600,4,3,1,House,-37.8004,144.9684
413,FERNTREE GULLY 19 Bowen Street VIC 3156,350,2,1,0,House,-37.909,145.2977
414,BORONIA 2 McDonald Crescent VIC 3155,400,3,1,1,House,-37.8667,145.2833
415,WANTIRNA SOUTH 81 Wallace Road VIC 3152,440,3,2,2,House,-37.8821128,145.2423314
416,ALBERT PARK 82 Reed Street VIC 3206,1400,3,2,1,House,46.3636,15.3653
417,MORDIALLOC 3 Crown Avenue VIC 3195,580,3,1,1,House,-37.9995,145.1163
418,WERRIBEE 66 Powlett Street VIC 3030,400,4,2,2,House,-37.8887,144.726
419,NORTH MELBOURNE 455 Dryburgh Street VIC 3051,650,3,1,1,House,-37.8029,144.9482
420,BEECHWORTH 12 Thompson Street VIC 3747,380,3,2,1,House,-36.3416,146.7067
421,PRAHRAN 1/1 Williams Road VIC 3181,560,2,2,1,House,-37.853,144.9929
422,WODONGA 276 Beechworth Road VIC 3690,500,3,1,4,House,-36.0997,146.802
423,ELWOOD 72 Foam Street VIC 3184,850,3,2,1,House,-37.8809,144.9855
424,WODONGA 18 Marie Drive VIC 3690,440,3,1,2,House,-36.0997,146.802
425,WINCHELSEA 4 Jordyn Cl VIC 3241,440,3,1,1,House,46.2461,15.5764
426,SEDDON 8 Browning Street VIC 3011,550,2,1,1,House,-37.7995,144.8963
427,BOX HILL SOUTH 22 Piedmont Street VIC 3128,380,2,1,2,House,-37.8256,145.1232
428,ROWVILLE 1 Augusta Court VIC 3178,510,3,2,2,House,-37.9333,145.2333
429,ALBERT PARK 47 St Vincent Street VIC 3206,925,3,2,0,House,46.3636,15.3653
430,FERNTREE GULLY 34 McIver Street VIC 3156,470,3,1,3,House,-37.909,145.2977
431,PORTLAND 1 Rossdell Street VIC 3305,350,3,1,4,House,46.2439,14.9514
432,MORDIALLOC 19 Reys Close VIC 3195,1100,5,3,2,House,-37.9995,145.1163
433,MORDIALLOC 4 Hyland Street VIC 3195,780,4,2,2,House,-37.9995,145.1163
434,MOORABBIN 26 Franklin Street VIC 3189,590,3,1,1,House,-37.9415,145.0578
435,MOORABBIN 19 Central Ave VIC 3189,525,3,1,2,House,-37.9415,145.0578
436,HAMPTON 1 Bronte Court VIC 3188,3000,4,4,2,House,-37.9374,145.0151
437,WODONGA 1/27 Leonard Street VIC 3690,430,3,1,3,House,-36.0997,146.802
438,COLAC 60 Stewart Street VIC 3250,370,3,1,2,House,46.2375,15.6397
439,TRENTHAM 9 Albert Street VIC 3458,430,2,1,0,House,-37.3888,144.3216
440,WERRIBEE 1/12 Silver Street VIC 3030,350,3,2,1,House,-37.8887,144.726
441,PAKENHAM 7 Tyalla Way VIC 3810,420,3,2,1,House,-38.1333,145.5167
442,MERNDA 14 Coliban Drive VIC 3754,540,4,2,2,House,-37.6,145.15
443,SUNBURY 12 Magdalene Court VIC 3429,475,4,2,2,House,-37.5774,144.7261
444,DOREEN 31 Towerhill Avenue VIC 3754,625,4,2,2,House,-37.6,145.15
445,HOPPERS CROSSING 108 Sycamore Street VIC 3029,500,4,2,2,House,-37.8826,144.7003
446,DEER PARK 60 Hatchlands Drive VIC 3023,380,3,2,2,House,-37.7541,144.7651
447,VERMONT SOUTH 19 Barradine Crescent VIC 3133,420,3,1,2,House,-37.8362,145.1943
448,FLEMINGTON 143 Victoria Street VIC 3031,580,3,1,1,House,-37.7899,144.9226
449,THORNBURY 56 Mansfield Street VIC 3071,570,2,1,4,House,-37.7583,145.0051
450,PRESTON 17 St Georges Road VIC 3072,595,2,1,4,House,-37.75,145.0167
451,MERNDA 20 Georgia Drive VIC 3754,395,3,2,1,House,-37.6,145.15
452,OAK PARK 1/16 Curie Avenue VIC 3046,500,3,1,2,House,-37.7,144.9333
453,CRANBOURNE WEST 2 Creekview Way VIC 3977,500,4,2,2,House,-38.1375,145.2744
454,CRANBOURNE NORTH 11 Ottelia Street VIC 3977,570,4,2,2,House,-38.1375,145.2744
455,MEADOW HEIGHTS 65 Bicentennial Crescent VIC 3048,410,3,2,2,House,-37.6512,144.9186
456,WILLIAMSTOWN 86 John Street VIC 3016,800,3,2,0,House,-37.857,144.8977
457,MENTONE 3 Avenza Street VIC 3194,750,3,1,3,House,-37.9833,145.0667
458,HAMPTON EAST 49 Charming Street VIC 3188,590,3,1,2,House,-37.9374,145.0151
459,WANTIRNA 8 Amersham Drive VIC 3152,750,4,2,2,House,-37.85,145.2167
460,PAKENHAM 1 Manna Gum Drive VIC 3810,480,4,2,2,House,-38.1333,145.5167
461,CRANBOURNE 5 Woodright Circuit VIC 3977,410,3,2,2,House,-38.1375,145.2744
462,HAMPTON 36 Ludstone Street VIC 3188,995,4,2,2,House,-37.9374,145.0151
463,DERRIMUT 5 Lawn Hill Avenue VIC 3026,500,4,2,2,House,-37.8259,144.6886
464,DARLEY 4 Davies Street VIC 3340,55,3,1,0,House,-37.7199,144.3727
465,FERNTREE GULLY 12 Ketwick Court VIC 3156,450,4,1,2,House,-37.909,145.2977
466,SUNBURY 2 Sweep Court VIC 3429,500,4,2,2,House,-37.5774,144.7261
467,SOUTH YARRA 19 Commercial Road VIC 3141,800,4,1,2,House,-37.8333,144.9833
468,BERWICK 34 Marlborough Road VIC 3806,525,3,2,2,House,-38.0,145.35
469,STRATHMORE 59 Hillsyde Parade VIC 3041,550,3,1,2,House,-37.7133,144.8969
470,FRANKSTON NORTH 11 Burdette Street VIC 3200,390,3,1,2,House,-38.1213,145.1552
471,ALBERT PARK 26 Mills Street VIC 3206,900,2,1,0,House,46.3636,15.3653
472,LYNBROOK 33 Harris Street VIC 3975,450,3,2,2,House,-38.0559,145.2562
473,PAKENHAM 5 Earhart Street VIC 3810,465,4,2,2,House,-38.1333,145.5167
474,WYNDHAM VALE 22 Pillar Road VIC 3024,450,4,2,2,House,-37.8291,144.5622
475,LAVERTON A/124 Bladin Street VIC 3028,390,3,2,5,House,-37.8809,144.7587
476,WILLIAMS LANDING 205/38 Clark Street VIC 3027,360,1,1,0,House,-37.7963,144.7565
477,DERRIMUT 21 Fernhurst Avenue VIC 3026,400,3,2,2,House,-37.8259,144.6886
478,KINGS PARK 417 Taylors Road VIC 3021,360,3,1,3,House,-37.7371,144.8283
479,WILLIAMSTOWN 168 Douglas Parade VIC 3016,630,3,1,2,House,-37.857,144.8977
480,WILLIAMSTOWN 123 Hanmer Street VIC 3016,650,2,1,0,House,-37.857,144.8977
481,GLEN IRIS 32B Vears Road VIC 3146,780,3,2,2,House,-37.8599,145.0549
482,SPRINGVALE 22 Ann Street VIC 3171,420,4,1,1,House,-37.9457,145.1581
483,CHELTENHAM 37 Wallingford Street VIC 3192,680,4,2,4,House,-37.9694,145.0481
484,PAKENHAM 26 Lisa Avenue VIC 3810,500,4,2,2,House,-38.1333,145.5167
485,HOPPERS CROSSING 5 Reserve Road VIC 3029,460,4,2,2,House,-37.8689821,144.7056055
486,WERRIBEE 20 Gosfield Drive VIC 3030,360,3,2,1,House,-37.8887,144.726
487,BENTLEIGH 9B Gordon Street VIC 3204,950,3,2,1,House,46.3375,15.2264
488,SPRINGVALE 2/61 St Johns Avenue VIC 3171,620,4,3,2,House,-37.9457,145.1581
489,PATTERSON LAKES 222 Gladesville Blvd VIC 3197,650,3,2,3,House,-38.0833,145.1333
490,WEIR VIEWS 41 Samuel Rd VIC 3338,410,4,2,2,House,-37.7077,144.5749
491,BRUNSWICK WEST 532 Albion Street VIC 3055,510,3,1,1,House,-37.7603,144.9502
492,WERRIBEE 8 Dongala Drive VIC 3030,460,4,3,2,House,-37.8887,144.726
493,SUNBURY 54 Wedmore Crescent VIC 3429,550,4,2,2,House,-37.5774,144.7261
494,EDITHVALE 24 Field Avenue VIC 3196,500,2,2,5,House,-38.0372,145.1097
495,CLYDE NORTH 35 Kilmarnock Way VIC 3978,420,3,2,2,House,-38.1333,145.3333
496,CAROLINE SPRINGS 38C The Avenue VIC 3023,465,3,2,2,House,-37.7541,144.7651
497,CHELSEA 11 Drinan Road VIC 3196,630,4,2,1,House,-38.0372,145.1097
498,WERRIBEE 18 Heathwren View VIC 3030,420,4,3,2,House,-37.8887,144.726
499,FRANKSTON 9 Gould Street VIC 3199,690,3,2,1,House,-38.1333,145.1333
500,RIDDELLS CREEK 16 Bluegum Circuit VIC 3431,600,4,2,2,House,-37.4605,144.6796
501,CHELTENHAM 57 Brampton Street VIC 3192,480,3,1,3,House,-37.9694,145.0481
502,BEAUMARIS 65 Morey Road VIC 3193,625,3,1,2,House,-37.9736,145.0164
503,PAKENHAM 5 Montalto Drive VIC 3810,560,4,2,2,House,-38.1333,145.5167
504,UPPER FERNTREE GULLY 1353 Burwood Highway VIC 3156,580,3,2,3,House,-37.909,145.2977
505,CRANBOURNE WEST 29 Statham View VIC 3977,480,4,2,2,House,-38.1375,145.2744
506,ST KILDA EAST 9C Wando Grove VIC 3183,720,3,2,1,House,-37.8692,144.9977
507,SOUTH YARRA 1206/7 Claremont Street VIC 3141,480,1,1,1,House,-37.8333,144.9833
508,PAKENHAM 14 Hayes Court VIC 3810,450,4,2,2,House,-38.1333,145.5167
509,WILLIAMSTOWN 17 Clark Street VIC 3016,480,2,1,1,House,-37.857,144.8977
510,THORNBURY 135 Shaftesbury Parade VIC 3071,570,3,1,2,House,-37.7583,145.0051
511,BRUNSWICK 103 Union Street VIC 3056,580,3,1,0,House,-37.7667,144.9667
512,CARLTON NORTH 406 Station Street VIC 3054,590,2,1,1,House,-37.7866,144.9685
513,FERNTREE GULLY 46 Norvel Road VIC 3156,520,3,2,2,House,-37.909,145.2977
514,WANTIRNA 9 Hibiscus Street VIC 3152,520,5,2,2,House,-37.85,145.2167
515,PAKENHAM 10 Griffin Street VIC 3810,500,4,2,2,House,-38.1333,145.5167
516,DROUIN 15 Norman Road VIC 3818,450,4,2,2,House,-38.1561,145.8431
517,WARRAGUL 102 Crole Drive VIC 3820,510,4,2,2,House,-38.1591,145.9312
518,TARNEIT 4 Maven Way VIC 3029,375,2,1,1,House,-37.8826,144.7003
519,DROUIN 18 Carbine Court VIC 3818,495,3,2,2,House,-38.1561,145.8431
520,VERMONT 760 Canterbury Road VIC 3133,505,4,2,2,House,-37.8362,145.1943
521,YARRAVILLE 29A Bena Street VIC 3013,750,3,2,1,House,-37.8249,144.8708
522,THORNBURY 82 Hutton Street VIC 3071,650,2,1,2,House,-37.7583,145.0051
523,MELTON SOUTH 48 Coburns Road VIC 3338,330,3,1,3,House,-37.7077,144.5749
524,PRAHRAN 31 McIlwrick Street VIC 3181,890,3,1,2,House,-37.853,144.9929
525,VERMONT 544 Canterbury Road VIC 3133,400,2,1,0,House,-37.8362,145.1943
526,GREENVALE 11 Serendip Crescent VIC 3059,450,3,2,2,House,-37.6333,144.8667
527,FAWKNER 72 James Street VIC 3060,400,2,1,2,House,-37.7167,144.9667
528,ROWVILLE 50 Spruce Drive VIC 3178,525,4,2,2,House,-37.9333,145.2333
529,OFFICER 7 Zoe Lane VIC 3809,450,4,2,2,House,-38.0592,145.4095
530,MELTON WEST 20 Bickley Street VIC 3337,400,4,2,2,House,-37.6,144.6
531,BERWICK 120 Avebury Drive VIC 3806,470,4,2,2,House,-38.0,145.35
532,SUNBURY 9/39 Cornish Street VIC 3429,360,2,1,1,House,-37.5774,144.7261
533,MIDDLE PARK 19 Nimmo Street VIC 3206,650,2,1,0,House,46.3636,15.3653
534,PAKENHAM 54 Webster Way VIC 3810,480,4,2,2,House,-38.1333,145.5167
535,WARRNAMBOOL 18 Carolyn Crescent VIC 3280,450,3,1,2,House,-37.0,145.0
536,GLENROY 109 Loongana Avenue VIC 3046,495,3,1,4,House,-37.7,144.9333
537,WERRIBEE 46 Kiely Avenue VIC 3030,365,3,1,6,House,-37.8887,144.726
538,BEAUMARIS 41 Alfred Street VIC 3193,450,2,1,2,House,-37.9736,145.0164
539,WARRNAMBOOL 6 Verdon St VIC 3280,380,3,1,3,House,-37.0,145.0
540,SOUTH YARRA 6 Cliff Street VIC 3141,795,2,1,0,House,-37.8333,144.9833
541,ASCOT VALE 99 Ascot Vale Road VIC 3032,695,3,2,1,House,-37.7808,144.9354
542,PAKENHAM 18 Stable Street VIC 3810,480,4,2,2,House,-38.1333,145.5167
543,POINT COOK 16 Hewett Drive VIC 3030,430,3,2,2,House,-37.8887,144.726
544,PAKENHAM 25 Clarendon Street VIC 3810,490,4,2,2,House,-38.1333,145.5167
545,BRIGHTON EAST 1/120 Thomas Street VIC 3187,630,3,1,1,House,-37.9014,145.0188
546,HOPPERS CROSSING 18 Rudolph Street VIC 3029,400,3,2,2,House,-37.8724862,144.7014344
547,PAKENHAM 6 Dundee Court VIC 3810,400,3,2,2,House,-38.1333,145.5167
548,MADDINGLEY 8 Essence Boulevard VIC 3340,530,4,2,2,House,-37.7199,144.3727
549,ALTONA NORTH 36 Duosa Road VIC 3025,490,3,1,2,House,-37.8349,144.8474
550,WYNDHAM VALE 25 Pelham Crescent VIC 3024,370,3,2,2,House,-37.8291,144.5622
551,WYNDHAM VALE 48 Brougham Avenue VIC 3024,380,3,2,2,House,-37.8291,144.5622
552,NEWPORT 1a Graham Street VIC 3015,540,2,1,1,House,-37.8302,144.8709
553,BLACK ROCK 278 Beach Road VIC 3193,1150,4,3,2,House,-37.9736,145.0164
554,DROUIN 35 Timbertop Crescent VIC 3818,520,3,2,2,House,-38.1561,145.8431
555,PAKENHAM 1 Loxton Way VIC 3810,595,4,2,3,House,-38.1333,145.5167
556,WERRIBEE 80 Silvereye Crescent VIC 3030,335,3,2,0,House,-37.8887,144.726
557,PAKENHAM 11 Clairwood Avenue VIC 3810,400,3,2,1,House,-38.1333,145.5167
558,DROUIN 43 Harmon Drive VIC 3818,470,3,2,2,House,-38.1561,145.8431
559,WERRIBEE 2 Quamby Court VIC 3030,350,3,2,2,House,-37.8887,144.726
560,SPRINGVALE Rear 95 Springvale Road VIC 3171,450,3,1,1,House,-37.9457,145.1581
561,DIGGERS REST 23 Splendour Circuit VIC 3427,420,3,2,2,House,-37.626,144.7188
562,PAKENHAM 2 Stable Street VIC 3810,500,4,2,2,House,-38.1333,145.5167
563,WYNDHAM VALE 5 Wilton Close VIC 3024,350,4,1,4,House,-37.8291,144.5622
564,FLEMINGTON 47 Waltham Street VIC 3031,475,3,1,0,House,-37.7899,144.9226
565,PAKENHAM 3 Deveney Street VIC 3810,400,3,1,2,House,-38.1333,145.5167
566,CLYDE NORTH 21 Hearthstone Circuit VIC 3978,490,4,2,2,House,-38.1333,145.3333
567,WODONGA 28 Craig Circuit VIC 3690,400,3,2,2,House,-36.0997,146.802
568,NORTHCOTE 225 St. Georges Road VIC 3070,595,2,1,1,House,-37.7667,145.0
569,TRUGANINA 97 Marquands Road VIC 3029,480,4,2,2,House,-37.8826,144.7003
570,SEAFORD 52 Hadley Street VIC 3198,420,3,1,6,House,-38.1049,145.1382
571,SCORESBY 91 George Street VIC 3179,490,3,1,2,House,-37.9,145.2333
572,WEST MELBOURNE 4/30 Dudley Street VIC 3003,630,3,2,1,House,-37.8101,144.95
573,BRUNSWICK EAST 7 Queen Street VIC 3057,750,3,2,2,House,-37.7603,144.9502
574,BAYSWATER NORTH 11 Winchester Drive VIC 3153,600,5,2,2,House,-37.85,145.2667
575,TOORADIN 9 Harewood Street VIC 3980,550,3,2,2,House,-38.2147,145.3833
576,HOPPERS CROSSING 43 Bourke Crescent VIC 3029,420,3,2,2,House,-37.0,145.0
577,CRANBOURNE 11 Glenwood Court VIC 3977,480,3,1,6,House,-38.1375,145.2744
578,WANTIRNA 20 Dumfries Way VIC 3152,575,5,3,3,House,-37.85,145.2167
579,WARRNAMBOOL 238A Koroit Street VIC 3280,380,2,1,1,House,-38.3828684,142.4815548
580,FITZROY 1/54 Marion Street VIC 3065,500,1,1,0,House,-37.7984,144.9783
581,BERWICK 11 Misty Close VIC 3806,640,4,2,2,House,-38.0,145.35
582,FITZROY NORTH 119 Rae Street VIC 3068,500,2,1,0,House,-37.7865,144.9897
583,WODONGA 11 Mitchell Street VIC 3690,380,3,1,1,House,-36.0997,146.802
584,SOUTH MELBOURNE 15 Dow Street VIC 3205,750,2,1,1,House,46.3817,15.2958
585,NEWPORT 23 Speight Street VIC 3015,690,4,1,3,House,-37.8302,144.8709
586,PAKENHAM 44 Darwin Way VIC 3810,560,5,3,2,House,-38.1333,145.5167
587,CARLTON NORTH 465 Station Street VIC 3054,1000,3,2,0,House,-37.7866,144.9685
