address,price,beds,baths,parking,propertyTypeFormatted
GLEN WAVERLEY 34 Garrisson Drive VIC 3150,629,3,1,4,House
KEW 90 Edgevale Road VIC 3101,1600,4,2,1,House
GARDENVALE 53 Elster Avenue VIC 3185,950,3,2,2,House
ST KILDA 17 Charles Street VIC 3182,650,2,1,2,House
BURWOOD EAST 617 Highbury Road VIC 3151,700,4,2,5,House
SOUTH YARRA 3 Barry Street VIC 3141,795,3,1,0,House
CHADSTONE 2/28 Rae Street VIC 3148,600,3,2,2,House
BOX HILL SOUTH 43 Neville Street VIC 3128,445,3,1,2,House
MONT ALBERT NORTH 9 Braemar Street VIC 3129,650,3,1,2,House
WEST FOOTSCRAY 18 Pitt Street VIC 3012,590,3,2,3,House
DONCASTER EAST 2 Peter Street VIC 3109,640,5,2,2,House
COBURG 8 Grey Street VIC 3058,630,5,2,0,House
ASHWOOD 7 Woolert Street VIC 3147,400,2,1,1,House
CAULFIELD 14 Harcourt Ave VIC 3162,950,3,2,2,House
THORNBURY 9 Harold Street VIC 3071,905,3,1,1,House
HEIDELBERG HEIGHTS 562 Waterdale Rd VIC 3081,385,2,1,4,House
TOORAK 99 Grange Road VIC 3142,2200,5,3,2,House
RICHMOND 89 Elizabeth Street VIC 3121,425,2,1,0,House
SOUTH YARRA 19 Balmoral Place VIC 3141,1200,3,3,2,House
BALWYN NORTH 18 Viewpoint Road VIC 3104,680,3,1,2,House
WODONGA 6 Batt Avenue VIC 3690,350,3,2,4,House
CARNEGIE 353 Neerim Rd VIC 3163,425,2,1,2,House
HAWTHORN 101/567 Glenferrie Road VIC 3122,500,2,1,1,House
MITCHAM 26 Fellows Street VIC 3132,450,3,1,1,House
CAMBERWELL 27 Donna Buang Street VIC 3124,1900,6,4,5,House
TARNEIT 33 Stratus Street VIC 3029,360,3,2,2,House
TARNEIT 35 Stratus Street VIC 3029,360,3,2,2,House
CAULFIELD SOUTH 68 Dover Street VIC 3162,1400,5,3,3,House
GLEN IRIS 14/1517 Malvern Road VIC 3146,400,2,1,1,House
BRUNSWICK WEST 3/564C Moreland Road VIC 3055,550,2,2,1,House
CHELSEA 6 Stayner Street VIC 3196,460,2,1,1,House
RICHMOND 11 Corsair Street VIC 3121,675,2,1,0,House
GEELONG WEST 36 McDougall Street VIC 3218,460,2,1,1,House
NORLANE 83 Waitara Grove VIC 3214,495,4,2,2,House
MALVERN EAST 41 Chadstone Road VIC 3145,950,5,2,3,House
FYANSFORD 11 Maskell Court VIC 3218,480,3,2,1,House
SPRINGVALE 35 Wareham Street VIC 3171,50,5,3,4,House
THORNBURY 86 Hutton Street VIC 3071,650,3,1,1,House
NEWCOMB 5/111 Bellarine Hwy VIC 3219,375,2,1,1,House
BAYSWATER 2/62 Scoresby Road VIC 3153,520,4,2,2,House
WHEELERS HILL 48 Craig Hill Drive VIC 3150,650,4,2,2,House
BENTLEIGH EAST 19 Valkstone Street VIC 3165,780,3,2,2,House
SOUTH YARRA 9/4 Davidson Street VIC 3141,525,2,1,2,House
PORT MELBOURNE 118 Clark Street VIC 3207,800,3,1,0,House
BRUNSWICK 52 Hope Street VIC 3056,850,4,1,2,House
BRIGHTON 1/20 Kent Avenue VIC 3186,3500,5,4,3,House
GLEN IRIS 55 Great Valley Road VIC 3146,685,2,1,2,House
MCKINNON 234 Tucker Road VIC 3204,625,3,1,2,House
MOUNT DUNEED 22 Whites Rd VIC 3217,500,4,2,2,House
CARLTON NORTH 345 Station Street VIC 3054,650,2,1,0,House
BALWYN 37 Kireep Road VIC 3103,720,4,2,2,House
GROVEDALE 75 Pethajohn Parade VIC 3216,600,4,2,2,House
IVANHOE 89 Marshall Street VIC 3079,510,2,1,2,House
SOUTH YARRA 22 Davis Avenue VIC 3141,1500,3,2,1,House
MALVERN EAST 512/803 Dandenong Road VIC 3145,500,2,1,1,House
CAROLINE SPRINGS 16 Macedon Close VIC 3023,450,3,2,2,House
GLEN HUNTLY 14 Hawson Avenue VIC 3163,540,3,1,2,House
BUNDOORA 67 Weir Loop VIC 3083,500,3,2,2,House
ARMSTRONG CREEK 30 Edenhope Circuit VIC 3217,530,4,2,2,House
MIDDLE PARK 167 Richardson Street VIC 3206,1700,4,2,0,House
PRAHRAN 93 Chomley Street VIC 3181,685,2,1,0,House
COBURG 100 Clarendon Street VIC 3058,720,3,1,1,House
ST KILDA 61 Acland Street VIC 3182,780,2,1,0,House
OAKLEIGH SOUTH 25 Mimosa Avenue VIC 3167,560,4,1,4,House
CROYDON 4 Allaware Avenue VIC 3136,500,3,1,2,House
BRIGHTON EAST 647 Hawthorn Road VIC 3187,990,4,2,1,House
RICHMOND 57 Baker Street VIC 3121,650,3,1,1,House
COBURG 6 Rolls Street VIC 3058,600,3,2,2,House
RINGWOOD EAST 8 Merry Street VIC 3135,550,4,2,2,House
FITZROY NORTH 62 Clauscen Street VIC 3068,680,2,1,0,House
BRIGHTON EAST 78 Marriage Rd VIC 3187,1000,4,2,1,House
KENSINGTON 25 Wolseley Parade VIC 3031,995,4,2,2,House
SOUTH MELBOURNE 14 Henderson Street VIC 3205,1300,3,2,0,House
BRIGHTON 21 Elm Grove VIC 3186,700,2,1,1,House
WINDSOR 26 Thomas Street South VIC 3181,750,3,1,1,House
ABBOTSFORD 97 Stafford Street VIC 3067,625,2,1,0,House
