,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,coord,school,train_station,fitness_gym,hospital,shopping_center,park
10,10,10,10,HIGHETT 28 Wilson Street VIC 3190,750,3,1,2,House,-37.9517,145.0394,"[145.0394, -37.9517]","[145.0394, -37.9517]",5491.7,671.7,1100.0,2370.4,505.5,1197.1
11,11,11,11,RICHMOND 17 King Street VIC 3121,560,2,1,1,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
12,12,12,12,CAMBERWELL 203 Highfield Road VIC 3124,1150,6,3,2,House,-37.8248,145.0705,"[145.0705, -37.8248]","[145.0705, -37.8248]",6467.5,991.7,3746.5,1508.7,2062.9,440.3
13,13,13,13,RICHMOND 4/52 Lyndhurst Street VIC 3121,950,3,2,1,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
14,14,14,14,GLEN IRIS 44 Francis Cres VIC 3146,995,3,2,3,House,-37.8599,145.0549,"[145.0549, -37.8599]","[145.0549, -37.8599]",5304.8,455.4,3824.0,1122.9,2608.3,1358.7
15,15,15,15,RICHMOND 609/14 David Street VIC 3121,560,2,2,1,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
16,16,16,16,MOONEE PONDS 80a Waverley Street VIC 3039,750,3,2,2,House,-37.7667,144.9167,"[144.9167, -37.7667]","[144.9167, -37.7667]",3724.0,323.9,590.2,966.0,641.4,1347.0
17,17,17,17,DROMANA 26 William Street VIC 3936,585,4,2,2,House,-38.3632,144.9598,"[144.9598, -38.3632]","[144.9598, -38.3632]",36375.6,24468.2,6174.8,12933.2,5920.4,5745.8
18,18,18,18,BRIGHTON 6 Laburnum Court VIC 3186,550,2,1,1,House,-37.9057,145.0067,"[145.0067, -37.9057]","[145.0067, -37.9057]",2985.3,635.1,670.0,1203.5,5551.3,884.0
19,19,19,19,GLEN IRIS 67 Florizel Street VIC 3146,640,3,2,4,House,-37.8599,145.0549,"[145.0549, -37.8599]","[145.0549, -37.8599]",5304.8,455.4,3824.0,1122.9,2608.3,1358.7
20,20,20,20,FITZROY NORTH 14 Park Street VIC 3068,1200,3,2,1,House,-37.7865,144.9897,"[144.9897, -37.7865]","[144.9897, -37.7865]",5109.7,726.8,2778.5,2719.6,3817.0,814.9
21,21,21,21,ARMADALE 34c Rose Street VIC 3143,650,2,1,0,House,-37.85,145.0333,"[145.0333, -37.85]","[145.0333, -37.85]",7823.1,1583.5,2541.3,542.0,2048.8,1571.9
22,22,22,22,GLEN IRIS 14 Grosvenor Road VIC 3146,520,2,1,2,House,-37.8599,145.0549,"[145.0549, -37.8599]","[145.0549, -37.8599]",5304.8,455.4,3824.0,1122.9,2608.3,1358.7
23,23,23,23,ESSENDON 1A Ogilvie St VIC 3040,560,3,1,1,House,-37.7538,144.8883,"[144.8883, -37.7538]","[144.8883, -37.7538]",7394.6,2535.1,3311.1,1439.2,5398.1,496.8
24,24,24,24,UPWEY 64 Ferguson Street VIC 3158,650,3,1,2,House,-37.9,145.3333,"[145.3333, -37.9]","[145.3333, -37.9]",10215.0,783.2,5108.6,2994.9,6211.2,758.4
25,25,25,26,WODONGA 26 HUON STREET VIC 3690,350,2,1,1,House,-36.0997,146.802,"[146.802, -36.0997]","[146.802, -36.0997]",5506.1,292446.1,50058.4,10042.8,8547.6,7352.7
26,26,26,27,PRESTON 47 Gilbert Road VIC 3072,700,3,3,3,House,-37.75,145.0167,"[145.0167, -37.75]","[145.0167, -37.75]",7957.1,1871.9,695.2,1291.9,2169.5,882.2
27,27,27,28,BLACK ROCK 112A Bluff Road VIC 3193,1150,3,1,0,House,-37.9736,145.0164,"[145.0164, -37.9736]","[145.0164, -37.9736]",6646.2,3215.5,321.2,1444.3,4775.0,1258.9
28,28,28,29,NORTHCOTE 4/165 Clarke Street VIC 3070,560,2,1,1,House,-37.7667,145.0,"[145.0, -37.7667]","[145.0, -37.7667]",4842.0,613.4,3399.6,2702.1,716.1,2130.6
29,29,29,30,CLIFTON HILL 133 Ramsden Street VIC 3068,570,2,1,0,House,-37.7865,144.9897,"[144.9897, -37.7865]","[144.9897, -37.7865]",5109.7,726.8,2778.5,2719.6,3817.0,814.9
30,30,30,31,BRUNSWICK 92 Brunswick Road VIC 3056,660,3,1,0,House,-37.7667,144.9667,"[144.9667, -37.7667]","[144.9667, -37.7667]",1510.0,838.6,895.8,2281.8,1614.7,997.7
31,31,31,32,CAMBERWELL 13 Warburton Road VIC 3124,750,3,1,1,House,-37.8248,145.0705,"[145.0705, -37.8248]","[145.0705, -37.8248]",6467.5,991.7,3746.5,1508.7,2062.9,440.3
32,32,32,33,RICHMOND 19 Baker Street VIC 3121,510,3,1,0,House,-37.8271,145.0064,"[145.0064, -37.8271]","[145.0064, -37.8271]",10859.6,634.6,1006.2,1854.7,2233.0,388.3
33,33,33,34,MONT ALBERT NORTH 4 Melrose Street VIC 3129,500,3,1,2,House,-37.8004,145.1083,"[145.1083, -37.8004]","[145.1083, -37.8004]",1267.6,3417.0,2040.4,2947.6,3322.8,1457.8
34,34,34,35,EYNESBURY 30 Goulburn Way VIC 3338,450,4,2,2,House,-37.7077,144.5749,"[144.5749, -37.7077]","[144.5749, -37.7077]",1358.8,21132.5,2968.9,4004.5,4093.1,78.4
35,35,35,36,ABBOTSFORD 12 Park Street VIC 3067,675,2,1,0,House,-37.8046,144.9998,"[144.9998, -37.8046]","[144.9998, -37.8046]",7600.5,846.1,719.2,1268.7,2600.4,839.4
36,36,36,37,NUNAWADING 13 Brenda Court VIC 3131,550,3,1,1,House,-37.8275,145.1739,"[145.1739, -37.8275]","[145.1739, -37.8275]",8483.6,954.3,2661.8,3362.5,1515.0,1941.0
37,37,37,38,HIGHETT 1/6 Turner Road VIC 3190,715,4,2,2,House,-37.9517,145.0394,"[145.0394, -37.9517]","[145.0394, -37.9517]",5491.7,671.7,1100.0,2370.4,505.5,1197.1
38,38,38,39,CAMBERWELL 9 Ruyton Street VIC 3124,800,3,2,2,House,-37.8248,145.0705,"[145.0705, -37.8248]","[145.0705, -37.8248]",6467.5,991.7,3746.5,1508.7,2062.9,440.3
39,39,39,40,PRAHRAN 11 York Street VIC 3181,690,3,1,0,House,-37.853,144.9929,"[144.9929, -37.853]","[144.9929, -37.853]",11174.5,522.0,878.4,0.0,732.2,1399.2
40,40,40,41,MOUNT WAVERLEY 54 Kemp Avenue VIC 3149,450,2,1,1,House,-37.8771,145.1294,"[145.1294, -37.8771]","[145.1294, -37.8771]",3019.6,351.9,1812.1,2761.4,3477.9,1643.2
41,41,41,42,PORT MELBOURNE 85 Dunstan Parade VIC 3207,650,3,1,2,House,-37.8329,144.922,"[144.922, -37.8329]","[144.922, -37.8329]",9149.8,4973.4,6110.1,5110.1,3509.1,811.2
42,42,42,43,NOBLE PARK 44 Chandler Road VIC 3174,525,3,1,2,House,-37.9667,145.1667,"[145.1667, -37.9667]","[145.1667, -37.9667]",5055.3,1369.7,2888.8,0.0,4024.3,779.9
43,43,43,44,MOORABBIN 23 Hamer Street VIC 3189,725,4,2,2,House,-37.9415,145.0578,"[145.0578, -37.9415]","[145.0578, -37.9415]",5264.9,2929.0,2465.0,1047.3,2993.0,1736.7
44,44,44,45,NORTHCOTE 10/2 Johnson Street VIC 3070,330,1,1,1,House,-37.7667,145.0,"[145.0, -37.7667]","[145.0, -37.7667]",4842.0,613.4,3399.6,2702.1,716.1,2130.6
