,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,erp_2022,natural_increase_2021_22,net_internal_migration_2021_22,net_overseas_migration_2021_22,2022income,suburbID
0,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
1,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
2,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
3,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
4,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
5,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
6,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
7,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
8,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
9,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
10,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
11,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
12,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
13,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
14,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
15,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
16,780,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
17,780,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
18,1650,ST KILDA EAST,5,2,4,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
19,1650,ST KILDA EAST,5,2,4,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
20,750,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
21,750,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,19350.599999999977,125.39999999999782,-620.1999999999825,-431.2000000000117,13734.399999999909,1
22,680,CAULFIELD - NORTH,5,3,2,-37.8755559,145.0288672,5852.7,1618.9,1992.2,1311.8,1673.4,845.8,24660.79999999993,67.20000000000437,-49.80000000000291,-763.5999999999767,16206.20000000007,2
23,400,WODONGA,3,1,0,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
24,450,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
25,480,WODONGA,4,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
26,350,WODONGA,2,1,1,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
27,585,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
28,420,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
29,350,WODONGA,3,2,4,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
30,390,WODONGA,3,1,0,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
31,580,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
32,375,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
33,540,WODONGA,4,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
34,405,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
35,500,WODONGA,3,1,4,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
36,440,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
37,430,WODONGA,3,1,3,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
38,400,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,28233.800000000047,101.59999999999854,298.2000000000007,-48.19999999999709,17026.0,3
