,Unnamed: 0.1,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2023income,2023house_price,Unnamed: 0,erp_2023,net_internal_migration_2022_23,net_overseas_migration_2022_23,natural_increase_2022_23
30,32,420,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
31,33,350,WODONGA,3,2,4,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
32,34,390,WODONGA,3,1,0,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
33,36,580,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
34,37,375,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
35,38,540,WODONGA,4,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
36,39,405,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
37,40,500,WODONGA,3,1,4,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
38,41,440,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
39,42,430,WODONGA,3,1,3,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
40,43,400,WODONGA,3,2,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
41,44,380,WODONGA,3,1,1,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
42,45,430,WODONGA,3,1,2,-36.0997,146.802,5506.1,292446.1,50058.4,10042.8,8547.6,7352.7,17522.5,274000.0,116,28775.19999999996,311.2000000000007,-84.39999999999418,80.19999999999709
43,46,750,HIGHTON,3,1,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
44,47,750,HIGHTON,3,1,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
45,48,550,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
46,49,550,HIGHTON,2,1,1,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
47,50,715,HIGHTON,4,2,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
48,51,715,HIGHTON,4,2,2,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
49,52,650,HIGHTON,3,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
50,53,650,HIGHTON,3,1,1,-37.9517,145.0394,5491.7,671.7,1100.0,2370.4,505.5,1197.1,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
51,54,600,HIGHTON,3,3,2,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
52,55,600,HIGHTON,3,3,2,-37.7829,145.0226,6800.6,1181.2,847.9,680.2,2692.3,986.3,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
53,56,3500,HIGHTON,5,4,3,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,1291200.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
54,57,3500,HIGHTON,5,4,3,-37.9057,145.0067,2985.3,635.1,670.0,1203.5,5551.3,884.0,15973.599999999977,495900.0,100,24832.19999999996,259.3999999999942,-232.70000000001164,71.20000000000073
