,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,erp_2022,natural_increase_2021_22,net_internal_migration_2021_22,net_overseas_migration_2021_22,2022income,suburbID
0,495,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
1,495,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
2,420,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
3,420,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
4,550,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
5,550,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
6,475,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
7,475,EAST MELBOURNE,1,1,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
8,750,EAST MELBOURNE,2,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
9,750,EAST MELBOURNE,2,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
10,600,EAST MELBOURNE,2,2,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
11,600,EAST MELBOURNE,2,2,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
12,950,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,6335.200000000012,-7.599999999999454,-63.400000000001455,-191.0,4223.999999999971,0
