,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates
0,0,SOUTH YARRA 12 MacFarlan Street VIC 3141,625,2,1,0,House,-37.8333,144.9833,"[144.9833, -37.8333]"
1,1,RICHMOND 104 Somerset Street VIC 3121,695,2,1,0,House,-37.8271,145.0064,"[145.0064, -37.8271]"
2,2,WEST MELBOURNE 78 Hawke Street VIC 3003,1100,4,2,1,House,-37.8101,144.95,"[144.95, -37.8101]"
3,3,ST KILDA EAST 2 Kurrajong Avenue VIC 3183,720,3,2,1,House,-37.8692,144.9977,"[144.9977, -37.8692]"
4,4,CAULFIELD NORTH 38 Park Crescent VIC 3161,920,3,3,2,House,-37.0,145.0,"[145.0, -37.0]"
5,5,WODONGA 9 Huon Street VIC 3690,400,3,1,0,House,-36.0997,146.802,"[146.802, -36.0997]"
6,6,WODONGA 40 DAINTREE WAY VIC 3690,450,3,2,2,House,-36.0997,146.802,"[146.802, -36.0997]"
7,7,WODONGA 16 TEAL COURT VIC 3690,480,4,2,2,House,-36.0997,146.802,"[146.802, -36.0997]"
8,8,CHADSTONE 37 Margot Street VIC 3148,395,2,1,3,House,-37.8833,145.1167,"[145.1167, -37.8833]"
9,9,FLINDERS 6 Bass Street VIC 3929,1300,5,2,2,House,-38.4739,145.019,"[145.019, -38.4739]"
10,10,HIGHETT 28 Wilson Street VIC 3190,750,3,1,2,House,-37.9517,145.0394,"[145.0394, -37.9517]"
11,11,RICHMOND 17 King Street VIC 3121,560,2,1,1,House,-37.8271,145.0064,"[145.0064, -37.8271]"
12,12,CAMBERWELL 203 Highfield Road VIC 3124,1150,6,3,2,House,-37.8248,145.0705,"[145.0705, -37.8248]"
13,13,RICHMOND 4/52 Lyndhurst Street VIC 3121,950,3,2,1,House,-37.8271,145.0064,"[145.0064, -37.8271]"
14,14,GLEN IRIS 44 Francis Cres VIC 3146,995,3,2,3,House,-37.8599,145.0549,"[145.0549, -37.8599]"
15,15,RICHMOND 609/14 David Street VIC 3121,560,2,2,1,House,-37.8271,145.0064,"[145.0064, -37.8271]"
16,16,MOONEE PONDS 80a Waverley Street VIC 3039,750,3,2,2,House,-37.7667,144.9167,"[144.9167, -37.7667]"
17,17,DROMANA 26 William Street VIC 3936,585,4,2,2,House,-38.3632,144.9598,"[144.9598, -38.3632]"
18,18,BRIGHTON 6 Laburnum Court VIC 3186,550,2,1,1,House,-37.9057,145.0067,"[145.0067, -37.9057]"
19,19,GLEN IRIS 67 Florizel Street VIC 3146,640,3,2,4,House,-37.8599,145.0549,"[145.0549, -37.8599]"
20,20,FITZROY NORTH 14 Park Street VIC 3068,1200,3,2,1,House,-37.7865,144.9897,"[144.9897, -37.7865]"
