,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
0,ALPINE10918,Bright p-12 College,Bakers Gully ,BRIGHT,3741.0,-36.733701,146.962508,Synthetic Pitch," Bakers Gully  Road, BRIGHT 3741",661 O6
1,BALLAR12533,University of Ballarat Oval,University,MOUNT HELEN,3350.0,-37.625006,143.887907,Grass Running Track," University Drive, MOUNT HELEN 3350",572 J10
2,BALLAR12472,Ballarat Secondary College - East Campus,Victoria,BALLARAT EAST,3350.0,-37.559416,143.894588,Grass," Victoria Street, BALLARAT EAST 3350",567 L8
3,BALLAR12473,Ballarat Secondary College - Wendouree Campus,Forest,WENDOUREE,3355.0,-37.519558,143.832447,Grass," Forest Road, WENDOUREE 3355",561 U10
4,BAWBAW12150,Drouin Secondary College,Drouin-Korumburra,DROUIN,3818.0,-38.14571,145.851613,Synthetic Pitch," Drouin-Korumburra Road, DROUIN 3818",
5,BAWBAW12152,Marist Sion College,Burke,WARRAGUL,3820.0,-38.160869,145.914327,Synthetic Pitch," Burke Street, WARRAGUL 3820",
6,BAWBAW12149,Warragul Regional College,Burke,WARRAGUL,3820.0,-38.159164,145.913787,Synthetic Pitch," Burke Street, WARRAGUL 3820",
7,BAYSID11289,Brighton Secondary College,Marriage  ,BRIGHTON EAST,3187.0,-37.921837,145.01837,Artificial Turf," Marriage   Road, BRIGHTON EAST 3187",
8,BOROON11480,MLC Gymnastic Club (Methodist Ladies College),Barkers,KEW,3101.0,,,,"207 Barkers Road, KEW 3101",
9,BOROON11475,Skylark Sports (Bialik College- Gringlas Sports Centre),Auburn,HAWTHORN EAST,3123.0,,,,"429 Auburn Road, HAWTHORN EAST 3123",
10,BRIMBA8332,Brimbank College,Jamieson,ST ALBANS,3021.0,-37.740071,144.784559,," Jamieson Street, ST ALBANS 3021",13 G12
11,BRIMBA8340,Copperfield Secondary College,Community,SYDENHAM,3037.0,-37.702186,144.760049,Asphalt,"65-75 Community Hub, SYDENHAM 3037",13 D10
12,BRIMBA8397,St Albans Secondary College,Main,ST ALBANS,3021.0,-37.745805,144.807771,," Main Road East, ST ALBANS 3021",26 C1
13,CASEYC5588,Kambrya College,St Boswells,BERWICK,3806.0,-38.054077,145.345203,Grass,"47-51 St Boswells Avenue, BERWICK 3806",
14,CASEYC5122,Berwick Secondary College,Manuka,BERWICK,3806.0,-38.030368,145.361966,Artificial Turf," Manuka Road, BERWICK 3806",
