,Unnamed: 0.1,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2022income,2022house_price,Unnamed: 0,erp_2022,net_internal_migration_2021_22,net_overseas_migration_2021_22,natural_increase_2021_22
0,0,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
1,1,1100,EAST MELBOURNE,4,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
2,2,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
3,3,1150,EAST MELBOURNE,4,2,0,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
4,4,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
5,5,525,EAST MELBOURNE,2,1,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
6,6,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
7,7,1200,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
8,8,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
9,9,630,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
10,10,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,444000.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
11,11,900,EAST MELBOURNE,3,2,1,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4223.999999999971,627700.0,145,6335.200000000012,-63.400000000001455,-191.0,-7.599999999999454
12,12,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,619950.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
13,13,720,ST KILDA EAST,3,2,1,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,599000.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
14,14,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,619950.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
15,15,850,ST KILDA EAST,3,1,0,-37.8692,144.9977,8801.2,740.6,1818.7,176.2,1684.7,1184.2,13734.399999999909,599000.0,41,19350.599999999977,-620.1999999999825,-431.2000000000117,125.39999999999782
