,price,suburb,beds,baths,parking,latitudes,longitudes,school,train_station,fitness_gym,hospital,shopping_center,park,2025income,2025house_price,Unnamed: 0,erp_2025,net_internal_migration_2024_25,net_overseas_migration_2024_25,natural_increase_2024_25
26,770,EAST MELBOURNE,3,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
27,770,EAST MELBOURNE,3,2,2,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
28,625,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
29,625,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
32,575,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
33,575,EAST MELBOURNE,2,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
36,435,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
37,435,EAST MELBOURNE,1,1,1,-37.8167,144.9879,8137.6,381.0,345.9,620.2,1558.5,1235.1,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
38,400,EAST MELBOURNE,1,1,0,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4461.599999999977,222000.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
39,400,EAST MELBOURNE,1,1,0,-37.8101,144.95,5246.2,843.7,516.0,960.7,737.0,3319.6,4461.599999999977,670300.0,145,6759.099999999977,-123.10000000000582,-370.6999999999971,-13.899999999999636
