,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes
0,EAST MELBOURNE 12/174 George Street VIC 3002,495,1,1,1,Apartment / Unit / Flat,-37.8167,144.9879
1,BRIGHTON 210/26 Warleigh Grove VIC 3186,595,2,2,1,Apartment / Unit / Flat,-37.9057,145.0067
2,MELBOURNE 605/455 Elizabeth Street VIC 3000,500,2,1,0,Apartment / Unit / Flat,45.5916,14.1546
3,MELBOURNE 3510/500 Elizabeth Street VIC 3000,580,2,2,0,Apartment / Unit / Flat,45.5916,14.1546
4,MELBOURNE 309/402-408 La Trobe Street VIC 3000,450,2,1,0,Apartment / Unit / Flat,45.5916,14.1546
5,CARLTON G06/81 Cemetery Road VIC 3053,375,1,1,0,Apartment / Unit / Flat,-37.8004,144.9684
6,ST KILDA EAST 7/1A Hughenden Road VIC 3183,340,1,1,1,Apartment / Unit / Flat,-37.8692,144.9977
7,ABBOTSFORD EG07/11 Flockhart Street VIC 3067,375,2,1,0,Apartment / Unit / Flat,-37.8046,144.9998
8,BRUNSWICK WEST 10/5 Allard Street VIC 3055,370,1,1,1,Apartment / Unit / Flat,-37.7603,144.9502
9,EAST MELBOURNE 1105/162 Albert Street VIC 3002,420,2,1,1,Apartment / Unit / Flat,-37.8167,144.9879
10,ARMADALE 6/6 Denbigh Road VIC 3143,710,2,2,1,Apartment / Unit / Flat,-37.85,145.0333
11,EAST MELBOURNE 107K/211 Powlett Street VIC 3002,550,1,1,1,Apartment / Unit / Flat,-37.8167,144.9879
12,PORT MELBOURNE 409/108 Bay Street VIC 3207,550,1,2,1,Apartment / Unit / Flat,-37.8329,144.922
13,HAWTHORN 15/64 Auburn Rd VIC 3122,330,1,1,1,Apartment / Unit / Flat,-37.8199,145.0358
14,ELWOOD 205/95 Ormond Road VIC 3184,410,1,1,1,Apartment / Unit / Flat,-37.8809,144.9855
15,SOUTH YARRA 603/101 River Street VIC 3141,850,2,2,2,Apartment / Unit / Flat,-37.8333,144.9833
16,MONTMORENCY 2/14 Binns Street VIC 3094,450,2,1,2,Apartment / Unit / Flat,-37.7167,145.1167
17,SOUTHBANK 602/250 City Road VIC 3006,385,1,1,0,Apartment / Unit / Flat,-37.8228,144.9643
18,ELWOOD 7/23 Bendigo Avenue VIC 3184,240,1,1,1,Apartment / Unit / Flat,-37.8809,144.9855
19,MURRUMBEENA 5/34 Bute Street VIC 3163,340,1,1,1,Apartment / Unit / Flat,-37.8895,145.0581
20,COLLINGWOOD 204/107 Cambridge Street VIC 3066,480,1,1,1,Apartment / Unit / Flat,-37.8,144.9833
21,CAULFIELD NORTH 10/663 Inkerman Road VIC 3161,525,2,1,1,Apartment / Unit / Flat,-37.872,145.0216
22,GLEN IRIS 1492 Malvern Road VIC 3146,230,1,1,0,Apartment / Unit / Flat,-37.8599,145.0549
23,PORT MELBOURNE 214/54 Nott Street VIC 3207,440,1,1,1,Apartment / Unit / Flat,-37.8329,144.922
24,WODONGA 1/6 Rattray Avenue VIC 3690,250,2,1,1,Apartment / Unit / Flat,-36.0997,146.802
25,MOONEE PONDS 105/333 Ascot Vale Rd VIC 3039,480,2,2,1,Apartment / Unit / Flat,-37.7667,144.9167
26,WINDSOR 12/30 James Street VIC 3181,70,1,1,1,Apartment / Unit / Flat,-37.853,144.9929
27,MELBOURNE 918/422 Collins St VIC 3000,600,2,1,0,Apartment / Unit / Flat,45.5916,14.1546
28,BENTLEIGH 2/116 Jasper Road VIC 3204,450,2,1,1,Apartment / Unit / Flat,46.3375,15.2264
29,FOOTSCRAY 1003/8 Joseph Road VIC 3011,480,2,2,1,Apartment / Unit / Flat,-37.7995,144.8963
30,HAWTHORN 6/566 Glenferrie Road VIC 3122,480,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358
31,SOUTH YARRA 1203/77 River Street VIC 3141,570,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833
32,SOUTH YARRA 1102/32 Bray Street VIC 3141,525,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833
33,RESERVOIR 2/24 O'Connor Street VIC 3073,430,2,1,1,Apartment / Unit / Flat,-37.7167,145.0
34,MELBOURNE 911/408 Lonsdale Street VIC 3000,330,1,1,0,Apartment / Unit / Flat,45.5916,14.1546
35,HAWTHORN 3/23 Auburn Grove VIC 3122,450,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358
36,ELWOOD 3/27 Ruskin Street VIC 3184,550,2,1,1,Apartment / Unit / Flat,-37.8809,144.9855
37,WODONGA 4/5 BELL COURT VIC 3690,230,1,1,1,Apartment / Unit / Flat,-36.0997,146.802
38,FITZROY NORTH 204/378-390 St George Road VIC 3068,800,2,2,1,Apartment / Unit / Flat,-37.7865,144.9897
39,HAWTHORN 303/81 Riversdale Road VIC 3122,500,2,2,1,Apartment / Unit / Flat,-37.8199,145.0358
40,TOORAK 3/402 Toorak Road VIC 3142,475,2,1,2,Apartment / Unit / Flat,-37.8416,145.0177
41,WODONGA 4/4-6 WILSON STREET VIC 3690,350,2,1,1,Apartment / Unit / Flat,-36.0997,146.802
42,BRUNSWICK WEST 504/1 Olive York Way VIC 3055,450,2,2,1,Apartment / Unit / Flat,-37.7603,144.9502
43,RINGWOOD 410/92 Maroondah Highway VIC 3134,440,2,2,1,Apartment / Unit / Flat,-37.7667,145.25
44,NOBLE PARK 10/10 Larbert Road VIC 3174,240,1,1,1,Apartment / Unit / Flat,-37.9667,145.1667
45,ABBOTSFORD 514/6 Acacia Place VIC 3067,440,1,1,1,Apartment / Unit / Flat,-37.8046,144.9998
46,GEELONG WEST 3/47 Wellington Street VIC 3218,340,2,1,1,Apartment / Unit / Flat,-38.1343,144.3241
47,ABBOTSFORD 902/627 Victoria Street VIC 3067,425,1,1,0,Apartment / Unit / Flat,-37.8046,144.9998
48,HIGHETT 314/284 Highett Rd VIC 3190,430,2,1,1,Apartment / Unit / Flat,-37.9517,145.0394
49,RICHMOND 612/30 Burnley Street VIC 3121,425,1,1,1,Apartment / Unit / Flat,-37.8271,145.0064
50,HAMPTON 2/36 Crisp St VIC 3188,625,2,2,1,Apartment / Unit / Flat,-37.9374,145.0151
51,EAST MELBOURNE 4/23 Albert Street VIC 3002,475,1,1,0,Apartment / Unit / Flat,-37.8167,144.9879
52,ST KILDA EAST 31/55 Hotham Street VIC 3183,550,3,1,1,Apartment / Unit / Flat,-37.8692,144.9977
53,BRUNSWICK EAST 105/26 Barkly Street VIC 3057,400,1,1,1,Apartment / Unit / Flat,-37.7603,144.9502
54,ELWOOD 2/117 Tennyson Street VIC 3184,560,2,2,2,Apartment / Unit / Flat,-37.8809,144.9855
55,ST KILDA EAST 1/28 Wilgah Street VIC 3183,495,2,1,1,Apartment / Unit / Flat,-37.8692,144.9977
56,CAULFIELD 313/15 Bond Street VIC 3162,450,2,1,1,Apartment / Unit / Flat,-37.8914,145.0254
57,SOUTH YARRA 3/59 Avoca Street VIC 3141,580,2,1,0,Apartment / Unit / Flat,-37.8333,144.9833
58,CAULFIELD SOUTH 2/193 Bambra Road VIC 3162,590,3,2,1,Apartment / Unit / Flat,-37.8914,145.0254
59,CAULFIELD 2A Stephens Street VIC 3162,670,3,2,2,Apartment / Unit / Flat,-37.8914,145.0254
60,ABBOTSFORD 714/20 Shamrock Street VIC 3067,350,1,1,0,Apartment / Unit / Flat,-37.8046,144.9998
61,ELWOOD 4/5 Southey Court VIC 3184,575,2,1,1,Apartment / Unit / Flat,-37.8809,144.9855
62,CANTERBURY 2/28 Milton Street VIC 3126,430,2,1,1,Apartment / Unit / Flat,-37.8247,145.0848
63,CHADSTONE 336/70 Batesford Road VIC 3148,375,1,1,1,Apartment / Unit / Flat,-37.8833,145.1167
64,SOUTH YARRA 512/77 River Street VIC 3141,430,1,1,1,Apartment / Unit / Flat,-37.8333,144.9833
65,SOUTH MELBOURNE 1703/89-103 Gladstone Street VIC 3205,460,1,1,0,Apartment / Unit / Flat,46.3817,15.2958
66,WODONGA 2/4 ANNE STREET VIC 3690,240,1,1,1,Apartment / Unit / Flat,-36.0997,146.802
67,ST KILDA 5/2 Kipling Street VIC 3182,325,2,1,1,Apartment / Unit / Flat,-37.8633,144.9802
68,ST KILDA 14/21 Marine Parade VIC 3182,1300,3,2,2,Apartment / Unit / Flat,-37.8633,144.9802
69,FITZROY NORTH 111L/378-390 St Georges Road VIC 3068,440,1,1,1,Apartment / Unit / Flat,-37.7865,144.9897
70,BALACLAVA 4/360 Carlisle Street VIC 3183,650,2,1,1,Apartment / Unit / Flat,-37.8692,144.9977
71,MALVERN EAST 508/839 Dandenong Road VIC 3145,360,1,1,1,Apartment / Unit / Flat,-37.874,145.0425
