Unnamed: 0.1,Unnamed: 0,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes,coordinates,train_station
853,942,ST KILDA EAST 7/154 Alma Road VIC 3183,395,2,1,1,Apartment / Unit / Flat,-37.8692,144.9977,"[144.9977, -37.8692]",740.6
854,943,FITZROY 303/81 Argyle Street VIC 3065,470,1,1,1,Apartment / Unit / Flat,-37.7984,144.9783,"[144.9783, -37.7984]",1776.5
855,944,IVANHOE 2/17 Green Street VIC 3079,410,2,1,1,Apartment / Unit / Flat,-37.769,145.0431,"[145.0431, -37.769]",773.5
856,945,BRUNSWICK EAST 2/72 Victoria Street VIC 3057,390,2,1,0,Apartment / Unit / Flat,-37.7603,144.9502,"[144.9502, -37.7603]",1360.1
857,946,WERRIBEE 1/137 Greaves Street VIC 3030,330,2,1,1,Apartment / Unit / Flat,-37.8887,144.726,"[144.726, -37.8887]",5078.3
858,947,PRAHRAN 4/28 Raleigh Street VIC 3181,385,1,1,1,Apartment / Unit / Flat,-37.853,144.9929,"[144.9929, -37.853]",522.0
859,948,BUNDOORA 101B/1091 Plenty Road VIC 3083,395,2,2,1,Apartment / Unit / Flat,-37.7062,145.0474,"[145.0474, -37.7062]",5135.1
860,949,PAKENHAM 6/40 Army Road VIC 3810,370,3,1,1,Apartment / Unit / Flat,-38.1333,145.5167,"[145.5167, -38.1333]",8236.8
861,950,MARIBYRNONG 207/8 Horizon Drive VIC 3032,465,2,2,1,Apartment / Unit / Flat,-37.7808,144.9354,"[144.9354, -37.7808]",1245.2
862,951,ELWOOD 1/445 St Kilda Street VIC 3184,500,2,1,1,Apartment / Unit / Flat,-37.8809,144.9855,"[144.9855, -37.8809]",2446.6
863,952,FITZROY 302/270 Young Street VIC 3065,950,2,2,2,Apartment / Unit / Flat,-37.7984,144.9783,"[144.9783, -37.7984]",1776.5
864,953,TOORAK 2/12 Chastleton Avenue VIC 3142,460,2,1,1,Apartment / Unit / Flat,-37.8416,145.0177,"[145.0177, -37.8416]",1204.1
865,954,NORTH MELBOURNE 9/49 Brougham Street VIC 3051,280,1,1,0,Apartment / Unit / Flat,-37.8029,144.9482,"[144.9482, -37.8029]",1064.6
866,955,FOOTSCRAY 201/21 Buckingham Street VIC 3011,390,2,1,1,Apartment / Unit / Flat,-37.7995,144.8963,"[144.8963, -37.7995]",739.1
867,956,WARRNAMBOOL 2/18 Kielli Drive VIC 3280,350,2,1,1,Apartment / Unit / Flat,-37.0,145.0,"[145.0, -37.0]",78589.5
868,957,HAWTHORN 1/17 Muir Street VIC 3122,450,3,1,1,Apartment / Unit / Flat,-37.8199,145.0358,"[145.0358, -37.8199]",271.3
869,958,SOUTH YARRA 607/8 Daly Street VIC 3141,540,2,2,1,Apartment / Unit / Flat,-37.8333,144.9833,"[144.9833, -37.8333]",1444.3
870,959,HEIDELBERG HEIGHTS 105/452 Waterdale Road VIC 3081,399,2,1,1,Apartment / Unit / Flat,-37.7531,145.0385,"[145.0385, -37.7531]",2807.3
871,960,HAWTHORN 6/42 Morang Road VIC 3122,300,1,1,1,Apartment / Unit / Flat,-37.8199,145.0358,"[145.0358, -37.8199]",271.3
