,suburb,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,natural_increase_2017_18,net_internal_migration_2017_18,net_overseas_migration_2017_18,natural_increase_2018_19,net_internal_migration_2018_19,net_overseas_migration_2018_19,natural_increase_2019_20,net_internal_migration_2019_20,net_overseas_migration_2019_20,natural_increase_2020_21,net_internal_migration_2020_21,net_overseas_migration_2020_21
0,GORDON (VIC.),5761,5824,5899,5999,6075,17.0,39.0,7.0,37.0,31.0,7.0,24.0,70.0,6.0,8.0,63.0,5.0,23.0,16.0,0.0
1,AVOCA,3323,3330,3352,3364,3370,3.0,-1.0,5.0,5.0,13.0,4.0,-1.0,9.0,4.0,-4.0,7.0,3.0,-9.0,49.0,-1.0
2,BEAUFORT,4454,4485,4450,4547,4615,-17.0,42.0,6.0,0.0,-41.0,6.0,-5.0,96.0,6.0,-12.0,76.0,4.0,-8.0,30.0,0.0
3,GOLDEN PLAINS - NORTH,4540,4635,4742,4862,4938,24.0,66.0,5.0,32.0,70.0,5.0,35.0,79.0,6.0,17.0,55.0,4.0,23.0,48.0,-1.0
4,YACKANDANDAH,4578,4586,4627,4683,4756,12.0,-13.0,9.0,24.0,8.0,9.0,0.0,48.0,8.0,10.0,55.0,8.0,9.0,63.0,-2.0
5,DROUIN,16435,17112,17777,18452,19213,123.0,522.0,32.0,125.0,507.0,33.0,136.0,507.0,32.0,121.0,616.0,24.0,84.0,552.0,-6.0
6,MOUNT BAW BAW REGION,6095,6114,6147,6191,6192,7.0,-2.0,14.0,4.0,16.0,13.0,24.0,8.0,12.0,6.0,-15.0,10.0,26.0,63.0,-3.0
7,TRAFALGAR (VIC.),7828,7970,8035,8077,8129,29.0,97.0,16.0,27.0,24.0,14.0,0.0,28.0,14.0,17.0,25.0,10.0,26.0,126.0,-2.0
8,WARRAGUL,19088,19584,20148,20764,21418,119.0,307.0,70.0,32.0,458.0,74.0,81.0,461.0,74.0,74.0,524.0,56.0,83.0,784.0,-13.0
9,ALPS - EAST,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BAIRNSDALE,14899,15167,15409,15561,15590,21.0,203.0,44.0,17.0,192.0,33.0,8.0,112.0,32.0,-43.0,48.0,24.0,-42.0,163.0,-6.0
11,BRUTHEN - OMEO,7902,7999,8087,8172,8280,20.0,58.0,19.0,15.0,54.0,19.0,46.0,19.0,20.0,4.0,90.0,14.0,13.0,156.0,-3.0
12,LAKE KING,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,LAKES ENTRANCE,10038,10147,10303,10394,10579,-22.0,111.0,20.0,-22.0,158.0,20.0,-58.0,128.0,21.0,-29.0,200.0,14.0,-61.0,246.0,-4.0
14,ORBOST,6497,6468,6475,6447,6461,-29.0,-14.0,14.0,-26.0,20.0,13.0,-6.0,-34.0,12.0,-26.0,30.0,10.0,-33.0,77.0,-3.0
15,PAYNESVILLE,6374,6485,6662,6836,6914,-38.0,138.0,11.0,-38.0,204.0,11.0,-49.0,213.0,10.0,-64.0,134.0,8.0,-50.0,214.0,-2.0
16,FOSTER,8897,8954,8994,9077,9232,0.0,31.0,26.0,-5.0,18.0,27.0,-7.0,64.0,26.0,-43.0,178.0,20.0,-15.0,104.0,-4.0
17,FRENCH ISLAND,114,114,114,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,KORUMBURRA,9253,9341,9443,9587,9755,17.0,41.0,30.0,20.0,66.0,16.0,36.0,91.0,17.0,20.0,137.0,11.0,14.0,28.0,-3.0
19,LEONGATHA,11202,11248,11358,11468,11471,0.0,14.0,32.0,9.0,70.0,31.0,-25.0,103.0,32.0,-23.0,2.0,24.0,-30.0,110.0,-5.0
20,PHILLIP ISLAND,10686,11037,11416,11748,12115,17.0,283.0,51.0,-12.0,339.0,52.0,-17.0,297.0,52.0,-20.0,351.0,36.0,-29.0,476.0,-9.0
21,WILSONS PROMONTORY,13,13,13,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,WONTHAGGI - INVERLOCH,22577,23125,23685,24330,25098,-20.0,504.0,64.0,-44.0,533.0,71.0,-18.0,593.0,70.0,-35.0,754.0,49.0,-49.0,1007.0,-12.0
23,CHURCHILL,11594,11576,11590,11628,11702,54.0,-114.0,42.0,51.0,-84.0,47.0,51.0,-58.0,45.0,56.0,-14.0,32.0,76.0,1.0,-7.0
24,MOE - NEWBOROUGH,16840,16831,16810,16816,16842,-13.0,-34.0,38.0,12.0,-70.0,37.0,-27.0,-5.0,38.0,-62.0,60.0,28.0,-68.0,73.0,-6.0
25,MORWELL,14024,14008,14025,14038,14001,16.0,-75.0,43.0,35.0,-61.0,43.0,-36.0,7.0,42.0,-18.0,-49.0,30.0,0.0,52.0,-7.0
26,TRARALGON,27361,27667,27958,28206,28427,105.0,89.0,112.0,127.0,52.0,112.0,87.0,50.0,111.0,94.0,47.0,80.0,60.0,55.0,-21.0
27,YALLOURN NORTH - GLENGARRY,4643,4645,4645,4692,4752,37.0,-39.0,4.0,8.0,-12.0,4.0,22.0,21.0,4.0,32.0,26.0,2.0,45.0,20.0,0.0
28,ALPS - WEST,24,24,24,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,LONGFORD - LOCH SPORT,4367,4398,4403,4453,4576,8.0,7.0,16.0,-12.0,0.0,17.0,1.0,32.0,17.0,-3.0,114.0,12.0,2.0,73.0,-4.0
