,suburb,erp_2016,erp_2017,erp_2018,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,natural_increase_2017_18,net_internal_migration_2017_18,net_overseas_migration_2017_18,natural_increase_2018_19,net_internal_migration_2018_19,net_overseas_migration_2018_19,2016income,2017income,2018income
31,MAFFRA,13973,14099,14197,34.0,24.0,68.0,26.0,2.0,70.0,59.0,10.0,69.0," 7,684 "," 7,703 ","7,910"
32,ROSEDALE,4791,4865,4870,23.0,34.0,17.0,27.0,-40.0,18.0,29.0,1.0,18.0," 2,285 "," 2,238 ","2,281"
33,BURWOOD EAST,10772,10871,10976,15.0,-261.0,345.0,24.0,-281.0,362.0,2.0,-251.0,359.0," 6,049 "," 6,293 ","6,275"
34,LILYDALE - COLDSTREAM,19448,19630,19780,90.0,13.0,79.0,132.0,-58.0,76.0,149.0,-144.0,75.0," 11,457 "," 11,549 ","11,566"
35,SURREY HILLS (EAST) - MONT ALBERT,10456,10532,10607,28.0,-112.0,160.0,33.0,-99.0,141.0,27.0,-93.0,133.0," 6,709 "," 6,842 ","6,925"
36,BRIGHTON EAST,16718,16774,16883,-57.0,-70.0,183.0,-38.0,-28.0,175.0,-22.0,-79.0,173.0," 10,044 "," 10,278 ","10,293"
37,SOUTH YARRA - EAST,22350,23657,24654,168.0,324.0,815.0,162.0,116.0,719.0,147.0,-433.0,683.0," 15,467 "," 16,102 ","16,272"
38,CHELTENHAM - HIGHETT (WEST),11463,11750,12142,76.0,89.0,122.0,79.0,199.0,114.0,79.0,22.0,110.0," 7,021 "," 7,219 ","7,438"
39,MONBULK - SILVAN,5827,5855,5859,41.0,-42.0,29.0,28.0,-52.0,28.0,38.0,-76.0,28.0," 3,497 "," 3,581 ","3,592"
40,YARRIAMBIACK,6693,6632,6610,-43.0,-34.0,16.0,-28.0,-9.0,15.0,-52.0,8.0,14.0," 3,600 "," 3,602 ","3,555"
41,BEACONSFIELD - OFFICER,13612,15446,17576,235.0,1513.0,86.0,251.0,1798.0,81.0,330.0,1874.0,79.0," 9,147 "," 10,481 ","11,922"
42,HADFIELD,5911,5982,6036,45.0,-30.0,56.0,47.0,-38.0,45.0,80.0,5.0,44.0," 2,786 "," 2,971 ","3,124"
43,BRUNSWICK EAST,11716,12560,13301,104.0,420.0,320.0,87.0,361.0,293.0,84.0,99.0,281.0," 7,948 "," 8,331 ","8,757"
44,TOORAK,14036,14126,14187,2.0,-74.0,162.0,4.0,-84.0,141.0,15.0,-65.0,134.0," 10,096 "," 10,250 ","10,071"
45,CAMBERWELL,22646,22902,23021,-60.0,34.0,282.0,-79.0,-68.0,266.0,-45.0,-65.0,253.0," 14,144 "," 14,527 ","14,501"
46,SURREY HILLS (WEST) - CANTERBURY,17126,17295,17397,0.0,-16.0,185.0,-5.0,-57.0,164.0,-30.0,-64.0,155.0," 10,940 "," 11,079 ","11,103"
47,SUNBURY,13238,13306,13397,62.0,-41.0,47.0,77.0,-31.0,45.0,100.0,17.0,44.0," 7,829 "," 8,035 ","8,242"
48,HAMPTON,18611,18868,19103,105.0,-69.0,221.0,82.0,-62.0,215.0,47.0,-19.0,213.0," 11,134 "," 11,338 ","11,547"
49,SUNBURY - SOUTH,27686,28452,29373,166.0,471.0,129.0,228.0,569.0,124.0,244.0,897.0,121.0," 15,982 "," 16,703 ","17,563"
50,BUNYIP - GARFIELD,8928,9026,9154,26.0,54.0,18.0,44.0,66.0,18.0,62.0,112.0,18.0," 5,195 "," 5,411 ","5,567"
51,EMERALD - COCKATOO,18580,18722,18776,112.0,-11.0,41.0,85.0,-69.0,38.0,107.0,-16.0,38.0," 10,803 "," 10,939 ","11,140"
52,KOO WEE RUP,7666,7965,8152,47.0,236.0,16.0,53.0,120.0,14.0,70.0,330.0,14.0," 4,311 "," 4,514 ","4,848"
53,HUGHESDALE,8038,8184,8286,43.0,-110.0,213.0,68.0,-152.0,186.0,53.0,-102.0,181.0," 4,410 "," 4,528 ","4,600"
54,ALFREDTON,11852,12522,13291,111.0,490.0,69.0,132.0,566.0,71.0,127.0,582.0,69.0," 7,124 "," 7,558 ","7,989"
55,MURRUMBEENA,9809,9915,9992,50.0,-172.0,228.0,44.0,-182.0,215.0,35.0,-135.0,208.0," 5,966 "," 6,136 ","6,259"
56,GANNAWARRA,6661,6682,6653,2.0,16.0,3.0,-4.0,-27.0,2.0,-20.0,-39.0,2.0," 3,604 "," 3,654 ","3,642"
57,ORMOND - GLEN HUNTLY,14057,14283,14525,116.0,-399.0,509.0,117.0,-389.0,514.0,110.0,-417.0,509.0," 8,419 "," 8,869 ","9,185"
58,BENTLEIGH EAST (NORTH),15482,15732,16029,85.0,-78.0,243.0,95.0,3.0,199.0,93.0,217.0,193.0," 8,799 "," 9,067 ","9,401"
59,BENTLEIGH EAST (SOUTH),13767,14023,14191,83.0,24.0,149.0,47.0,-21.0,142.0,76.0,18.0,137.0," 7,796 "," 8,086 ","8,190"
60,ASPENDALE GARDENS - WATERWAYS,9427,9451,9489,59.0,-114.0,79.0,30.0,-72.0,80.0,42.0,-118.0,83.0," 5,435 "," 5,541 ","5,618"
61,BRAESIDE,60,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 160 , 156 , 138 
62,BALLARAT,12301,12227,12175,-34.0,-126.0,86.0,-33.0,-105.0,86.0,-33.0,-2.0,85.0," 7,470 "," 7,585 ","7,595"
63,ALPHINGTON - FAIRFIELD,9434,9650,9774,87.0,-25.0,154.0,54.0,-75.0,145.0,66.0,27.0,141.0," 5,678 "," 5,819 ","5,937"
64,BALLARAT - NORTH,23539,23902,24147,98.0,175.0,90.0,117.0,32.0,96.0,83.0,134.0,93.0," 12,889 "," 13,356 ","13,598"
65,CARLTON,20242,21835,23261,91.0,-518.0,2020.0,59.0,-727.0,2094.0,52.0,-651.0,2030.0," 8,400 "," 9,030 ","9,422"
66,BALLARAT - SOUTH,24654,25029,25390,142.0,87.0,146.0,119.0,91.0,151.0,109.0,-58.0,153.0," 11,905 "," 12,294 ","12,722"
67,CRESWICK - CLUNES,7870,7928,7997,-6.0,50.0,14.0,10.0,46.0,13.0,24.0,55.0,12.0," 4,102 "," 4,149 ","4,294"
68,DAYLESFORD,9117,9165,9261,-25.0,33.0,40.0,-11.0,68.0,39.0,-25.0,52.0,38.0," 5,176 "," 5,276 ","5,363"
69,AVOCA,3323,3330,3352,3.0,-1.0,5.0,5.0,13.0,4.0,-1.0,9.0,4.0," 1,668 "," 1,696 ","1,724"
70,BEAUFORT,4454,4485,4450,-17.0,42.0,6.0,0.0,-41.0,6.0,-4.0,96.0,6.0," 2,136 "," 2,165 ","2,268"
71,GOLDEN PLAINS - NORTH,4540,4635,4742,24.0,66.0,5.0,32.0,70.0,5.0,35.0,79.0,6.0," 2,379 "," 2,461 ","2,520"
72,MARYBOROUGH REGION,5278,5327,5364,-16.0,57.0,8.0,-14.0,43.0,8.0,-26.0,9.0,8.0," 2,432 "," 2,482 ","2,476"
73,SEDDON - KINGSVILLE,9711,9875,10013,151.0,-112.0,125.0,113.0,-106.0,131.0,116.0,-136.0,128.0," 5,766 "," 5,893 ","6,027"
74,BUNINYONG,7311,7491,7584,48.0,85.0,47.0,22.0,24.0,47.0,33.0,49.0,46.0," 4,118 "," 4,195 ","4,249"
75,DELACOMBE,7195,7487,7873,73.0,200.0,19.0,74.0,292.0,20.0,63.0,538.0,20.0," 4,085 "," 4,312 ","4,723"
76,CASTLEMAINE REGION,8621,8690,8722,-4.0,54.0,19.0,13.0,0.0,19.0,-20.0,76.0,19.0," 4,704 "," 4,816 ","5,017"
77,HEATHCOTE,4529,4562,4635,-29.0,57.0,5.0,-18.0,86.0,5.0,-9.0,58.0,6.0," 2,147 "," 2,214 ","2,258"
78,SMYTHES CREEK,3990,3992,4021,22.0,-20.0,0.0,27.0,2.0,0.0,33.0,26.0,0.0," 2,413 "," 2,504 ","2,583"
79,WENDOUREE - MINERS REST,14826,14907,15012,41.0,-44.0,84.0,37.0,-16.0,84.0,61.0,-55.0,83.0," 6,954 "," 7,151 ","7,380"
80,BACCHUS MARSH REGION,5982,6062,6152,9.0,61.0,10.0,36.0,45.0,9.0,34.0,16.0,10.0," 3,495 "," 3,501 ","3,572"
81,BENDIGO,14770,14737,14737,-47.0,-86.0,100.0,-48.0,-58.0,106.0,-29.0,-37.0,108.0," 7,546 "," 7,726 ","7,941"
82,CALIFORNIA GULLY - EAGLEHAWK,12130,12403,12675,57.0,178.0,38.0,52.0,183.0,37.0,81.0,184.0,38.0," 5,946 "," 6,185 ","6,334"
83,KYNETON,9782,9914,10081,-15.0,109.0,38.0,4.0,126.0,37.0,2.0,105.0,38.0," 5,628 "," 5,769 ","5,928"
84,EAST BENDIGO - KENNINGTON,13750,13778,13784,-50.0,10.0,68.0,-1.0,-68.0,75.0,-21.0,-8.0,73.0," 7,889 "," 7,944 ","8,176"
85,FLORA HILL - SPRING GULLY,9493,9537,9601,58.0,-84.0,70.0,59.0,-70.0,75.0,60.0,-42.0,73.0," 5,115 "," 5,286 ","5,407"
86,WOODEND,7043,7191,7348,11.0,113.0,24.0,16.0,117.0,24.0,16.0,124.0,24.0," 4,143 "," 4,295 ","4,410"
87,BENDIGO REGION - NORTH,4413,4478,4554,29.0,32.0,4.0,18.0,54.0,4.0,17.0,5.0,4.0," 2,490 "," 2,535 ","2,650"
88,KANGAROO FLAT - GOLDEN SQUARE,19947,20129,20330,51.0,30.0,101.0,43.0,54.0,104.0,23.0,108.0,102.0," 10,399 "," 10,629 ","10,845"
89,LODDON,7098,7052,7055,-17.0,-43.0,14.0,-14.0,4.0,13.0,-19.0,-14.0,13.0," 3,493 "," 3,571 ","3,601"
90,MAIDEN GULLY,5155,5254,5382,50.0,37.0,12.0,51.0,66.0,11.0,57.0,6.0,12.0," 3,077 "," 3,163 ","3,289"
91,BANNOCKBURN,6549,6872,7116,35.0,276.0,12.0,56.0,177.0,11.0,30.0,189.0,12.0," 3,895 "," 4,064 ","4,214"
92,GOLDEN PLAINS - SOUTH,6937,7069,7239,48.0,68.0,16.0,56.0,100.0,14.0,41.0,139.0,14.0," 4,093 "," 4,291 ","4,381"
93,WINCHELSEA,5824,5830,5864,14.0,-15.0,7.0,17.0,10.0,7.0,5.0,77.0,6.0," 3,647 "," 3,723 ","3,854"
94,SHEPPARTON REGION - WEST,10279,10378,10388,20.0,30.0,49.0,48.0,-88.0,50.0,37.0,-45.0,49.0," 5,674 "," 5,719 ","5,784"
95,STRATHFIELDSAYE,8775,9073,9484,79.0,197.0,22.0,73.0,314.0,24.0,85.0,312.0,24.0," 5,432 "," 5,666 ","5,906"
96,DOCKLANDS,11832,13694,14985,133.0,736.0,993.0,147.0,504.0,640.0,183.0,13.0,520.0," 8,957 "," 10,207 ","11,263"
97,WHITE HILLS - ASCOT,11914,12544,13129,213.0,362.0,55.0,173.0,356.0,56.0,183.0,422.0,55.0," 6,962 "," 7,229 ","7,636"
98,BENDIGO REGION - SOUTH,7346,7565,7770,56.0,151.0,12.0,64.0,130.0,11.0,46.0,63.0,12.0," 4,278 "," 4,488 ","4,634"
99,CASTLEMAINE,10770,10899,11047,-58.0,138.0,49.0,-50.0,148.0,50.0,-21.0,121.0,49.0," 5,468 "," 5,512 ","5,656"
100,BELMONT,14312,14523,14610,84.0,-6.0,133.0,30.0,-77.0,134.0,42.0,-17.0,130.0," 8,134 "," 8,359 ","8,573"
101,CORIO - NORLANE,27029,27294,27441,189.0,-174.0,250.0,151.0,-268.0,264.0,180.0,-318.0,268.0," 11,042 "," 11,390 ","11,874"
102,GEELONG,13077,13282,13500,18.0,-4.0,191.0,55.0,-35.0,198.0,31.0,-142.0,198.0," 7,888 "," 8,109 ","8,404"
103,EAST MELBOURNE,5475,5661,5743,6.0,42.0,138.0,-1.0,-13.0,96.0,8.0,76.0,91.0," 3,792 "," 3,823 ","3,899"
104,GEELONG WEST - HAMLYN HEIGHTS,20021,20242,20571,187.0,-149.0,183.0,174.0,-39.0,194.0,120.0,-16.0,195.0," 11,678 "," 12,087 ","12,521"
105,GROVEDALE,23790,25597,27561,61.0,1512.0,234.0,78.0,1690.0,196.0,144.0,1482.0,192.0," 14,364 "," 15,459 ","16,948"
106,CORANGAMITE - SOUTH,7274,7225,7177,30.0,-101.0,22.0,10.0,-82.0,24.0,9.0,-107.0,24.0," 4,321 "," 4,377 ","4,425"
107,HIGHTON,22794,23062,23451,99.0,-101.0,270.0,105.0,13.0,271.0,105.0,-23.0,265.0," 13,542 "," 14,072 ","14,219"
108,LARA,18587,19240,19978,139.0,412.0,102.0,137.0,499.0,102.0,147.0,355.0,99.0," 10,079 "," 10,543 ","10,905"
109,FLEMINGTON RACECOURSE,91,91,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 47 , 59 , 65 
110,OTWAY,3556,3569,3579,-4.0,-19.0,36.0,12.0,-37.0,35.0,-1.0,-4.0,34.0," 2,315 "," 2,297 ","2,360"
111,LEOPOLD,13140,13528,13753,113.0,227.0,48.0,71.0,106.0,48.0,69.0,-32.0,46.0," 7,478 "," 7,584 ","7,644"
112,CLIFTON SPRINGS,13593,14083,14636,9.0,445.0,36.0,41.0,476.0,36.0,31.0,696.0,36.0," 7,748 "," 8,035 ","8,521"
113,LORNE - ANGLESEA,5261,5334,5407,-22.0,59.0,36.0,-12.0,49.0,36.0,-13.0,14.0,36.0," 3,361 "," 3,462 ","3,489"
114,NEWCOMB - MOOLAP,14873,14903,14950,-48.0,13.0,65.0,-53.0,35.0,65.0,-6.0,110.0,65.0," 7,595 "," 7,881 ","8,051"
115,OCEAN GROVE - BARWON HEADS,24177,25360,26648,137.0,915.0,131.0,161.0,996.0,131.0,187.0,1090.0,128.0," 15,041 "," 15,717 ","16,554"
116,NORTH GEELONG - BELL PARK,15040,15262,15404,-27.0,129.0,120.0,-13.0,29.0,126.0,-12.0,224.0,127.0," 7,863 "," 8,152 ","8,438"
117,POINT LONSDALE - QUEENSCLIFF,4249,4320,4400,-13.0,65.0,19.0,-25.0,85.0,20.0,-31.0,107.0,20.0," 2,789 "," 2,919 ","2,993"
118,MELBOURNE,40181,45327,49247,192.0,893.0,4061.0,229.0,-81.0,3772.0,235.0,-1033.0,3445.0," 24,075 "," 26,083 ","27,182"
119,PORTARLINGTON,7517,7685,7915,-36.0,194.0,10.0,-35.0,256.0,9.0,-26.0,259.0,10.0," 3,884 "," 4,108 ","4,318"
120,TORQUAY,19131,19892,20669,166.0,471.0,124.0,195.0,453.0,129.0,173.0,793.0,131.0," 12,298 "," 12,755 ","13,537"
121,ALEXANDRA,6474,6534,6619,-12.0,35.0,37.0,-31.0,79.0,37.0,-38.0,33.0,36.0," 3,644 "," 3,735 ","3,692"
122,EUROA,6316,6375,6442,-15.0,58.0,16.0,-38.0,89.0,16.0,-23.0,71.0,16.0," 3,613 "," 3,633 ","3,678"
123,KILMORE - BROADFORD,14098,14501,14921,72.0,254.0,77.0,53.0,286.0,81.0,76.0,439.0,79.0," 7,477 "," 7,771 ","8,053"
124,SEYMOUR,6403,6405,6423,-9.0,-67.0,78.0,12.0,-71.0,77.0,-18.0,-28.0,75.0," 3,214 "," 3,355 ","3,386"
125,SEYMOUR REGION,4487,4533,4511,37.0,-10.0,19.0,48.0,-90.0,20.0,37.0,-98.0,20.0," 2,286 "," 2,355 ","2,454"
126,UPPER YARRA VALLEY,184,186,192,0.0,2.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0, 86 , 96 , 97 
127,YEA,3606,3649,3732,-13.0,44.0,12.0,-8.0,80.0,11.0,-1.0,13.0,12.0," 2,041 "," 2,097 ","2,109"
128,NORTH MELBOURNE,22106,23673,25367,122.0,-91.0,1536.0,147.0,284.0,1263.0,161.0,-284.0,1215.0," 12,853 "," 13,534 ","14,582"
129,BENALLA,10420,10421,10435,-45.0,26.0,20.0,-36.0,30.0,20.0,-28.0,23.0,20.0," 5,419 "," 5,524 ","5,693"
130,BENALLA REGION,3623,3627,3659,8.0,-10.0,6.0,11.0,15.0,6.0,9.0,-9.0,6.0," 2,156 "," 2,199 ","2,223"
131,RUTHERGLEN,3907,3945,4000,3.0,19.0,16.0,2.0,38.0,15.0,1.0,34.0,14.0," 2,250 "," 2,296 ","2,336"
132,PARKVILLE,7898,8283,8447,-13.0,21.0,377.0,9.0,-147.0,302.0,-40.0,62.0,287.0," 3,626 "," 3,920 ","4,045"
133,SOUTH YARRA - WEST,6453,6814,6924,-7.0,204.0,164.0,-15.0,1.0,124.0,-28.0,-4.0,118.0," 4,720 "," 5,182 ","5,106"
134,WANGARATTA,18940,19112,19318,7.0,107.0,58.0,-7.0,149.0,64.0,-31.0,60.0,64.0," 10,216 "," 10,429 ","10,527"
135,BEECHWORTH,4632,4726,4785,-17.0,102.0,9.0,-26.0,76.0,9.0,-4.0,65.0,8.0," 2,645 "," 2,704 ","2,784"
136,BRIGHT - MOUNT BEAUTY,8299,8372,8478,-1.0,21.0,53.0,13.0,35.0,58.0,-7.0,-3.0,58.0," 4,797 "," 4,954 ","5,025"
137,CHILTERN - INDIGO VALLEY,3117,3120,3126,15.0,-12.0,0.0,8.0,-2.0,0.0,18.0,19.0,0.0," 1,882 "," 1,894 ","1,925"
138,MYRTLEFORD,4742,4740,4724,-38.0,15.0,21.0,-34.0,0.0,18.0,-41.0,52.0,18.0," 2,686 "," 2,787 ","2,828"
139,SALE,14891,14926,15021,56.0,-97.0,76.0,28.0,-10.0,77.0,10.0,29.0,75.0," 7,890 "," 8,041 ","8,160"
140,YARRAM,5371,5390,5413,-7.0,19.0,7.0,-14.0,30.0,7.0,-1.0,26.0,6.0," 2,750 "," 2,787 ","2,856"
141,BRUNSWICK,27435,28220,29186,181.0,-73.0,677.0,193.0,132.0,641.0,172.0,8.0,627.0," 17,741 "," 18,263 ","19,004"
142,MOYNE - EAST,6709,6667,6669,17.0,-79.0,20.0,38.0,-56.0,20.0,25.0,-29.0,20.0," 3,879 "," 3,954 ","4,081"
143,BRUNSWICK WEST,14523,14763,15169,97.0,-218.0,361.0,77.0,-11.0,340.0,96.0,-52.0,330.0," 8,887 "," 9,195 ","9,397"
144,COBURG,27802,28240,28660,192.0,-318.0,564.0,244.0,-381.0,557.0,214.0,-227.0,555.0," 15,929 "," 16,470 ","16,841"
145,PASCOE VALE SOUTH,10465,10763,10969,55.0,127.0,116.0,59.0,36.0,111.0,43.0,-38.0,107.0," 6,140 "," 6,270 ","6,446"
146,SOUTHBANK,20288,22210,24424,180.0,815.0,927.0,179.0,1269.0,766.0,184.0,1007.0,709.0," 13,321 "," 14,398 ","15,422"
147,NORTHCOTE,26424,26989,27523,144.0,91.0,330.0,132.0,100.0,302.0,158.0,-58.0,290.0," 16,022 "," 16,448 ","16,821"
148,THORNBURY,19578,19880,20144,135.0,-86.0,253.0,128.0,-102.0,238.0,105.0,-100.0,232.0," 11,439 "," 11,884 ","12,125"
149,ASCOT VALE,15497,15906,16256,199.0,-81.0,291.0,204.0,-132.0,278.0,184.0,-204.0,272.0," 9,239 "," 9,589 ","9,771"
150,ARMADALE,9619,9783,10306,50.0,-3.0,117.0,51.0,369.0,103.0,63.0,33.0,99.0," 6,486 "," 6,846 ","6,974"
151,ESSENDON - ABERFELDIE,28946,29749,30375,132.0,197.0,474.0,98.0,74.0,454.0,84.0,26.0,442.0," 18,304 "," 18,810 ","19,182"
152,FLEMINGTON,10734,10858,11194,133.0,-388.0,379.0,106.0,-151.0,381.0,103.0,-326.0,374.0," 5,605 "," 5,944 ","6,212"
153,MOONEE PONDS,15158,15441,15728,100.0,-89.0,272.0,70.0,-39.0,256.0,52.0,22.0,249.0," 9,269 "," 9,601 ","10,067"
154,WEST MELBOURNE,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 6 , 8 , 7 
155,ALBERT PARK,16490,16738,17208,136.0,-220.0,332.0,117.0,61.0,292.0,108.0,212.0,278.0," 11,003 "," 11,491 ","11,685"
156,ELWOOD,16382,16566,16631,169.0,-234.0,249.0,159.0,-315.0,221.0,197.0,-283.0,209.0," 10,919 "," 10,926 ","11,046"
157,PORT MELBOURNE,17469,17682,17842,177.0,-211.0,247.0,148.0,-227.0,239.0,125.0,-157.0,239.0," 11,043 "," 11,181 ","11,132"
158,PRAHRAN - WINDSOR,21275,21742,22040,108.0,-155.0,514.0,100.0,-282.0,480.0,96.0,-368.0,466.0," 14,996 "," 15,009 ","15,150"
159,PORT MELBOURNE INDUSTRIAL,25,25,259,0.0,0.0,0.0,4.0,222.0,8.0,6.0,165.0,8.0, 236 , 385 , 610 
160,SOUTH MELBOURNE,12492,12761,13169,78.0,-97.0,288.0,86.0,59.0,263.0,53.0,34.0,253.0," 8,243 "," 8,697 ","8,953"
161,ST KILDA,28166,28934,29886,93.0,-259.0,934.0,127.0,-48.0,873.0,97.0,-385.0,849.0," 19,624 "," 20,032 ","20,537"
162,ST KILDA EAST,17613,17916,18262,195.0,-267.0,375.0,186.0,-201.0,361.0,153.0,-185.0,353.0," 11,686 "," 12,058 ","12,218"
163,ABBOTSFORD,8770,9453,9855,63.0,355.0,265.0,76.0,120.0,206.0,77.0,-26.0,182.0," 6,365 "," 6,439 ","6,589"
164,CARLTON NORTH - PRINCES HILL,9058,9127,9180,51.0,-136.0,154.0,54.0,-144.0,143.0,55.0,-169.0,141.0," 5,983 "," 6,106 ","6,129"
165,COLLINGWOOD,9235,9826,10377,80.0,169.0,342.0,96.0,123.0,332.0,88.0,186.0,333.0," 5,698 "," 6,027 ","6,380"
166,FITZROY,11259,11479,11726,87.0,-152.0,285.0,107.0,-139.0,279.0,57.0,-155.0,275.0," 7,052 "," 7,083 ","7,189"
167,FITZROY NORTH,13129,13354,13615,88.0,-58.0,195.0,95.0,-8.0,174.0,103.0,40.0,171.0," 8,483 "," 8,553 ","8,812"
168,CARRUM - PATTERSON LAKES,12111,12319,12550,83.0,35.0,90.0,63.0,82.0,86.0,68.0,-43.0,85.0," 7,247 "," 7,302 ","7,424"
169,YARRA - NORTH,9606,9733,9882,84.0,-84.0,127.0,90.0,-54.0,113.0,67.0,234.0,107.0," 6,047 "," 6,158 ","6,261"
170,BALWYN,16679,16915,17071,-12.0,-108.0,356.0,-12.0,-164.0,332.0,-7.0,-244.0,324.0," 10,696 "," 10,868 ","11,052"
171,BALWYN NORTH,21440,21578,21701,-1.0,-186.0,325.0,18.0,-210.0,315.0,-2.0,-189.0,313.0," 13,032 "," 13,438 ","13,512"
172,MOYNE - WEST,9603,9680,9776,8.0,22.0,47.0,24.0,25.0,47.0,24.0,-4.0,45.0," 5,759 "," 5,765 ","5,852"
173,GLEN IRIS - EAST,17182,17423,17552,102.0,13.0,126.0,92.0,-85.0,122.0,105.0,-66.0,122.0," 11,196 "," 11,413 ","11,555"
