,suburb,erp_2016,erp_2017,erp_2018,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,natural_increase_2017_18,net_internal_migration_2017_18,net_overseas_migration_2017_18,natural_increase_2018_19,net_internal_migration_2018_19,net_overseas_migration_2018_19,2016income,2017income,2018income
0,NAGAMBIE,4048,4110,4200,4.0,38.0,20.0,-3.0,71.0,22.0,1.0,46.0,22.0," 2,255 "," 2,360 ","2,426"
1,WANGARATTA REGION,9652,9741,9768,44.0,29.0,16.0,23.0,-11.0,15.0,41.0,-47.0,14.0," 5,959 "," 6,041 ","6,143"
2,TOWONG,6014,6012,6027,-4.0,-12.0,14.0,-4.0,10.0,9.0,-23.0,2.0,8.0," 3,544 "," 3,636 ","3,605"
3,WEST WODONGA,15181,15233,15323,109.0,-109.0,52.0,71.0,-37.0,56.0,65.0,-4.0,57.0," 8,348 "," 8,570 ","8,661"
4,WODONGA,24919,25579,26106,223.0,301.0,136.0,198.0,193.0,136.0,201.0,197.0,138.0," 14,065 "," 14,597 ","15,048"
5,YACKANDANDAH,4578,4586,4627,12.0,-13.0,9.0,24.0,8.0,9.0,1.0,48.0,8.0," 2,876 "," 2,941 ","3,001"
6,DROUIN,16435,17112,17777,123.0,522.0,32.0,125.0,507.0,33.0,137.0,507.0,32.0," 8,842 "," 9,215 ","9,763"
7,MOUNT BAW BAW REGION,6095,6114,6147,7.0,-2.0,14.0,4.0,16.0,13.0,24.0,8.0,12.0," 3,535 "," 3,642 ","3,730"
8,WARRAGUL,19088,19584,20148,119.0,307.0,70.0,32.0,458.0,74.0,82.0,461.0,73.0," 11,208 "," 11,694 ","12,240"
9,ALPS - EAST,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 4 , 3 , 3 
10,BAIRNSDALE,14899,15167,15409,21.0,203.0,44.0,17.0,192.0,33.0,12.0,112.0,32.0," 7,781 "," 7,942 ","8,186"
11,BRUTHEN - OMEO,7902,7999,8087,20.0,58.0,19.0,15.0,54.0,19.0,46.0,19.0,19.0," 4,459 "," 4,577 ","4,665"
12,LAKE KING,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, np , np , np 
13,LAKES ENTRANCE,10038,10147,10303,-22.0,111.0,20.0,-22.0,158.0,20.0,-54.0,128.0,20.0," 5,110 "," 5,288 ","5,343"
14,ORBOST,6497,6468,6475,-29.0,-14.0,14.0,-26.0,20.0,13.0,-5.0,-34.0,12.0," 3,133 "," 3,199 ","3,260"
15,PAYNESVILLE,6374,6485,6662,-38.0,138.0,11.0,-38.0,204.0,11.0,-47.0,213.0,10.0," 3,229 "," 3,321 ","3,462"
16,FOSTER,8897,8954,8994,0.0,31.0,26.0,-5.0,18.0,27.0,-5.0,64.0,26.0," 4,858 "," 4,916 ","4,997"
17,FRENCH ISLAND,114,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 60 , 53 , 43 
18,KORUMBURRA,9253,9341,9443,17.0,41.0,30.0,20.0,66.0,16.0,36.0,91.0,16.0," 5,139 "," 5,290 ","5,427"
19,LEONGATHA,11202,11248,11358,0.0,14.0,32.0,9.0,70.0,31.0,-23.0,103.0,32.0," 6,332 "," 6,431 ","6,495"
20,WEST WIMMERA,2782,2750,2716,1.0,-36.0,3.0,-3.0,-33.0,2.0,-4.0,-1.0,2.0," 1,593 "," 1,597 ","1,616"
21,PHILLIP ISLAND,10686,11037,11416,17.0,283.0,51.0,-12.0,339.0,52.0,-14.0,297.0,51.0," 6,018 "," 6,338 ","6,534"
22,WILSONS PROMONTORY,13,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 8 , 10 , 9 
23,WONTHAGGI - INVERLOCH,22577,23125,23685,-20.0,504.0,64.0,-44.0,533.0,71.0,-13.0,593.0,69.0," 11,702 "," 12,212 ","12,695"
24,CHURCHILL,11594,11576,11590,54.0,-114.0,42.0,51.0,-84.0,47.0,51.0,-58.0,45.0," 6,177 "," 6,268 ","6,326"
25,MOE - NEWBOROUGH,16840,16831,16810,-13.0,-34.0,38.0,12.0,-70.0,37.0,-22.0,-5.0,38.0," 7,726 "," 7,888 ","8,017"
26,MORWELL,14024,14008,14025,16.0,-75.0,43.0,35.0,-61.0,43.0,-32.0,7.0,42.0," 5,885 "," 5,929 ","6,029"
27,TRARALGON,27361,27667,27958,105.0,89.0,112.0,127.0,52.0,112.0,90.0,50.0,109.0," 14,980 "," 15,266 ","15,725"
28,YALLOURN NORTH - GLENGARRY,4643,4645,4645,37.0,-39.0,4.0,8.0,-12.0,4.0,22.0,21.0,4.0," 2,598 "," 2,621 ","2,708"
29,ALPS - WEST,24,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 30 , 23 , 19 
30,LONGFORD - LOCH SPORT,4367,4398,4403,8.0,7.0,16.0,-12.0,0.0,17.0,1.0,32.0,16.0," 2,177 "," 2,220 ","2,291"
