,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
103,GREATE11048,Fitness Training Studio,Pakinston,NEWTOWN,3220.0,,,,"360 Pakinston street, NEWTOWN 3220",
104,GREATE11053,Fresh Look Fitness,Brentwood,WAURN PONDS,3216.0,,,,"7 Brentwood Way, WAURN PONDS 3216",
105,GREATE11063,Geelong's Gym,West Fyans ,NEWTOWN,3220.0,,,,"10 West Fyans  Street, NEWTOWN 3220",
106,GREATE11076,Jak Gym,Crown,SOUTH GEELONG,3220.0,,,," Crown Street, SOUTH GEELONG 3220",
107,GREATE11079,Jets Fitness Geelong West,Pakington,GEELONG WEST,3218.0,,,,"63 Pakington Road, GEELONG WEST 3218",
108,GREATE11025,Main Event Fitness,Gordon,GEELONG WEST,3218.0,-38.144065,144.352468,,"5/2A Gordon Avenue, GEELONG WEST 3218",
109,GREATE11124,Reflex Fitness,Settlement,BELMONT,3216.0,,,," Settlement Road, BELMONT 3216",
110,GREATE11126,Rockets Health and Fitness,South Forrests ,LARA,3212.0,,,,"5 South Forrests  Road, LARA 3212",
111,GREATE11043,Snap Fitness Waurn Ponds,Rossack,WAURN PONDS,3216.0,-38.202495,144.311533,,"26 Rossack Drive, WAURN PONDS 3216",
112,GREATE11132,Sphere Health and Fitness,separation,NORTH GEELONG,3215.0,,,,"39 separation street, NORTH GEELONG 3215",
113,GREATE11133,Sphere Health and Fitness,McClelland,LARA,3212.0,,,,"33 McClelland Avenue, LARA 3212",
114,GREATE11139,Studio Fitness Gym,separation,GEELONG,3220.0,,,,"141 separation Street, GEELONG 3220",
115,GREATE11145,University fitness Club,Pigdins,WAURN PONDS,3216.0,,,," Pigdins Road, WAURN PONDS 3216",
116,GREATE11146,Victorian Fitness Academy,Yarra,GEELONG,3220.0,,,,"78 Yarra Street, GEELONG 3220",
117,GREATE11148,Vital Fitness,Church ,MANIFOLD HEIGHTS,3218.0,,,,"140 Church  Street, MANIFOLD HEIGHTS 3218",
118,GLENEI11241,Monash University Fitness & Rec Centre,Princes,CAULFIELD EAST,3162.0,,,Wooden Flooring,"2 Princes Avenue, CAULFIELD EAST 3162",
119,GLENEI11250,6 Degrees South Health & Fitness,Glen Huntley,ELSTERNWICK,3162.0,-37.883737,144.997702,,"207 Glen Huntley Road, ELSTERNWICK 3162",
120,GLENEI11238,Australian Fitness Academy,Glenhuntly ,CAULFIELD   ,3162.0,-37.885953,145.018846,,"701 Glenhuntly  Road, CAULFIELD    3162",
121,GLENEI11213,Bentleigh Fitness Centre,East Boundary ,BENTLEIGH,3204.0,-37.90937,145.063423,,"236/262 East Boundary  Road, BENTLEIGH 3204",
122,GLENEI11240,EFM Health & Fitness Club,Kooyong,CAULFIELD   ,3162.0,-37.883686,145.015446,,"262 Kooyong Road, CAULFIELD    3162",
123,GLENEI5557,Gecko Kids Fitness Caulfield,Maple,CAULFIELD SOUTH,3162.0,-37.893154,145.021404,,"6 Maple Street, CAULFIELD SOUTH 3162",
124,GLENEI11248,Lifestyle Fitness Centre ,Glenhuntley,ELSTERNWICK,3162.0,,,,"233 Glenhuntley Road, ELSTERNWICK 3162",
125,GLENEI11263,Ormond Health & Fitness,Newham,ORMOND,3204.0,,,,"1 Newham Grove, ORMOND 3204",
126,GLENEI11249,Sage Institute of Fitness,Glenhuntley,ELSTERNWICK,3162.0,-37.883879,144.999084,,"233 Glenhuntley Road, ELSTERNWICK 3162",
127,GLENEI11447,Bentleigh Mckinnon Gym Club,Higgins ,BENTLEIGH,3204.0,,,,"5 Higgins  Road, BENTLEIGH 3204",
128,GLENEI11497,Chamford Gymnastics Club,North  ,MURRUMBEENA,3163.0,,,,"993 North   Road, MURRUMBEENA 3163",
129,GLENEI11506,Wiz Kids Kindergym,North  ,ORMOND,3204.0,,,,"574 North   Road, ORMOND 3204",
130,GLENEI11224,All Stars Health Fitness & Martial Arts,East Boundary ,BENTLEIGH EAST  ,3165.0,,,,"236 East Boundary  Road, BENTLEIGH EAST   3165",
131,HINDMA9614,Dimboola Community Health & Fitness Centre,School,DIMBOOLA,3414.0,-36.450984,142.034712,," School Street, DIMBOOLA 3414",546 H9
132,HOBSON12942,Beach House Health & Fitness Williamstown,Kororoit Creek,WILLIAMSTOWN,3016.0,-37.853924,144.8585,,"388-390 Kororoit Creek Road, WILLIAMSTOWN 3016",55 D7
133,HOBSON12962,Inspiration Health and Fitness,Blackshaws,ALTONA NORTH,3025.0,-37.832222,144.861995,,"6/216 Blackshaws Road, ALTONA NORTH 3025",55 E1
