,suburb,2014income,2015income,2016income,2017income,2018income
31,WOODEND," 3,893 "," 3,961 "," 4,143 "," 4,295 ","4,410"
32,BENDIGO REGION - NORTH," 2,306 "," 2,281 "," 2,490 "," 2,535 ","2,650"
33,LODDON," 3,550 "," 3,365 "," 3,493 "," 3,571 ","3,601"
34,BANNOCKBURN," 3,477 "," 3,668 "," 3,895 "," 4,064 ","4,214"
35,GOLDEN PLAINS - SOUTH," 3,869 "," 3,925 "," 4,093 "," 4,291 ","4,381"
36,WINCHELSEA," 3,555 "," 3,538 "," 3,647 "," 3,723 ","3,854"
37,BELMONT," 7,941 "," 7,984 "," 8,134 "," 8,359 ","8,573"
38,CORIO - NORLANE," 10,507 "," 10,653 "," 11,042 "," 11,390 ","11,874"
39,GEELONG," 7,590 "," 7,885 "," 7,888 "," 8,109 ","8,404"
40,GEELONG WEST - HAMLYN HEIGHTS," 11,148 "," 11,219 "," 11,678 "," 12,087 ","12,521"
41,GROVEDALE," 11,892 "," 12,946 "," 14,364 "," 15,459 ","16,948"
42,HIGHTON," 12,970 "," 13,172 "," 13,542 "," 14,072 ","14,219"
43,LARA," 9,561 "," 9,754 "," 10,079 "," 10,543 ","10,905"
44,LEOPOLD," 7,147 "," 7,335 "," 7,478 "," 7,584 ","7,644"
45,NEWCOMB - MOOLAP," 7,349 "," 7,396 "," 7,595 "," 7,881 ","8,051"
46,NEWTOWN (VICNP)," 6,310 "," 6,366 "," 6,584 "," 6,701 ","6,779"
47,NORTH GEELONG - BELL PARK," 7,433 "," 7,475 "," 7,863 "," 8,152 ","8,438"
48,CLIFTON SPRINGS," 7,041 "," 7,323 "," 7,748 "," 8,035 ","8,521"
49,LORNE - ANGLESEA," 3,263 "," 3,203 "," 3,361 "," 3,462 ","3,489"
50,OCEAN GROVE - BARWON HEADS," 13,452 "," 14,127 "," 15,041 "," 15,717 ","16,554"
51,PORTARLINGTON," 3,553 "," 3,605 "," 3,884 "," 4,108 ","4,318"
52,POINT LONSDALE - QUEENSCLIFF," 2,606 "," 2,627 "," 2,789 "," 2,919 ","2,993"
53,TORQUAY," 11,153 "," 11,442 "," 12,298 "," 12,755 ","13,537"
54,ALEXANDRA," 3,480 "," 3,564 "," 3,644 "," 3,735 ","3,692"
55,EUROA," 3,497 "," 3,527 "," 3,613 "," 3,633 ","3,678"
56,KILMORE - BROADFORD," 6,900 "," 7,147 "," 7,477 "," 7,771 ","8,053"
57,MANSFIELD (VICNP)," 4,942 "," 5,015 "," 5,246 "," 5,383 ","5,509"
58,NAGAMBIE," 2,143 "," 2,150 "," 2,255 "," 2,360 ","2,426"
59,SEYMOUR," 3,169 "," 3,225 "," 3,214 "," 3,355 ","3,386"
60,SEYMOUR REGION," 2,145 "," 2,103 "," 2,286 "," 2,355 ","2,454"
61,UPPER YARRA VALLEY, 85 , 78 , 86 , 96 , 97 
62,YEA," 2,019 "," 2,003 "," 2,041 "," 2,097 ","2,109"
63,BENALLA," 5,405 "," 5,398 "," 5,419 "," 5,524 ","5,693"
64,BENALLA REGION," 2,151 "," 2,112 "," 2,156 "," 2,199 ","2,223"
65,RUTHERGLEN," 2,219 "," 2,205 "," 2,250 "," 2,296 ","2,336"
66,WANGARATTA," 10,126 "," 10,165 "," 10,216 "," 10,429 ","10,527"
67,WANGARATTA REGION," 5,872 "," 5,767 "," 5,959 "," 6,041 ","6,143"
68,BEECHWORTH," 2,551 "," 2,619 "," 2,645 "," 2,704 ","2,784"
69,BRIGHT - MOUNT BEAUTY," 4,550 "," 4,614 "," 4,797 "," 4,954 ","5,025"
70,CHILTERN - INDIGO VALLEY," 1,790 "," 1,854 "," 1,882 "," 1,894 ","1,925"
71,MYRTLEFORD," 2,620 "," 2,703 "," 2,686 "," 2,787 ","2,828"
72,TOWONG," 3,506 "," 3,480 "," 3,544 "," 3,636 ","3,605"
73,WEST WODONGA," 8,247 "," 8,204 "," 8,348 "," 8,570 ","8,661"
74,WODONGA," 13,203 "," 13,322 "," 14,065 "," 14,597 ","15,048"
75,YACKANDANDAH," 2,847 "," 2,830 "," 2,876 "," 2,941 ","3,001"
76,DROUIN," 7,970 "," 8,398 "," 8,842 "," 9,215 ","9,763"
77,MOUNT BAW BAW REGION," 3,372 "," 3,456 "," 3,535 "," 3,642 ","3,730"
